CODMUNRES,ano_nasc,Qtd_2Robson,Qtd_Total
110130,2013,0,122
110130,2014,14,137
110130,2015,23,179
110130,2016,14,148
110130,2017,20,156
110130,2018,24,160
110130,2019,14,164
110140,2012,17,170
110140,2013,0,223
110140,2014,30,204
110140,2015,37,240
110140,2016,23,173
110140,2017,17,200
110140,2018,19,220
110140,2019,17,199
110143,2012,5,99
110143,2013,0,82
110143,2014,6,110
110143,2015,9,73
110143,2016,4,90
110143,2017,7,94
110143,2018,8,87
110143,2019,13,104
110145,2012,1,63
110145,2013,0,55
110145,2014,0,49
110145,2015,3,54
110145,2016,1,50
110145,2017,1,51
110145,2018,0,53
110145,2019,2,44
110146,2012,3,51
110146,2013,0,42
110146,2014,3,37
110146,2015,4,52
110146,2016,0,34
110146,2017,0,52
110146,2018,3,52
110146,2019,3,40
110147,2012,3,43
110147,2013,0,39
110147,2014,5,47
110147,2015,1,40
110147,2016,2,56
110147,2017,2,63
110147,2018,4,38
110147,2019,0,43
110148,2012,4,64
110148,2013,0,61
110148,2014,4,59
110148,2015,1,73
110148,2016,2,54
110148,2017,6,75
110148,2018,6,54
110148,2019,6,54
110149,2012,9,246
110149,2013,0,266
110149,2014,7,308
110149,2015,13,319
110149,2016,13,305
110149,2017,23,333
110149,2018,17,327
110149,2019,15,303
110150,2012,10,190
110150,2013,0,184
110150,2014,3,170
110150,2015,7,188
110150,2016,12,171
110150,2017,3,188
110150,2018,6,154
110150,2019,5,168
110155,2012,6,57
110155,2013,0,80
110155,2014,3,69
110155,2015,3,71
110155,2016,2,59
110155,2017,5,58
110155,2018,5,60
110155,2019,6,64
110160,2012,12,133
110160,2013,0,106
110160,2014,19,125
110160,2015,19,107
110160,2016,21,131
110160,2017,25,146
110160,2018,12,131
110160,2019,11,97
110170,2012,7,146
110170,2013,0,150
110170,2014,8,122
110170,2015,3,138
110170,2016,9,151
110170,2017,14,150
110170,2018,9,139
110170,2019,12,170
110175,2012,8,86
110175,2013,0,89
110175,2014,21,128
110175,2015,5,106
110175,2016,14,110
110175,2017,10,86
110175,2018,2,91
110175,2019,3,93
110180,2012,0,83
110180,2013,0,107
110180,2014,8,90
110180,2015,5,63
110180,2016,8,98
110180,2017,1,79
110180,2018,3,95
110180,2019,7,81
120000,2012,0,1
120001,2012,4,253
120001,2013,0,258
120001,2014,2,269
120001,2015,4,217
120001,2016,5,222
120001,2017,4,256
120001,2018,6,216
120001,2019,13,257
120005,2012,4,219
120005,2013,0,213
120005,2014,4,196
120005,2015,9,238
120005,2016,5,190
120005,2017,7,248
120005,2018,5,264
120005,2019,2,266
120010,2012,4,505
120010,2013,0,530
120010,2014,10,547
120010,2015,4,531
120010,2016,25,490
120010,2017,36,570
120010,2018,26,540
120010,2019,18,540
120013,2012,2,198
120013,2013,0,202
120013,2014,6,242
120013,2015,7,248
120013,2016,3,248
120013,2017,3,307
120013,2018,11,306
120013,2019,18,329
120017,2012,2,201
120017,2013,0,193
120017,2014,5,234
120017,2015,3,219
120017,2016,1,194
120017,2017,1,243
120017,2018,6,222
120017,2019,12,217
120020,2012,184,1741
120020,2013,0,1783
120020,2014,84,1818
120020,2015,95,1839
120020,2016,74,1632
120020,2017,37,1684
120020,2018,140,1756
120020,2019,145,1809
120025,2012,0,282
120025,2013,0,275
120025,2014,3,262
120025,2015,3,279
120025,2016,13,270
120025,2017,7,291
120025,2018,9,273
120025,2019,12,314
120030,2012,5,904
120030,2013,0,791
120030,2014,9,829
120030,2015,14,772
120030,2016,8,834
120030,2017,19,833
120030,2018,34,833
120030,2019,18,871
120032,2012,0,269
120032,2013,0,271
