CODMUNRES,ano_nasc,Qtd_Baixo_Peso,Qtd_Total
110130,2013,6,122
110130,2014,9,137
110130,2015,17,179
110130,2016,15,148
110130,2017,6,156
110130,2018,16,160
110130,2019,13,164
110140,2012,8,170
110140,2013,10,223
110140,2014,9,204
110140,2015,16,240
110140,2016,8,173
110140,2017,12,200
110140,2018,17,220
110140,2019,16,199
110143,2012,13,99
110143,2013,1,82
110143,2014,1,110
110143,2015,6,73
110143,2016,5,90
110143,2017,6,94
110143,2018,2,87
110143,2019,10,104
110145,2012,6,63
110145,2013,4,55
110145,2014,0,49
110145,2015,2,54
110145,2016,1,50
110145,2017,2,51
110145,2018,3,53
110145,2019,6,44
110146,2012,3,51
110146,2013,3,42
110146,2014,3,37
110146,2015,1,52
110146,2016,3,34
110146,2017,3,52
110146,2018,2,52
110146,2019,0,40
110147,2012,4,43
110147,2013,1,39
110147,2014,2,47
110147,2015,4,40
110147,2016,4,56
110147,2017,7,63
110147,2018,2,38
110147,2019,5,43
110148,2012,3,64
110148,2013,5,61
110148,2014,3,59
110148,2015,11,73
110148,2016,3,54
110148,2017,3,75
110148,2018,0,54
110148,2019,4,54
110149,2012,10,246
110149,2013,12,266
110149,2014,10,308
110149,2015,18,319
110149,2016,17,305
110149,2017,20,333
110149,2018,39,327
110149,2019,16,303
110150,2012,5,190
110150,2013,12,184
110150,2014,10,170
110150,2015,9,188
110150,2016,8,171
110150,2017,8,188
110150,2018,7,154
110150,2019,10,168
110155,2012,6,57
110155,2013,3,80
110155,2014,1,69
110155,2015,9,71
110155,2016,1,59
110155,2017,3,58
110155,2018,2,60
110155,2019,4,64
110160,2012,9,133
110160,2013,3,106
110160,2014,7,125
110160,2015,4,107
110160,2016,8,131
110160,2017,10,146
110160,2018,10,131
110160,2019,4,97
110170,2012,13,146
110170,2013,9,150
110170,2014,9,122
110170,2015,7,138
110170,2016,9,151
110170,2017,11,150
110170,2018,6,139
110170,2019,13,170
110175,2012,7,86
110175,2013,11,89
110175,2014,4,128
110175,2015,14,106
110175,2016,4,110
110175,2017,2,86
110175,2018,6,91
110175,2019,4,93
110180,2012,7,83
110180,2013,3,107
110180,2014,7,90
110180,2015,5,63
110180,2016,8,98
110180,2017,3,79
110180,2018,3,95
110180,2019,3,81
120000,2012,0,1
120001,2012,23,253
120001,2013,18,258
120001,2014,20,269
120001,2015,11,217
120001,2016,16,222
120001,2017,20,256
120001,2018,15,216
120001,2019,15,257
120005,2012,9,219
120005,2013,9,213
120005,2014,12,196
120005,2015,10,238
120005,2016,11,190
120005,2017,22,248
120005,2018,20,264
120005,2019,12,266
120010,2012,28,505
120010,2013,38,530
120010,2014,46,547
120010,2015,41,531
120010,2016,40,490
120010,2017,35,570
120010,2018,26,540
120010,2019,24,540
120013,2012,14,198
120013,2013,19,202
120013,2014,21,242
120013,2015,11,248
120013,2016,19,248
120013,2017,28,307
120013,2018,36,306
120013,2019,21,329
120017,2012,23,201
120017,2013,10,193
120017,2014,15,234
120017,2015,12,219
120017,2016,16,194
120017,2017,16,243
120017,2018,23,222
120017,2019,17,217
120020,2012,143,1741
120020,2013,134,1783
