CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
110130,2013,0,122
110130,2014,21,137
110130,2015,30,179
110130,2016,2,148
110130,2017,12,156
110130,2018,5,160
110130,2019,5,164
110140,2012,33,170
110140,2013,0,223
110140,2014,10,204
110140,2015,42,240
110140,2016,81,173
110140,2017,90,200
110140,2018,29,220
110140,2019,2,199
110143,2012,15,99
110143,2013,0,82
110143,2014,21,110
110143,2015,14,73
110143,2016,3,90
110143,2017,2,94
110143,2018,4,87
110143,2019,4,104
110145,2012,0,63
110145,2013,0,55
110145,2014,0,49
110145,2015,0,54
110145,2016,0,50
110145,2017,0,51
110145,2018,0,53
110145,2019,1,44
110146,2012,4,51
110146,2013,0,42
110146,2014,2,37
110146,2015,7,52
110146,2016,1,34
110146,2017,1,52
110146,2018,0,52
110146,2019,1,40
110147,2012,0,43
110147,2013,0,39
110147,2014,0,47
110147,2015,0,40
110147,2016,0,56
110147,2017,0,63
110147,2018,0,38
110147,2019,1,43
110148,2012,1,64
110148,2013,0,61
110148,2014,1,59
110148,2015,2,73
110148,2016,1,54
110148,2017,1,75
110148,2018,0,54
110148,2019,1,54
110149,2012,14,246
110149,2013,0,266
110149,2014,5,308
110149,2015,8,319
110149,2016,10,305
110149,2017,6,333
110149,2018,6,327
110149,2019,4,303
110150,2012,7,190
110150,2013,0,184
110150,2014,4,170
110150,2015,7,188
110150,2016,3,171
110150,2017,8,188
110150,2018,10,154
110150,2019,12,168
110155,2012,8,57
110155,2013,0,80
110155,2014,27,69
110155,2015,16,71
110155,2016,0,59
110155,2017,4,58
110155,2018,2,60
110155,2019,4,64
110160,2012,7,133
110160,2013,0,106
110160,2014,7,125
110160,2015,5,107
110160,2016,9,131
110160,2017,10,146
110160,2018,5,131
110160,2019,1,97
110170,2012,21,146
110170,2013,0,150
110170,2014,29,122
110170,2015,27,138
110170,2016,3,151
110170,2017,15,150
110170,2018,4,139
110170,2019,17,170
110175,2012,10,86
110175,2013,0,89
110175,2014,15,128
110175,2015,11,106
110175,2016,6,110
110175,2017,5,86
110175,2018,2,91
110175,2019,0,93
110180,2012,4,83
110180,2013,0,107
110180,2014,23,90
110180,2015,10,63
110180,2016,4,98
110180,2017,4,79
110180,2018,3,95
110180,2019,5,81
