CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total
110130,2013,2,122
110130,2014,6,137
110130,2015,9,179
110130,2016,1,148
110130,2017,4,156
110130,2018,4,160
110130,2019,6,164
110140,2012,6,170
110140,2013,2,223
110140,2014,8,204
110140,2015,0,240
110140,2016,2,173
110140,2017,6,200
110140,2018,7,220
110140,2019,3,199
110143,2012,10,99
110143,2013,0,82
110143,2014,0,110
110143,2015,0,73
110143,2016,1,90
110143,2017,0,94
110143,2018,0,87
110143,2019,0,104
110145,2012,2,63
110145,2013,0,55
110145,2014,0,49
110145,2015,0,54
110145,2016,0,50
110145,2017,0,51
110145,2018,0,53
110145,2019,2,44
110146,2012,0,51
110146,2013,0,42
110146,2014,0,37
110146,2015,0,52
110146,2016,0,34
110146,2017,4,52
110146,2018,2,52
110146,2019,0,40
110147,2012,0,43
110147,2013,0,39
110147,2014,2,47
110147,2015,2,40
110147,2016,6,56
110147,2017,7,63
110147,2018,0,38
110147,2019,4,43
110148,2012,2,64
110148,2013,0,61
110148,2014,0,59
110148,2015,4,73
110148,2016,0,54
110148,2017,5,75
110148,2018,0,54
110148,2019,2,54
110149,2012,0,246
110149,2013,5,266
110149,2014,2,308
110149,2015,10,319
110149,2016,1,305
110149,2017,6,333
110149,2018,13,327
110149,2019,3,303
110150,2012,0,190
110150,2013,2,184
110150,2014,2,170
110150,2015,4,188
110150,2016,4,171
110150,2017,4,188
110150,2018,6,154
110150,2019,4,168
110155,2012,0,57
110155,2013,0,80
110155,2014,0,69
110155,2015,7,71
110155,2016,1,59
110155,2017,0,58
110155,2018,0,60
110155,2019,0,64
110160,2012,4,133
110160,2013,0,106
110160,2014,2,125
110160,2015,3,107
110160,2016,2,131
110160,2017,4,146
110160,2018,8,131
110160,2019,1,97
110170,2012,2,146
110170,2013,2,150
110170,2014,2,122
110170,2015,2,138
110170,2016,2,151
110170,2017,2,150
110170,2018,0,139
110170,2019,3,170
110175,2012,0,86
110175,2013,0,89
110175,2014,4,128
110175,2015,6,106
110175,2016,0,110
110175,2017,0,86
110175,2018,0,91
110175,2019,1,93
110180,2012,4,83
110180,2013,0,107
110180,2014,4,90
110180,2015,0,63
110180,2016,4,98
110180,2017,2,79
110180,2018,0,95
110180,2019,1,81
120000,2012,0,1
120001,2012,4,253
120001,2013,4,258
120001,2014,6,269
120001,2015,2,217
120001,2016,6,222
120001,2017,0,256
120001,2018,5,216
120001,2019,8,257
120005,2012,4,219
120005,2013,0,213
120005,2014,1,196
120005,2015,2,238
120005,2016,0,190
120005,2017,4,248
120005,2018,9,264
120005,2019,5,266
120010,2012,8,505
120010,2013,6,530
120010,2014,15,547
120010,2015,4,531
120010,2016,14,490
120010,2017,4,570
120010,2018,6,540
120010,2019,8,540
120013,2012,2,198
120013,2013,8,202
120013,2014,6,242
120013,2015,6,248
120013,2016,0,248
120013,2017,4,307
120013,2018,12,306
120013,2019,11,329
120017,2012,6,201
120017,2013,4,193
120017,2014,4,234
120017,2015,0,219
120017,2016,4,194
120017,2017,7,243
120017,2018,4,222
120017,2019,6,217
120020,2012,35,1741
120020,2013,26,1783
120020,2014,29,1818
120020,2015,42,1839
120020,2016,25,1632
120020,2017,30,1684
120020,2018,42,1756
120020,2019,39,1809
120025,2012,4,282
120025,2013,7,275
120025,2014,6,262
120025,2015,2,279
120025,2016,7,270
120025,2017,2,291
120025,2018,2,273
120025,2019,6,314
120030,2012,15,904
120030,2013,12,791
120030,2014,15,829
120030,2015,13,772
120030,2016,11,834
120030,2017,8,833
120030,2018,6,833
120030,2019,6,871
120032,2012,5,269
120032,2013,8,271
120032,2014,0,282
120032,2015,2,273
120032,2016,8,263
120032,2017,6,266
120032,2018,4,274
120032,2019,6,218
120033,2012,11,386
120033,2013,2,399
120033,2014,4,413
120033,2015,4,395
120033,2016,0,325
120033,2017,2,358
120033,2018,3,367
120033,2019,5,345
120034,2012,2,256
120034,2013,2,229
120034,2014,2,243
120034,2015,6,266
120034,2016,5,236
120034,2017,0,261
120034,2018,2,252
120034,2019,3,230
120035,2012,7,474
120035,2013,7,485
120035,2014,5,458
120035,2015,3,445
120035,2016,8,352
120035,2017,0,388
120035,2018,10,407
120035,2019,7,448
120038,2012,6,353
120038,2013,7,334
120038,2014,4,322
120038,2015,2,350
120038,2016,4,339
120038,2017,3,305
120038,2018,6,309
120038,2019,2,318
120039,2012,7,338
120039,2013,2,287
120039,2014,8,250
120039,2015,3,262
120039,2016,2,230
120039,2017,2,282
120039,2018,2,254
120039,2019,10,270
120040,2012,108,6531
120040,2013,113,7116
120040,2014,146,7011
120040,2015,129,6965
120040,2016,94,6614
120040,2017,96,6460
120040,2018,133,6495
120040,2019,101,6324
120042,2012,3,390
120042,2013,4,363
120042,2014,6,394
120042,2015,7,396
120042,2016,6,304
120042,2017,10,366
120042,2018,17,394
120042,2019,2,334
120043,2012,3,259
120043,2013,2,223
120043,2014,6,185
120043,2015,4,150
120043,2016,0,95
120043,2017,0,198
120043,2018,4,207
120043,2019,2,186
120045,2012,10,396
120045,2013,7,425
120045,2014,6,453
120045,2015,13,443
120045,2016,15,410
120045,2017,4,395
120045,2018,8,476
120045,2019,2,417
120050,2012,8,929
120050,2013,24,904
120050,2014,18,827
120050,2015,10,847
120050,2016,21,762
120050,2017,15,780
120050,2018,4,788
120050,2019,19,768
120060,2012,7,1158
120060,2013,15,1138
120060,2014,14,1230
120060,2015,21,1165
120060,2016,17,1078
120060,2017,20,1132
120060,2018,7,1193
120060,2019,21,1143
120070,2012,0,311
120070,2013,10,294
120070,2014,8,306
120070,2015,3,322
120070,2016,3,329
120070,2017,6,305
120070,2018,2,325
120070,2019,9,297
120080,2012,10,346
120080,2013,8,362
120080,2014,4,368
120080,2015,3,358
120080,2016,4,356
120080,2017,8,430
120080,2018,6,392
120080,2019,8,379
130000,2012,0,8
130000,2013,0,18
130000,2014,0,23
130000,2015,0,18
130000,2016,0,25
130000,2017,0,17
130000,2018,0,25
130000,2019,0,12
130002,2012,0,320
130002,2013,9,346
130002,2014,9,308
130002,2015,2,342
130002,2016,6,325
130002,2017,2,401
130002,2018,8,346
130002,2019,2,418
130006,2012,2,242
130006,2013,2,261
130006,2014,4,264
130006,2015,0,214
130006,2016,0,280
130006,2017,2,267
130006,2018,2,247
130006,2019,4,265
130008,2012,2,199
130008,2013,0,201
130008,2014,0,212
130008,2015,3,163
130008,2016,2,182
130008,2017,7,196
130008,2018,8,214
130008,2019,3,190
130010,2012,5,247
130010,2013,7,285
130010,2014,2,267
130010,2015,5,255
130010,2016,2,266
130010,2017,4,257
130010,2018,0,247
130010,2019,4,233
130014,2012,2,195
130014,2013,4,223
130014,2014,2,223
130014,2015,2,204
130014,2016,6,211
130014,2017,4,233
130014,2018,0,242
130014,2019,2,239
130020,2012,2,357
130020,2013,0,354
130020,2014,6,435
130020,2015,2,439
130020,2016,2,380
130020,2017,8,382
130020,2018,4,357
130020,2019,0,313
130030,2012,9,877
130030,2013,16,877
130030,2014,6,955
130030,2015,9,829
130030,2016,5,890
130030,2017,22,897
130030,2018,6,948
130030,2019,7,872
130040,2012,2,469
130040,2013,5,480
130040,2014,4,419
130040,2015,6,505
130040,2016,4,496
130040,2017,2,524
130040,2018,6,570
130040,2019,1,556
130050,2012,1,707
130050,2013,8,769
130050,2014,2,756
130050,2015,14,815
130050,2016,13,810
130050,2017,9,870
130050,2018,6,851
130050,2019,9,857
130060,2012,2,1053
130060,2013,7,1036
130060,2014,19,1077
130060,2015,16,968
130060,2016,9,1021
130060,2017,7,1039
130060,2018,15,985
130060,2019,10,1030
130063,2012,4,427
130063,2013,3,428
130063,2014,12,488
130063,2015,2,489
130063,2016,9,510
130063,2017,0,597
130063,2018,8,501
130063,2019,4,525
130068,2012,1,260
130068,2013,4,321
130068,2014,1,328
130068,2015,1,369
130068,2016,1,312
130068,2017,4,319
130068,2018,4,318
130068,2019,2,330
130070,2012,12,741
130070,2013,8,763
130070,2014,12,734
130070,2015,12,695
130070,2016,5,653
130070,2017,22,771
130070,2018,11,739
130070,2019,10,725
130080,2012,11,690
130080,2013,19,705
130080,2014,12,711
130080,2015,8,725
130080,2016,10,663
130080,2017,14,797
130080,2018,8,789
130080,2019,5,763
130083,2012,0,138
130083,2013,2,203
130083,2014,2,204
130083,2015,2,173
130083,2016,2,183
130083,2017,4,216
130083,2018,4,188
130083,2019,6,169
130090,2012,6,213
130090,2013,0,196
130090,2014,4,231
130090,2015,2,219
130090,2016,0,217
130090,2017,10,191
130090,2018,6,222
130090,2019,2,192
130100,2012,2,656
130100,2013,12,633
130100,2014,12,658
130100,2015,10,628
130100,2016,12,625
130100,2017,7,626
130100,2018,12,636
130100,2019,13,635
130110,2012,6,414
130110,2013,2,442
130110,2014,2,474
130110,2015,2,419
130110,2016,10,481
130110,2017,8,512
130110,2018,13,550
130110,2019,6,564
130115,2012,2,171
130115,2013,2,168
130115,2014,0,208
130115,2015,8,215
130115,2016,2,199
130115,2017,4,237
130115,2018,9,275
130115,2019,2,198
130120,2012,15,1668
130120,2013,28,1750
130120,2014,35,1704
130120,2015,20,1744
130120,2016,14,1646
130120,2017,35,1656
130120,2018,12,1747
130120,2019,18,1698
130130,2012,5,432
130130,2013,5,424
130130,2014,11,426
130130,2015,10,434
130130,2016,1,404
130130,2017,5,439
130130,2018,5,429
130130,2019,2,468
130140,2012,19,833
130140,2013,10,852
130140,2014,12,852
130140,2015,8,825
130140,2016,5,787
130140,2017,18,854
130140,2018,12,830
130140,2019,8,792
130150,2012,4,314
130150,2013,8,366
130150,2014,5,386
130150,2015,4,412
130150,2016,14,369
130150,2017,4,424
130150,2018,4,369
130150,2019,8,391
130160,2012,9,520
130160,2013,19,556
130160,2014,8,606
130160,2015,9,670
130160,2016,4,573
130160,2017,15,630
130160,2018,6,621
130160,2019,6,579
130165,2012,4,360
130165,2013,6,329
130165,2014,6,356
130165,2015,10,334
130165,2016,0,284
130165,2017,5,326
130165,2018,4,293
130165,2019,6,285
130170,2012,14,847
130170,2013,15,902
130170,2014,10,970
130170,2015,7,941
130170,2016,10,977
130170,2017,16,1001
130170,2018,7,1006
130170,2019,16,978
130180,2012,14,439
130180,2013,2,407
130180,2014,5,406
130180,2015,5,441
130180,2016,2,389
130180,2017,11,409
130180,2018,5,413
130180,2019,8,376
130185,2012,12,898
130185,2013,13,849
130185,2014,6,873
130185,2015,9,867
130185,2016,15,928
130185,2017,17,941
130185,2018,8,945
130185,2019,19,1021
130190,2012,26,2019
130190,2013,20,2085
130190,2014,11,2068
130190,2015,27,2078
130190,2016,18,2028
130190,2017,30,1985
130190,2018,22,2068
130190,2019,45,2034
130195,2012,0,197
130195,2013,3,260
130195,2014,5,260
130195,2015,4,293
130195,2016,3,263
130195,2017,7,245
130195,2018,5,303
130195,2019,4,247
130200,2012,2,199
130200,2013,0,184
130200,2014,2,154
130200,2015,0,148
130200,2016,1,187
130200,2017,2,165
130200,2018,2,171
130200,2019,0,173
130210,2012,0,142
130210,2013,2,130
130210,2014,0,148
130210,2015,2,169
130210,2016,2,150
130210,2017,0,161
130210,2018,4,151
130210,2019,0,121
130220,2012,0,171
130220,2013,6,202
130220,2014,4,193
130220,2015,6,217
130220,2016,0,175
130220,2017,1,253
130220,2018,2,251
130220,2019,2,235
130230,2012,6,601
130230,2013,20,629
130230,2014,10,631
130230,2015,3,633
130230,2016,5,604
130230,2017,6,659
130230,2018,13,648
130230,2019,7,646
130240,2012,5,682
130240,2013,2,728
130240,2014,11,715
130240,2015,13,659
130240,2016,2,652
130240,2017,17,741
130240,2018,6,779
130240,2019,18,892
130250,2012,25,1886
130250,2013,12,2000
130250,2014,30,2130
130250,2015,15,2070
130250,2016,23,1795
130250,2017,28,1938
130250,2018,14,2056
130250,2019,28,2115
130255,2012,6,250
130255,2013,4,249
130255,2014,4,233
130255,2015,0,234
130255,2016,8,253
130255,2017,8,300
130255,2018,2,303
130255,2019,3,276
130260,2012,681,41169
130260,2013,716,41640
130260,2014,709,42809
130260,2015,749,42342
130260,2016,626,39603
130260,2017,596,38498
130260,2018,672,38588
130260,2019,642,37939
130270,2012,6,810
130270,2013,14,850
130270,2014,17,903
130270,2015,6,930
130270,2016,8,911
130270,2017,12,989
130270,2018,12,1013
130270,2019,24,1023
130280,2012,2,313
130280,2013,10,338
130280,2014,2,399
130280,2015,5,323
130280,2016,0,358
130280,2017,11,418
130280,2018,12,405
130280,2019,7,381
130290,2012,18,1311
130290,2013,13,1317
130290,2014,16,1362
130290,2015,3,1335
130290,2016,6,1273
130290,2017,15,1553
130290,2018,19,1581
130290,2019,11,1539
130300,2012,4,344
130300,2013,4,301
130300,2014,9,357
130300,2015,5,356
130300,2016,2,338
130300,2017,4,358
130300,2018,2,314
130300,2019,4,346
130310,2012,6,591
130310,2013,6,628
130310,2014,10,619
130310,2015,13,593
130310,2016,9,587
130310,2017,12,592
130310,2018,3,612
130310,2019,6,546
130320,2012,4,257
130320,2013,2,246
130320,2014,0,307
130320,2015,3,316
130320,2016,2,289
130320,2017,6,333
130320,2018,2,327
130320,2019,6,310
130330,2012,8,321
130330,2013,1,351
130330,2014,4,344
130330,2015,5,409
130330,2016,8,386
130330,2017,4,406
130330,2018,2,379
130330,2019,10,392
130340,2012,7,2021
130340,2013,24,2133
130340,2014,15,2056
130340,2015,35,1995
130340,2016,35,1932
130340,2017,31,2139
130340,2018,36,2067
130340,2019,21,1947
130350,2012,8,308
130350,2013,0,367
130350,2014,7,364
130350,2015,9,374
130350,2016,3,348
130350,2017,4,355
130350,2018,4,362
130350,2019,12,369
130353,2012,11,556
130353,2013,6,580
130353,2014,6,585
130353,2015,9,558
130353,2016,10,548
130353,2017,9,523
130353,2018,7,558
130353,2019,6,513
130356,2012,4,361
130356,2013,1,374
130356,2014,4,412
130356,2015,6,391
130356,2016,7,415
130356,2017,11,422
130356,2018,6,431
130356,2019,8,440
130360,2012,2,344
130360,2013,0,279
130360,2014,4,225
130360,2015,2,301
130360,2016,2,305
130360,2017,6,370
130360,2018,2,372
130360,2019,4,322
130370,2012,12,603
130370,2013,10,576
130370,2014,2,652
130370,2015,11,718
130370,2016,12,693
130370,2017,2,724
130370,2018,5,704
130370,2019,14,773
130380,2012,18,1119
130380,2013,13,1143
130380,2014,13,1254
130380,2015,8,1120
130380,2016,20,1255
130380,2017,14,1214
130380,2018,23,1227
130380,2019,23,1436
130390,2012,8,959
130390,2013,8,914
130390,2014,7,987
130390,2015,9,753
130390,2016,9,871
130390,2017,9,999
130390,2018,14,935
130390,2019,13,956
130395,2012,4,178
130395,2013,0,160
130395,2014,0,163
130395,2015,2,180
130395,2016,0,178
130395,2017,2,206
130395,2018,2,186
130395,2019,3,200
130400,2012,6,181
130400,2013,0,208
130400,2014,2,180
130400,2015,0,202
130400,2016,0,208
130400,2017,0,246
130400,2018,6,197
130400,2019,0,229
130406,2012,8,1632
130406,2013,18,1619
130406,2014,23,1820
130406,2015,18,1615
130406,2016,21,1753
130406,2017,21,1701
130406,2018,14,1685
130406,2019,22,1770
130410,2012,4,401
130410,2013,7,421
130410,2014,3,391
130410,2015,3,439
130410,2016,9,389
130410,2017,5,405
130410,2018,2,394
130410,2019,6,432
130420,2012,23,1558
130420,2013,31,1732
130420,2014,17,1589
130420,2015,20,1754
130420,2016,38,1679
130420,2017,12,1763
130420,2018,26,1822
130420,2019,33,1927
130423,2012,3,348
130423,2013,4,322
130423,2014,4,366
130423,2015,8,391
130423,2016,2,363
130423,2017,7,458
130423,2018,2,435
130423,2019,3,429
130426,2012,5,288
130426,2013,1,304
130426,2014,7,302
130426,2015,4,295
130426,2016,8,264
130426,2017,3,333
