CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
110092,2013,0,158
110092,2014,55,158
110092,2015,56,154
110092,2016,58,153
110092,2017,66,169
110092,2018,58,181
110092,2019,65,162
110094,2012,26,161
110094,2013,0,203
110094,2014,72,240
110094,2015,69,274
110094,2016,36,241
110094,2017,33,209
110094,2018,68,229
110094,2019,74,205
110100,2012,20,133
110100,2013,0,116
110100,2014,52,124
110100,2015,36,132
110100,2016,29,112
110100,2017,36,109
110100,2018,59,133
110100,2019,39,112
110110,2012,23,114
110110,2013,0,123
110110,2014,17,97
110110,2015,10,112
110110,2016,19,129
110110,2017,13,95
110110,2018,20,92
110110,2019,27,109
110120,2012,21,100
110120,2013,0,104
110120,2014,46,107
110120,2015,19,93
110120,2016,31,93
110120,2017,35,100
110120,2018,26,92
110120,2019,27,84
110130,2012,28,148
110130,2013,0,122
110130,2014,41,137
110130,2015,47,179
110130,2016,40,148
110130,2017,48,156
110130,2018,47,160
110130,2019,60,164
110140,2012,51,170
110140,2013,0,223
110140,2014,53,204
110140,2015,65,240
110140,2016,38,173
110140,2017,34,200
110140,2018,74,220
110140,2019,74,199
110143,2012,18,99
110143,2013,0,82
110143,2014,37,110
110143,2015,10,73
110143,2016,28,90
110143,2017,31,94
110143,2018,28,87
110143,2019,33,104
110145,2012,21,63
110145,2013,0,55
110145,2014,21,49
110145,2015,22,54
110145,2016,23,50
110145,2017,17,51
110145,2018,29,53
110145,2019,18,44
110146,2012,7,51
110146,2013,0,42
110146,2014,13,37
110146,2015,14,52
110146,2016,13,34
110146,2017,16,52
110146,2018,23,52
110146,2019,12,40
110147,2012,17,43
110147,2013,0,39
110147,2014,13,47
110147,2015,19,40
110147,2016,14,56
110147,2017,21,63
110147,2018,13,38
110147,2019,20,43
110148,2012,18,64
110148,2013,0,61
110148,2014,20,59
110148,2015,25,73
110148,2016,22,54
110148,2017,21,75
110148,2018,27,54
110148,2019,20,54
110149,2012,64,246
110149,2013,0,266
110149,2014,103,308
110149,2015,111,319
110149,2016,94,305
110149,2017,120,333
110149,2018,117,327
110149,2019,109,303
110150,2012,54,190
110150,2013,0,184
110150,2014,55,170
110150,2015,60,188
110150,2016,51,171
