CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total
110092,2013,16,158
110092,2014,12,158
110092,2015,9,154
110092,2016,11,153
110092,2017,10,169
110092,2018,13,181
110092,2019,17,162
110094,2012,12,161
110094,2013,10,203
110094,2014,18,240
110094,2015,16,274
110094,2016,16,241
110094,2017,17,209
110094,2018,20,229
110094,2019,17,205
110100,2012,11,133
110100,2013,4,116
110100,2014,10,124
110100,2015,7,132
110100,2016,6,112
110100,2017,10,109
110100,2018,10,133
110100,2019,6,112
110110,2012,12,114
110110,2013,7,123
110110,2014,5,97
110110,2015,5,112
110110,2016,12,129
110110,2017,6,95
110110,2018,15,92
110110,2019,17,109
110120,2012,9,100
110120,2013,14,104
110120,2014,6,107
110120,2015,11,93
110120,2016,8,93
110120,2017,5,100
110120,2018,10,92
110120,2019,15,84
110130,2012,8,148
110130,2013,8,122
110130,2014,10,137
110130,2015,13,179
110130,2016,8,148
110130,2017,14,156
110130,2018,5,160
110130,2019,21,164
110140,2012,7,170
110140,2013,13,223
110140,2014,11,204
110140,2015,12,240
110140,2016,10,173
110140,2017,22,200
110140,2018,16,220
110140,2019,23,199
110143,2012,5,99
110143,2013,5,82
110143,2014,10,110
110143,2015,3,73
110143,2016,9,90
110143,2017,10,94
110143,2018,10,87
110143,2019,11,104
110145,2012,7,63
110145,2013,1,55
110145,2014,3,49
110145,2015,4,54
110145,2016,2,50
110145,2017,3,51
110145,2018,6,53
110145,2019,7,44
110146,2012,2,51
110146,2013,6,42
110146,2014,2,37
110146,2015,3,52
110146,2016,3,34
110146,2017,5,52
110146,2018,6,52
110146,2019,2,40
110147,2012,2,43
110147,2013,4,39
110147,2014,1,47
110147,2015,7,40
110147,2016,1,56
110147,2017,3,63
110147,2018,3,38
110147,2019,5,43
110148,2012,2,64
110148,2013,8,61
110148,2014,3,59
110148,2015,8,73
110148,2016,2,54
110148,2017,8,75
110148,2018,7,54
110148,2019,8,54
110149,2012,12,246
110149,2013,10,266
110149,2014,20,308
110149,2015,28,319
110149,2016,18,305
110149,2017,20,333
110149,2018,24,327
110149,2019,31,303
110150,2012,9,190
110150,2013,4,184
110150,2014,8,170
110150,2015,11,188
110150,2016,12,171
110150,2017,12,188
110150,2018,9,154
110150,2019,15,168
110155,2012,3,57
110155,2013,4,80
110155,2014,5,69
110155,2015,11,71
110155,2016,4,59
110155,2017,5,58
110155,2018,5,60
110155,2019,3,64
110160,2012,5,133
110160,2013,7,106
110160,2014,9,125
110160,2015,10,107
110160,2016,13,131
110160,2017,18,146
110160,2018,12,131
110160,2019,11,97
110170,2012,10,146
110170,2013,11,150
110170,2014,7,122
110170,2015,15,138
110170,2016,12,151
110170,2017,19,150
110170,2018,16,139
110170,2019,19,170
110175,2012,4,86
110175,2013,7,89
110175,2014,13,128
110175,2015,10,106
110175,2016,7,110
110175,2017,9,86
110175,2018,7,91
110175,2019,8,93
110180,2012,6,83
110180,2013,8,107
110180,2014,5,90
110180,2015,5,63
110180,2016,7,98
110180,2017,8,79
110180,2018,8,95
110180,2019,8,81
120000,2012,0,1
120001,2012,13,253
120001,2013,24,258
120001,2014,24,269
120001,2015,16,217
120001,2016,14,222
120001,2017,18,256
120001,2018,24,216
120001,2019,34,257
120005,2012,27,219
120005,2013,15,213
120005,2014,20,196
120005,2015,24,238
120005,2016,27,190
120005,2017,30,248
120005,2018,35,264
120005,2019,37,266
120010,2012,35,505
120010,2013,37,530
120010,2014,44,547
120010,2015,56,531
120010,2016,32,490
120010,2017,50,570
120010,2018,55,540
120010,2019,47,540
120013,2012,15,198
120013,2013,16,202
120013,2014,23,242
120013,2015,25,248
120013,2016,28,248
120013,2017,33,307
120013,2018,37,306
120013,2019,46,329
120017,2012,20,201
120017,2013,17,193
