CODMUNRES,Ano,Qtd_Total,Pop
110001,2012,386,24516
110001,2013,382,24293
110001,2014,341,24066
110001,2015,373,23835
110001,2016,326,23614
110001,2017,354,23392
110001,2018,408,23167
110001,2019,366,22945
110037,2012,189,13141
110037,2013,163,13155
110037,2014,172,13170
110037,2015,149,13184
110037,2016,168,13199
110037,2017,172,13213
110037,2018,160,13227
110037,2019,154,13241
110040,2012,194,18388
110040,2013,211,18819
110040,2014,254,19258
110040,2015,247,19705
110040,2016,220,20134
110040,2017,242,20563
110040,2018,219,20999
110040,2019,226,21428
110034,2012,189,16621
110034,2013,220,16308
110034,2014,184,15989
110034,2015,200,15664
110034,2016,166,15352
110034,2017,178,15040
110034,2018,162,14722
110034,2019,205,14411
110002,2012,1339,95836
110002,2013,1654,97540
110002,2014,1647,99278
110002,2015,1783,101048
110002,2016,1662,102744
110002,2017,1724,104441
110002,2018,1682,106168
110002,2019,1729,107863
110045,2012,555,34567
110045,2013,598,35287
110045,2014,620,36023
110045,2015,608,36771
110045,2016,624,37488
110045,2017,632,38206
110045,2018,617,38937
110045,2019,583,39654
110003,2012,64,6207
110003,2013,74,6080
110003,2014,75,5951
110003,2015,86,5819
110003,2016,73,5693
110003,2017,67,5567
110003,2018,82,5438
110003,2019,80,5312
110060,2012,61,5948
110060,2013,63,5988
110060,2014,58,6029
110060,2015,72,6070
110060,2016,67,6110
110060,2017,71,6150
110060,2018,80,6190
110060,2019,75,6230
110004,2012,1201,81487
110004,2013,1185,82035
110004,2014,1307,82595
110004,2015,1360,83164
110004,2016,1338,83710
110004,2017,1452,84257
110004,2018,1446,84813
110004,2019,1374,85359
110070,2012,164,13218
110070,2013,183,13349
110070,2014,181,13482
110070,2015,156,13617
110070,2016,162,13747
110070,2017,174,13877
110070,2018,195,14009
110070,2019,166,14139
110080,2012,430,21657
110080,2013,404,22370
110080,2014,296,23098
110080,2015,323,23839
110080,2016,372,24549
110080,2017,397,25260
110080,2018,421,25983
110080,2019,337,26693
110090,2012,53,3525
110090,2013,36,3458
110090,2014,46,3390
110090,2015,52,3320
110090,2016,55,3254
110090,2017,39,3187
110090,2018,56,3119
110090,2019,32,3052
110005,2012,244,17182
110005,2013,271,17060
110005,2014,250,16936
110005,2015,277,16810
110005,2016,263,16689
110005,2017,277,16567
110005,2018,264,16444
110005,2019,236,16323
110092,2012,118,9084
110092,2013,158,9381
110092,2014,158,9684
110092,2015,154,9993
110092,2016,153,10289
110092,2017,169,10585
110092,2018,181,10886
110092,2019,162,11182
110006,2012,214,18332
110006,2013,256,17985
110006,2014,273,17631
110006,2015,251,17270
110006,2016,222,16925
