CODMUNRES,ano_nasc,Qtd_2Parto,Qtd_Total
110090,2018,51,56
110090,2019,24,32
110092,2012,83,118
110092,2013,120,158
110092,2014,127,158
110092,2015,111,154
110092,2016,126,153
110092,2017,128,169
110092,2018,115,181
110092,2019,110,162
110094,2012,90,161
110094,2013,117,203
110094,2014,148,240
110094,2015,181,274
110094,2016,149,241
110094,2017,130,209
110094,2018,140,229
110094,2019,117,205
110100,2012,91,133
110100,2013,82,116
110100,2014,96,124
110100,2015,101,132
110100,2016,78,112
110100,2017,81,109
110100,2018,100,133
110100,2019,76,112
110110,2012,48,114
110110,2013,55,123
110110,2014,46,97
110110,2015,52,112
110110,2016,61,129
110110,2017,48,95
110110,2018,55,92
110110,2019,52,109
110120,2012,74,100
110120,2013,81,104
110120,2014,82,107
110120,2015,67,93
110120,2016,73,93
110120,2017,83,100
110120,2018,69,92
110120,2019,73,84
110130,2012,106,148
110130,2013,85,122
110130,2014,96,137
110130,2015,139,179
110130,2016,117,148
110130,2017,122,156
110130,2018,123,160
110130,2019,120,164
110140,2012,115,170
110140,2013,158,223
110140,2014,165,204
110140,2015,182,240
110140,2016,128,173
110140,2017,148,200
110140,2018,153,220
110140,2019,144,199
110143,2012,79,99
110143,2013,58,82
110143,2014,93,110
110143,2015,54,73
110143,2016,63,90
110143,2017,78,94
110143,2018,70,87
110143,2019,83,104
110145,2012,49,63
110145,2013,47,55
110145,2014,38,49
110145,2015,49,54
110145,2016,44,50
110145,2017,45,51
110145,2018,50,53
110145,2019,38,44
110146,2012,39,51
110146,2013,26,42
110146,2014,27,37
110146,2015,35,52
110146,2016,26,34
110146,2017,38,52
110146,2018,38,52
110146,2019,23,40
110147,2012,33,43
110147,2013,32,39
110147,2014,43,47
110147,2015,34,40
110147,2016,48,56
110147,2017,59,63
110147,2018,34,38
110147,2019,40,43
110148,2012,55,64
110148,2013,51,61
110148,2014,48,59
110148,2015,58,73
110148,2016,48,54
110148,2017,54,75
110148,2018,52,54
110148,2019,48,54
110149,2012,176,246
110149,2013,210,266
110149,2014,241,308
110149,2015,256,319
110149,2016,238,305
110149,2017,262,333
110149,2018,249,327
110149,2019,219,303
110150,2012,151,190
110150,2013,142,184
110150,2014,137,170
110150,2015,151,188
110150,2016,135,171
110150,2017,134,188
110150,2018,116,154
110150,2019,135,168
110155,2012,45,57
110155,2013,66,80
110155,2014,65,69
110155,2015,57,71
110155,2016,45,59
110155,2017,44,58
110155,2018,46,60
110155,2019,53,64
110160,2012,89,133
110160,2013,71,106
110160,2014,97,125
110160,2015,84,107
110160,2016,103,131
110160,2017,111,146
110160,2018,103,131
110160,2019,76,97
110170,2012,96,146
110170,2013,100,150
110170,2014,91,122
110170,2015,104,138
110170,2016,114,151
110170,2017,105,150
110170,2018,109,139
110170,2019,137,170
110175,2012,57,86
110175,2013,60,89
110175,2014,91,128
110175,2015,79,106
110175,2016,74,110
110175,2017,61,86
110175,2018,59,91
110175,2019,61,93
110180,2012,66,83
110180,2013,80,107
110180,2014,74,90
110180,2015,49,63
110180,2016,76,98
110180,2017,58,79
110180,2018,71,95
110180,2019,59,81
120000,2012,0,1
120001,2012,86,253
120001,2013,109,258
120001,2014,97,269
120001,2015,87,217
120001,2016,93,222
120001,2017,113,256
120001,2018,93,216
120001,2019,128,257
120005,2012,34,219
120005,2013,52,213
120005,2014,54,196
120005,2015,65,238
120005,2016,49,190
120005,2017,65,248
120005,2018,71,264
120005,2019,70,266
120010,2012,212,505
120010,2013,214,530
120010,2014,253,547
120010,2015,270,531
120010,2016,233,490
120010,2017,253,570
120010,2018,278,540
120010,2019,292,540
120013,2012,56,198
120013,2013,76,202
120013,2014,90,242
120013,2015,92,248
120013,2016,108,248
120013,2017,143,307
120013,2018,115,306
120013,2019,148,329
120017,2012,68,201
120017,2013,73,193
120017,2014,82,234
120017,2015,80,219
120017,2016,70,194
120017,2017,89,243
120017,2018,78,222
120017,2019,100,217
120020,2012,668,1741
