CODMUNRES,ano_nasc,Qtd_Mais_de_5_Consultas_Pre_Natal,Qtd_Total
110090,2017,33,39
110090,2018,51,56
110090,2019,28,32
110092,2012,63,118
110092,2013,0,158
110092,2014,124,158
110092,2015,127,154
110092,2016,126,153
110092,2017,143,169
110092,2018,141,181
110092,2019,123,162
110094,2012,105,161
110094,2013,0,203
110094,2014,165,240
110094,2015,172,274
110094,2016,104,241
110094,2017,76,209
110094,2018,159,229
110094,2019,173,205
110100,2012,107,133
110100,2013,0,116
110100,2014,105,124
110100,2015,116,132
110100,2016,103,112
110100,2017,95,109
110100,2018,121,133
110100,2019,103,112
110110,2012,72,114
110110,2013,0,123
110110,2014,76,97
110110,2015,82,112
110110,2016,93,129
110110,2017,73,95
110110,2018,73,92
110110,2019,93,109
110120,2012,89,100
110120,2013,0,104
110120,2014,100,107
110120,2015,84,93
110120,2016,89,93
110120,2017,84,100
110120,2018,78,92
110120,2019,72,84
110130,2012,96,148
110130,2013,0,122
110130,2014,118,137
110130,2015,157,179
110130,2016,132,148
110130,2017,140,156
110130,2018,147,160
110130,2019,152,164
110140,2012,140,170
110140,2013,0,223
110140,2014,174,204
110140,2015,161,240
110140,2016,82,173
110140,2017,95,200
110140,2018,170,220
110140,2019,168,199
110143,2012,65,99
110143,2013,0,82
110143,2014,103,110
110143,2015,53,73
110143,2016,72,90
110143,2017,76,94
110143,2018,79,87
110143,2019,98,104
110145,2012,50,63
110145,2013,0,55
110145,2014,42,49
110145,2015,52,54
110145,2016,45,50
110145,2017,46,51
110145,2018,46,53
110145,2019,33,44
110146,2012,15,51
110146,2013,0,42
110146,2014,25,37
110146,2015,35,52
110146,2016,25,34
110146,2017,39,52
110146,2018,35,52
110146,2019,32,40
110147,2012,36,43
110147,2013,0,39
110147,2014,42,47
110147,2015,31,40
110147,2016,51,56
110147,2017,60,63
110147,2018,35,38
110147,2019,41,43
110148,2012,58,64
110148,2013,0,61
110148,2014,47,59
110148,2015,67,73
110148,2016,47,54
110148,2017,64,75
110148,2018,48,54
110148,2019,52,54
110149,2012,126,246
110149,2013,0,266
110149,2014,265,308
110149,2015,269,319
110149,2016,260,305
110149,2017,287,333
110149,2018,297,327
110149,2019,272,303
110150,2012,155,190
110150,2013,0,184
110150,2014,149,170
110150,2015,167,188
110150,2016,163,171
110150,2017,174,188
110150,2018,141,154
110150,2019,152,168
110155,2012,38,57
110155,2013,0,80
110155,2014,63,69
110155,2015,61,71
110155,2016,47,59
110155,2017,52,58
110155,2018,55,60
110155,2019,60,64
110160,2012,99,133
110160,2013,0,106
110160,2014,104,125
110160,2015,96,107
110160,2016,112,131
110160,2017,123,146
110160,2018,117,131
110160,2019,84,97
110170,2012,98,146
110170,2013,0,150
110170,2014,105,122
110170,2015,113,138
110170,2016,123,151
110170,2017,114,150
110170,2018,119,139
110170,2019,151,170
110175,2012,60,86
110175,2013,0,89
110175,2014,104,128
110175,2015,82,106
110175,2016,97,110
110175,2017,74,86
110175,2018,84,91
110175,2019,83,93
110180,2012,64,83
110180,2013,0,107
110180,2014,73,90
110180,2015,53,63
110180,2016,78,98
110180,2017,61,79
110180,2018,82,95
110180,2019,70,81
120000,2012,1,1
120001,2012,153,253
120001,2013,0,258
120001,2014,196,269
120001,2015,169,217
120001,2016,169,222
120001,2017,178,256
120001,2018,171,216
120001,2019,196,257
120005,2012,76,219
120005,2013,0,213
120005,2014,90,196
120005,2015,97,238
120005,2016,101,190
120005,2017,102,248
120005,2018,110,264
120005,2019,95,266
120010,2012,295,505
120010,2013,0,530
120010,2014,279,547
120010,2015,336,531
120010,2016,327,490
120010,2017,386,570
120010,2018,396,540
120010,2019,387,540
120013,2012,133,198
120013,2013,0,202
120013,2014,162,242
120013,2015,175,248
120013,2016,170,248
120013,2017,185,307
120013,2018,216,306
120013,2019,249,329
120017,2012,88,201
120017,2013,0,193
120017,2014,135,234
120017,2015,145,219
120017,2016,123,194
120017,2017,153,243
120017,2018,145,222
120017,2019,164,217
120020,2012,939,1741
120020,2013,0,1783
120020,2014,1161,1818
120020,2015,1171,1839
120020,2016,1102,1632
120020,2017,1204,1684
120020,2018,1254,1756
120020,2019,1321,1809
120025,2012,161,282
120025,2013,0,275
120025,2014,139,262
120025,2015,163,279
120025,2016,154,270
120025,2017,178,291
120025,2018,186,273
120025,2019,214,314
120030,2012,216,904
120030,2013,0,791
120030,2014,201,829
120030,2015,216,772
120030,2016,292,834
120030,2017,144,833
120030,2018,283,833
120030,2019,373,871
120032,2012,45,269
120032,2013,0,271
120032,2014,63,282
120032,2015,95,273
120032,2016,95,263
120032,2017,100,266
120032,2018,89,274
120032,2019,64,218
120033,2012,160,386
120033,2013,0,399
120033,2014,260,413
120033,2015,234,395
120033,2016,203,325
120033,2017,229,358
120033,2018,267,367
120033,2019,236,345
120034,2012,139,256
120034,2013,0,229
120034,2014,97,243
120034,2015,125,266
120034,2016,131,236
120034,2017,155,261
120034,2018,148,252
120034,2019,119,230
120035,2012,156,474
120035,2013,0,485
120035,2014,186,458
120035,2015,179,445
120035,2016,147,352
120035,2017,192,388
120035,2018,201,407
120035,2019,257,448
120038,2012,214,353
120038,2013,0,334
120038,2014,230,322
120038,2015,236,350
120038,2016,235,339
120038,2017,210,305
120038,2018,223,309
120038,2019,232,318
120039,2012,108,338
120039,2013,0,287
120039,2014,136,250
120039,2015,152,262
120039,2016,142,230
120039,2017,163,282
120039,2018,138,254
120039,2019,163,270
120040,2012,4174,6531
120040,2013,0,7116
120040,2014,4542,7011
120040,2015,4658,6965
120040,2016,4592,6614
120040,2017,4516,6460
120040,2018,4637,6495
120040,2019,4563,6324
120042,2012,153,390
120042,2013,0,363
120042,2014,208,394
120042,2015,201,396
120042,2016,177,304
120042,2017,223,366
120042,2018,236,394
120042,2019,222,334
120043,2012,38,259
120043,2013,0,223
120043,2014,37,185
120043,2015,42,150
120043,2016,45,95
120043,2017,25,198
120043,2018,42,207
120043,2019,74,186
120045,2012,208,396
120045,2013,0,425
120045,2014,264,453
120045,2015,257,443
120045,2016,267,410
120045,2017,268,395
120045,2018,301,476
120045,2019,319,417
120050,2012,408,929
120050,2013,0,904
120050,2014,403,827
120050,2015,414,847
120050,2016,373,762
120050,2017,431,780
120050,2018,449,788
120050,2019,497,768
120060,2012,354,1158
120060,2013,0,1138
120060,2014,308,1230
120060,2015,349,1165
120060,2016,267,1078
120060,2017,349,1132
120060,2018,432,1193
120060,2019,396,1143
120070,2012,190,311
120070,2013,0,294
120070,2014,221,306
120070,2015,234,322
120070,2016,238,329
120070,2017,230,305
120070,2018,256,325
120070,2019,233,297
120080,2012,198,346
120080,2013,0,362
120080,2014,246,368
120080,2015,235,358
120080,2016,227,356
120080,2017,265,430
120080,2018,256,392
120080,2019,256,379
130000,2012,2,8
130000,2013,0,18
130000,2014,5,23
130000,2015,3,18
130000,2016,5,25
130000,2017,3,17
130000,2018,6,25
130000,2019,5,12
130002,2012,145,320
130002,2013,0,346
130002,2014,181,308
130002,2015,172,342
130002,2016,163,325
130002,2017,196,401
130002,2018,170,346
130002,2019,218,418
130006,2012,140,242
130006,2013,0,261
130006,2014,187,264
130006,2015,161,214
130006,2016,212,280
130006,2017,190,267
130006,2018,192,247
130006,2019,215,265
130008,2012,135,199
130008,2013,0,201
130008,2014,130,212
130008,2015,104,163
130008,2016,136,182
130008,2017,145,196
130008,2018,162,214
130008,2019,136,190
130010,2012,154,247
130010,2013,0,285
130010,2014,164,267
130010,2015,156,255
130010,2016,152,266
130010,2017,172,257
130010,2018,171,247
130010,2019,156,233
130014,2012,139,195
130014,2013,0,223
130014,2014,176,223
130014,2015,167,204
130014,2016,174,211
130014,2017,196,233
130014,2018,202,242
130014,2019,189,239
130020,2012,117,357
130020,2013,0,354
130020,2014,222,435
130020,2015,268,439
130020,2016,235,380
130020,2017,208,382
130020,2018,198,357
130020,2019,177,313
130030,2012,424,877
130030,2013,0,877
130030,2014,496,955
130030,2015,468,829
130030,2016,492,890
130030,2017,542,897
130030,2018,552,948
130030,2019,559,872
130040,2012,139,469
130040,2013,0,480
130040,2014,162,419
130040,2015,148,505
130040,2016,187,496
130040,2017,218,524
130040,2018,209,570
130040,2019,223,556
130050,2012,346,707
130050,2013,0,769
130050,2014,386,756
130050,2015,470,815
130050,2016,393,810
130050,2017,473,870
130050,2018,475,851
130050,2019,528,857
130060,2012,471,1053
130060,2013,0,1036
130060,2014,588,1077
130060,2015,618,968
130060,2016,663,1021
130060,2017,628,1039
130060,2018,625,985
130060,2019,684,1030
130063,2012,169,427
130063,2013,0,428
130063,2014,233,488
130063,2015,256,489
130063,2016,215,510
130063,2017,313,597
130063,2018,286,501
130063,2019,221,525
130068,2012,143,260
130068,2013,0,321
130068,2014,207,328
130068,2015,209,369
130068,2016,163,312
130068,2017,192,319
130068,2018,226,318
130068,2019,267,330
130070,2012,303,741
130070,2013,0,763
130070,2014,527,734
130070,2015,529,695
130070,2016,486,653
130070,2017,541,771
130070,2018,482,739
130070,2019,500,725
130080,2012,423,690
130080,2013,0,705
130080,2014,526,711
130080,2015,530,725
130080,2016,524,663
130080,2017,610,797
130080,2018,561,789
130080,2019,525,763
130083,2012,56,138
130083,2013,0,203
130083,2014,101,204
130083,2015,111,173
130083,2016,103,183
130083,2017,136,216
130083,2018,108,188
130083,2019,88,169
130090,2012,128,213
130090,2013,0,196
130090,2014,158,231
130090,2015,148,219
130090,2016,147,217
130090,2017,119,191
130090,2018,108,222
130090,2019,130,192
130100,2012,346,656
130100,2013,0,633
130100,2014,371,658
130100,2015,360,628
130100,2016,333,625
130100,2017,374,626
130100,2018,383,636
130100,2019,450,635
130110,2012,199,414
130110,2013,0,442
130110,2014,246,474
130110,2015,229,419
130110,2016,247,481
130110,2017,318,512
130110,2018,341,550
130110,2019,356,564
130115,2012,72,171
130115,2013,0,168
130115,2014,95,208
130115,2015,103,215
130115,2016,110,199
130115,2017,135,237
130115,2018,152,275
130115,2019,128,198
130120,2012,525,1668
130120,2013,0,1750
130120,2014,816,1704
130120,2015,885,1744
130120,2016,901,1646
130120,2017,846,1656
130120,2018,961,1747
130120,2019,1026,1698
130130,2012,200,432
130130,2013,0,424
130130,2014,223,426
130130,2015,238,434
130130,2016,255,404
130130,2017,273,439
130130,2018,309,429
130130,2019,314,468
130140,2012,405,833
130140,2013,0,852
130140,2014,439,852
130140,2015,468,825
130140,2016,443,787
130140,2017,495,854
130140,2018,578,830
130140,2019,563,792
130150,2012,186,314
130150,2013,0,366
130150,2014,203,386
130150,2015,282,412
130150,2016,255,369
130150,2017,318,424
130150,2018,269,369
130150,2019,269,391
130160,2012,216,520
130160,2013,0,556
130160,2014,334,606
130160,2015,367,670
130160,2016,318,573
130160,2017,361,630
130160,2018,297,621
130160,2019,326,579
130165,2012,180,360
130165,2013,0,329
130165,2014,205,356
130165,2015,197,334
130165,2016,167,284
130165,2017,202,326
130165,2018,170,293
130165,2019,192,285
130170,2012,556,847
130170,2013,0,902
130170,2014,650,970
130170,2015,643,941
130170,2016,686,977
130170,2017,775,1001
130170,2018,773,1006
130170,2019,770,978
130180,2012,114,439
130180,2013,0,407
130180,2014,123,406
130180,2015,168,441
130180,2016,146,389
130180,2017,120,409
130180,2018,173,413
130180,2019,189,376
130185,2012,568,898
130185,2013,0,849
130185,2014,440,873
130185,2015,482,867
130185,2016,535,928
130185,2017,597,941
130185,2018,575,945
130185,2019,665,1021
130190,2012,1160,2019
130190,2013,0,2085
130190,2014,1269,2068
130190,2015,1395,2078
130190,2016,1399,2028
130190,2017,1296,1985
130190,2018,1372,2068
130190,2019,1405,2034
