CODMUNRES,Ano,Qtd_Total,Pop
110025,2012,50,1941
110025,2013,41,1837
110025,2014,44,1731
110025,2015,41,1623
110025,2016,55,1546
110025,2017,42,1467
110025,2018,53,1388
110025,2019,56,1307
110147,2012,10,335
110147,2013,12,314
110147,2014,11,298
110147,2015,6,282
110147,2016,15,259
110147,2017,11,236
110147,2018,10,213
110147,2019,4,189
110026,2012,12,336
110026,2013,9,336
110026,2014,3,330
110026,2015,9,327
110026,2016,6,316
110026,2017,8,304
110026,2018,7,294
110026,2019,7,280
110028,2012,216,4864
110028,2013,173,4788
110028,2014,188,4706
110028,2015,181,4623
110028,2016,149,4555
110028,2017,164,4476
110028,2018,148,4393
110028,2019,136,4309
110029,2012,26,744
110029,2013,21,683
110029,2014,16,619
110029,2015,28,554
110029,2016,19,520
110029,2017,15,485
110029,2018,14,449
110029,2019,14,413
110148,2012,9,549
110148,2013,11,511
110148,2014,8,486
110148,2015,11,450
110148,2016,8,424
110148,2017,12,398
110148,2018,5,370
110148,2019,9,344
110149,2012,71,1740
110149,2013,59,1738
110149,2014,78,1733
110149,2015,60,1729
110149,2016,75,1708
110149,2017,77,1683
110149,2018,54,1657
110149,2019,47,1630
110032,2012,75,2279
110032,2013,91,2211
110032,2014,90,2140
110032,2015,67,2069
110032,2016,57,2004
110032,2017,73,1933
110032,2018,53,1861
110032,2019,53,1788
110150,2012,45,1220
110150,2013,41,1183
110150,2014,35,1146
110150,2015,48,1108
110150,2016,42,1067
110150,2017,35,1024
110150,2018,34,979
110150,2019,34,935
110155,2012,11,451
110155,2013,11,425
110155,2014,17,400
110155,2015,12,374
110155,2016,17,355
110155,2017,9,335
110155,2018,7,315
110155,2019,10,295
110160,2012,29,1017
110160,2013,28,982
110160,2014,23,947
110160,2015,24,913
110160,2016,23,875
110160,2017,29,835
110160,2018,23,795
110160,2019,18,754
110170,2012,22,1183
110170,2013,26,1122
110170,2014,24,1061
110170,2015,25,998
110170,2016,35,955
110170,2017,33,909
110170,2018,23,864
110170,2019,23,818
110175,2012,24,952
110175,2013,16,948
110175,2014,30,943
110175,2015,19,938
110175,2016,21,912
110175,2017,20,886
110175,2018,13,857
110175,2019,12,829
110180,2012,22,780
110180,2013,19,747
110180,2014,7,703
110180,2015,10,651
110180,2016,23,611
110180,2017,10,572
110180,2018,18,530
110180,2019,18,489
110030,2012,256,7726
110030,2013,268,7803
110030,2014,265,7882
110030,2015,259,7957
110030,2016,251,8040
110030,2017,262,8109
110030,2018,218,8162
110030,2019,238,8220
120001,2012,71,1470
120001,2013,75,1486
120001,2014,72,1495
120001,2015,53,1502
120001,2016,52,1489
120001,2017,65,1472
120001,2018,61,1444
120001,2019,61,1416
120005,2012,68,730
120005,2013,63,744
120005,2014,71,753
120005,2015,67,762
120005,2016,63,780
120005,2017,66,795
120005,2018,92,808
120005,2019,80,818
120010,2012,141,2446
120010,2013,176,2478
120010,2014,170,2500
120010,2015,162,2519
120010,2016,141,2517
120010,2017,162,2503
120010,2018,147,2486
120010,2019,150,2458
120013,2012,50,917
120013,2013,70,932
120013,2014,83,943
120013,2015,73,954
120013,2016,75,947
120013,2017,95,936
120013,2018,79,924
120013,2019,87,908
120017,2012,53,1111
120017,2013,52,1148
120017,2014,75,1179
120017,2015,60,1210
120017,2016,47,1187
120017,2017,71,1164
120017,2018,59,1133
120017,2019,55,1099
120020,2012,494,9731
120020,2013,518,9776
120020,2014,518,9761
120020,2015,498,9755
120020,2016,438,9752
120020,2017,446,9689
120020,2018,434,9622
120020,2019,433,9519
120025,2012,65,1749
120025,2013,82,1765
120025,2014,68,1773
120025,2015,87,1779
120025,2016,68,1797
120025,2017,72,1801
120025,2018,62,1799
120025,2019,71,1794
120030,2012,259,4035
120030,2013,249,4068
120030,2014,263,4080
120030,2015,259,4089
120030,2016,268,4082
120030,2017,238,4058
120030,2018,276,4025
120030,2019,262,3976
120032,2012,84,921
120032,2013,83,959
120032,2014,82,992
120032,2015,102,1024
120032,2016,86,1041
120032,2017,91,1052
120032,2018,96,1063
120032,2019,76,1069
120033,2012,98,1885
120033,2013,117,1912
120033,2014,103,1933
120033,2015,108,1950
120033,2016,95,1959
120033,2017,92,1960
120033,2018,109,1956
120033,2019,88,1947
120034,2012,82,938
120034,2013,69,946
120034,2014,75,951
120034,2015,86,954
120034,2016,62,953
120034,2017,64,947
120034,2018,78,940
120034,2019,74,929
120035,2012,125,1993
120035,2013,138,2067
120035,2014,126,2132
120035,2015,139,2194
120035,2016,110,2246
120035,2017,121,2288
120035,2018,129,2328
120035,2019,139,2359
120038,2012,124,1975
120038,2013,111,1983
120038,2014,96,1985
120038,2015,108,1985
120038,2016,102,1953
120038,2017,81,1915
120038,2018,91,1869
120038,2019,85,1817
120080,2012,114,1704
120080,2013,106,1740
120080,2014,96,1767
120080,2015,112,1793
120080,2016,92,1783
120080,2017,129,1764
120080,2018,110,1741
120080,2019,104,1713
120039,2012,73,1261
120039,2013,61,1316
120039,2014,75,1365
120039,2015,87,1412
120039,2016,84,1420
120039,2017,95,1422
120039,2018,93,1422
120039,2019,90,1417
120040,2012,1531,37322
120040,2013,1629,37947
120040,2014,1602,38399
120040,2015,1561,38821
120040,2016,1387,39426
120040,2017,1276,39862
120040,2018,1170,40240
120040,2019,1102,40459
120042,2012,108,1952
120042,2013,100,2024
120042,2014,107,2091
120042,2015,117,2154
120042,2016,92,2161
120042,2017,104,2157
120042,2018,118,2151
120042,2019,99,2135
120043,2012,52,616
120043,2013,64,651
120043,2014,33,684
120043,2015,40,715
120043,2016,29,733
120043,2017,65,749
120043,2018,59,763
120043,2019,43,774
120050,2012,292,4577
120050,2013,310,4637
120050,2014,282,4680
120050,2015,248,4717
120050,2016,247,4730
120050,2017,236,4714
120050,2018,216,4697
120050,2019,216,4662
120045,2012,115,2285
120045,2013,114,2303
120045,2014,129,2319
120045,2015,131,2319
120045,2016,111,2315
