CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total
110130,2013,4,122
110130,2014,11,137
110130,2015,7,179
110130,2016,6,148
110130,2017,8,156
110130,2018,3,160
110130,2019,0,164
110140,2012,17,170
110140,2013,21,223
110140,2014,15,204
110140,2015,13,240
110140,2016,8,173
110140,2017,19,200
110140,2018,2,220
110140,2019,11,199
110143,2012,9,99
110143,2013,10,82
110143,2014,3,110
110143,2015,4,73
110143,2016,1,90
110143,2017,5,94
110143,2018,2,87
110143,2019,0,104
110145,2012,3,63
110145,2013,2,55
110145,2014,3,49
110145,2015,0,54
110145,2016,0,50
110145,2017,1,51
110145,2018,2,53
110145,2019,1,44
110146,2012,5,51
110146,2013,3,42
110146,2014,2,37
110146,2015,2,52
110146,2016,2,34
110146,2017,0,52
110146,2018,0,52
110146,2019,1,40
110147,2012,1,43
110147,2013,1,39
110147,2014,3,47
110147,2015,0,40
110147,2016,0,56
110147,2017,0,63
110147,2018,0,38
110147,2019,1,43
110148,2012,4,64
110148,2013,1,61
110148,2014,2,59
110148,2015,3,73
110148,2016,1,54
110148,2017,1,75
110148,2018,0,54
110148,2019,0,54
110149,2012,14,246
110149,2013,10,266
110149,2014,7,308
110149,2015,4,319
110149,2016,3,305
110149,2017,6,333
110149,2018,10,327
110149,2019,11,303
110150,2012,15,190
110150,2013,23,184
110150,2014,10,170
110150,2015,5,188
110150,2016,7,171
110150,2017,4,188
110150,2018,6,154
110150,2019,5,168
110155,2012,8,57
110155,2013,10,80
110155,2014,3,69
110155,2015,0,71
110155,2016,2,59
110155,2017,2,58
110155,2018,4,60
110155,2019,3,64
110160,2012,8,133
110160,2013,7,106
110160,2014,2,125
110160,2015,2,107
110160,2016,4,131
110160,2017,4,146
110160,2018,2,131
110160,2019,2,97
110170,2012,19,146
110170,2013,11,150
110170,2014,12,122
110170,2015,3,138
110170,2016,4,151
110170,2017,2,150
110170,2018,7,139
110170,2019,4,170
110175,2012,6,86
110175,2013,9,89
110175,2014,7,128
110175,2015,2,106
110175,2016,7,110
110175,2017,1,86
110175,2018,3,91
110175,2019,5,93
110180,2012,10,83
110180,2013,11,107
110180,2014,4,90
110180,2015,2,63
110180,2016,3,98
110180,2017,7,79
110180,2018,3,95
110180,2019,1,81
120000,2012,0,1
120001,2012,41,253
120001,2013,32,258
120001,2014,31,269
120001,2015,21,217
120001,2016,18,222
120001,2017,21,256
120001,2018,19,216
120001,2019,31,257
120005,2012,84,219
120005,2013,68,213
120005,2014,69,196
120005,2015,89,238
120005,2016,58,190
120005,2017,73,248
120005,2018,46,264
120005,2019,60,266
120010,2012,72,505
120010,2013,102,530
120010,2014,143,547
120010,2015,88,531
120010,2016,89,490
120010,2017,84,570
120010,2018,59,540
120010,2019,44,540
120013,2012,31,198
120013,2013,29,202
120013,2014,24,242
120013,2015,29,248
120013,2016,13,248
120013,2017,37,307
120013,2018,35,306
120013,2019,24,329
120017,2012,40,201
120017,2013,41,193
120017,2014,38,234
120017,2015,26,219
120017,2016,26,194
120017,2017,30,243
120017,2018,33,222
120017,2019,23,217
120020,2012,201,1741
120020,2013,172,1783
120020,2014,163,1818
120020,2015,283,1839
120020,2016,110,1632
120020,2017,108,1684
120020,2018,99,1756
120020,2019,62,1809
120025,2012,26,282
120025,2013,42,275
120025,2014,42,262
120025,2015,32,279
120025,2016,36,270
120025,2017,20,291
120025,2018,16,273
120025,2019,22,314
120030,2012,286,904
120030,2013,270,791
120030,2014,274,829
120030,2015,179,772
120030,2016,212,834
120030,2017,181,833
120030,2018,167,833
120030,2019,153,871
120032,2012,122,269
120032,2013,107,271
120032,2014,78,282
120032,2015,80,273
120032,2016,60,263
120032,2017,64,266
120032,2018,57,274
120032,2019,34,218
120033,2012,60,386
120033,2013,38,399
120033,2014,32,413
120033,2015,48,395
120033,2016,32,325
120033,2017,26,358
120033,2018,16,367
120033,2019,13,345
120034,2012,103,256
120034,2013,71,229
120034,2014,97,243
120034,2015,93,266
120034,2016,72,236
120034,2017,57,261
120034,2018,62,252
120034,2019,48,230
120035,2012,151,474
120035,2013,125,485
120035,2014,130,458
120035,2015,120,445
120035,2016,93,352
120035,2017,63,388
120035,2018,74,407
120035,2019,59,448
120038,2012,56,353
120038,2013,43,334
120038,2014,60,322
120038,2015,36,350
120038,2016,40,339
120038,2017,27,305
120038,2018,31,309
120038,2019,22,318
120039,2012,90,338
120039,2013,76,287
120039,2014,54,250
120039,2015,61,262
120039,2016,41,230
120039,2017,35,282
