CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total
110130,2013,6,122
110130,2014,13,137
110130,2015,8,179
110130,2016,3,148
110130,2017,5,156
110130,2018,5,160
110130,2019,6,164
110140,2012,12,170
110140,2013,6,223
110140,2014,5,204
110140,2015,9,240
110140,2016,4,173
110140,2017,1,200
110140,2018,7,220
110140,2019,7,199
110143,2012,2,99
110143,2013,3,82
110143,2014,6,110
110143,2015,3,73
110143,2016,7,90
110143,2017,4,94
110143,2018,4,87
110143,2019,3,104
110145,2012,5,63
110145,2013,4,55
110145,2014,1,49
110145,2015,2,54
110145,2016,1,50
110145,2017,2,51
110145,2018,5,53
110145,2019,4,44
110146,2012,0,51
110146,2013,1,42
110146,2014,2,37
110146,2015,7,52
110146,2016,1,34
110146,2017,1,52
110146,2018,4,52
110146,2019,2,40
110147,2012,3,43
110147,2013,1,39
110147,2014,0,47
110147,2015,1,40
110147,2016,2,56
110147,2017,0,63
110147,2018,2,38
110147,2019,1,43
110148,2012,3,64
110148,2013,2,61
110148,2014,2,59
110148,2015,4,73
110148,2016,1,54
110148,2017,6,75
110148,2018,5,54
110148,2019,3,54
110149,2012,7,246
110149,2013,16,266
110149,2014,15,308
110149,2015,18,319
110149,2016,22,305
110149,2017,15,333
110149,2018,24,327
110149,2019,23,303
110150,2012,11,190
110150,2013,11,184
110150,2014,13,170
110150,2015,8,188
110150,2016,4,171
110150,2017,4,188
110150,2018,3,154
110150,2019,7,168
110155,2012,3,57
110155,2013,4,80
110155,2014,3,69
110155,2015,3,71
110155,2016,1,59
110155,2017,3,58
110155,2018,1,60
110155,2019,2,64
110160,2012,8,133
110160,2013,4,106
110160,2014,3,125
110160,2015,5,107
110160,2016,6,131
110160,2017,4,146
110160,2018,4,131
110160,2019,6,97
110170,2012,4,146
110170,2013,4,150
110170,2014,7,122
110170,2015,5,138
110170,2016,7,151
110170,2017,4,150
110170,2018,4,139
110170,2019,4,170
110175,2012,6,86
110175,2013,8,89
110175,2014,7,128
110175,2015,7,106
110175,2016,4,110
110175,2017,2,86
110175,2018,3,91
110175,2019,4,93
110180,2012,4,83
110180,2013,1,107
110180,2014,7,90
110180,2015,1,63
110180,2016,2,98
110180,2017,2,79
110180,2018,1,95
110180,2019,4,81
120000,2012,0,1
120001,2012,12,253
120001,2013,2,258
120001,2014,6,269
120001,2015,8,217
120001,2016,6,222
120001,2017,8,256
120001,2018,6,216
120001,2019,1,257
120005,2012,1,219
120005,2013,3,213
120005,2014,1,196
120005,2015,1,238
120005,2016,1,190
120005,2017,0,248
120005,2018,1,264
120005,2019,0,266
120010,2012,3,505
120010,2013,6,530
120010,2014,6,547
120010,2015,9,531
120010,2016,5,490
120010,2017,4,570
120010,2018,4,540
120010,2019,9,540
120013,2012,2,198
120013,2013,1,202
120013,2014,3,242
120013,2015,7,248
120013,2016,2,248
120013,2017,3,307
120013,2018,2,306
120013,2019,8,329
120017,2012,5,201
120017,2013,3,193
120017,2014,4,234
120017,2015,4,219
120017,2016,6,194
120017,2017,2,243
120017,2018,1,222
120017,2019,2,217
120020,2012,13,1741
120020,2013,12,1783
120020,2014,13,1818
120020,2015,9,1839
120020,2016,21,1632
120020,2017,14,1684
120020,2018,11,1756
120020,2019,9,1809
120025,2012,1,282
120025,2013,3,275
120025,2014,2,262
120025,2015,2,279
120025,2016,2,270
120025,2017,2,291
120025,2018,2,273
120025,2019,4,314
120030,2012,4,904
120030,2013,9,791
120030,2014,3,829
120030,2015,8,772
120030,2016,3,834
120030,2017,6,833
120030,2018,8,833
120030,2019,15,871
120032,2012,10,269
120032,2013,8,271
120032,2014,6,282
120032,2015,8,273
120032,2016,2,263
120032,2017,2,266
120032,2018,2,274
120032,2019,1,218
120033,2012,9,386
120033,2013,5,399
120033,2014,6,413
120033,2015,3,395
120033,2016,2,325
120033,2017,2,358
120033,2018,2,367
120033,2019,0,345
120034,2012,19,256
120034,2013,10,229
120034,2014,11,243
120034,2015,11,266
120034,2016,5,236
120034,2017,2,261
120034,2018,1,252
120034,2019,1,230
120035,2012,8,474
120035,2013,8,485
120035,2014,5,458
120035,2015,10,445
120035,2016,8,352
120035,2017,5,388
120035,2018,0,407
120035,2019,3,448
120038,2012,4,353
120038,2013,3,334
120038,2014,2,322
120038,2015,7,350
120038,2016,9,339
120038,2017,6,305
120038,2018,6,309
120038,2019,2,318
120039,2012,13,338
120039,2013,12,287
120039,2014,3,250
120039,2015,3,262
120039,2016,4,230
120039,2017,6,282
120039,2018,0,254
120039,2019,2,270
120040,2012,76,6531
120040,2013,32,7116
120040,2014,77,7011
120040,2015,149,6965
120040,2016,96,6614
120040,2017,122,6460
120040,2018,111,6495
120040,2019,76,6324
120042,2012,9,390
120042,2013,11,363
120042,2014,9,394
120042,2015,6,396
120042,2016,7,304
120042,2017,3,366
120042,2018,0,394
120042,2019,2,334
120043,2012,0,259
120043,2013,0,223
120043,2014,0,185
120043,2015,0,150
120043,2016,1,95
120043,2017,0,198
120043,2018,0,207
120043,2019,0,186
120045,2012,3,396
120045,2013,2,425
120045,2014,4,453
120045,2015,13,443
120045,2016,8,410
120045,2017,10,395
120045,2018,3,476
120045,2019,6,417
120050,2012,3,929
120050,2013,6,904
120050,2014,11,827
120050,2015,5,847
120050,2016,5,762
120050,2017,0,780
120050,2018,2,788
120050,2019,0,768
120060,2012,2,1158
120060,2013,1,1138
120060,2014,0,1230
120060,2015,5,1165
120060,2016,11,1078
120060,2017,6,1132
120060,2018,9,1193
120060,2019,12,1143
120070,2012,21,311
120070,2013,15,294
120070,2014,12,306
120070,2015,6,322
120070,2016,5,329
120070,2017,4,305
120070,2018,1,325
120070,2019,2,297
120080,2012,7,346
120080,2013,5,362
120080,2014,5,368
120080,2015,11,358
120080,2016,9,356
120080,2017,8,430
120080,2018,9,392
120080,2019,7,379
130000,2012,0,8
130000,2013,0,18
130000,2014,0,23
