CODMUNRES,Ano,Qtd_Total,Pop
110001,2012,23,2471
110001,2013,26,2470
110001,2014,36,2468
110001,2015,22,2464
110001,2016,24,2467
110001,2017,35,2469
110001,2018,53,2472
110001,2019,38,2473
110037,2012,9,1243
110037,2013,13,1284
110037,2014,15,1325
110037,2015,10,1366
110037,2016,9,1388
110037,2017,18,1411
110037,2018,15,1434
110037,2019,10,1455
110040,2012,13,1762
110040,2013,13,1845
110040,2014,16,1928
110040,2015,17,2011
110040,2016,13,2082
110040,2017,13,2152
110040,2018,23,2222
110040,2019,18,2291
110034,2012,10,1643
110034,2013,12,1652
110034,2014,18,1660
110034,2015,12,1667
110034,2016,11,1659
110034,2017,17,1651
110034,2018,14,1643
110034,2019,25,1634
110002,2012,87,9818
110002,2013,106,10129
110002,2014,117,10449
110002,2015,133,10767
110002,2016,138,11059
110002,2017,134,11340
110002,2018,162,11614
110002,2019,168,11894
110045,2012,19,3142
110045,2013,18,3287
110045,2014,34,3433
110045,2015,35,3579
110045,2016,29,3739
110045,2017,43,3899
110045,2018,44,4060
110045,2019,58,4216
110003,2012,0,638
110003,2013,7,636
110003,2014,4,628
110003,2015,8,624
110003,2016,9,623
110003,2017,8,623
110003,2018,11,622
110003,2019,11,620
110060,2012,2,554
110060,2013,4,573
110060,2014,2,593
110060,2015,7,612
110060,2016,4,626
110060,2017,3,642
110060,2018,9,657
110060,2019,7,670
110004,2012,96,8835
110004,2013,84,9013
110004,2014,119,9190
110004,2015,127,9370
110004,2016,128,9505
110004,2017,167,9641
110004,2018,160,9774
110004,2019,180,9900
110070,2012,5,1204
110070,2013,14,1255
110070,2014,10,1305
110070,2015,10,1357
110070,2016,9,1404
110070,2017,9,1451
110070,2018,15,1498
110070,2019,9,1544
110080,2012,35,1910
110080,2013,31,2022
110080,2014,22,2136
110080,2015,23,2249
110080,2016,19,2382
110080,2017,22,2516
110080,2018,38,2649
110080,2019,29,2780
110090,2012,4,361
110090,2013,1,361
110090,2014,0,360
110090,2015,3,359
110090,2016,2,357
110090,2017,6,355
110090,2018,1,352
110090,2019,3,350
110005,2012,14,1869
110005,2013,16,1873
110005,2014,18,1870
110005,2015,25,1872
110005,2016,24,1871
110005,2017,34,1870
110005,2018,27,1867
110005,2019,29,1865
110092,2012,7,860
110092,2013,16,906
110092,2014,12,951
110092,2015,9,997
