CODMUNRES,Ano,Qtd_Total,Pop
110146,2019,40,661
110020,2012,8940,155216
110020,2013,8926,157862
110020,2014,9129,160392
110020,2015,9093,162849
110020,2016,8610,165223
110020,2017,8799,167420
110020,2018,8752,169516
110020,2019,8437,171450
110025,2012,243,6936
110025,2013,258,6784
110025,2014,289,6625
110025,2015,262,6457
110025,2016,276,6294
110025,2017,289,6119
110025,2018,294,5924
110025,2019,304,5739
110147,2012,43,1076
110147,2013,39,1046
110147,2014,47,1020
110147,2015,40,993
110147,2016,56,961
110147,2017,63,929
110147,2018,38,895
110147,2019,43,862
110026,2012,41,1084
110026,2013,38,1097
110026,2014,36,1103
110026,2015,36,1113
110026,2016,35,1122
110026,2017,49,1130
110026,2018,46,1137
110026,2019,50,1140
110028,2012,927,17989
110028,2013,878,18103
110028,2014,947,18193
110028,2015,936,18263
110028,2016,855,18306
110028,2017,963,18324
110028,2018,900,18318
110028,2019,927,18303
110029,2012,118,2695
110029,2013,98,2593
110029,2014,103,2483
110029,2015,109,2365
110029,2016,114,2259
110029,2017,112,2148
110029,2018,103,2035
110029,2019,99,1921
110148,2012,64,1890
110148,2013,61,1854
110148,2014,59,1809
110148,2015,73,1764
110148,2016,54,1724
110148,2017,75,1681
110148,2018,54,1631
110148,2019,54,1588
110149,2012,246,5539
110149,2013,266,5674
110149,2014,308,5806
110149,2015,319,5934
110149,2016,305,6049
110149,2017,333,6157
110149,2018,327,6259
110149,2019,303,6355
110032,2012,313,7331
110032,2013,355,7357
110032,2014,364,7376
110032,2015,310,7392
110032,2016,337,7397
110032,2017,372,7392
110032,2018,391,7380
110032,2019,353,7361
110150,2012,190,3831
110150,2013,184,3837
110150,2014,170,3843
110150,2015,188,3846
110150,2016,171,3824
110150,2017,188,3800
110150,2018,154,3770
110150,2019,168,3737
110155,2012,57,1505
110155,2013,80,1473
110155,2014,69,1443
110155,2015,71,1409
110155,2016,59,1379
110155,2017,58,1347
110155,2018,60,1313
110155,2019,64,1278
110160,2012,133,3289
110160,2013,106,3277
110160,2014,125,3265
110160,2015,107,3251
110160,2016,131,3227
110160,2017,146,3197
110160,2018,131,3170
110160,2019,97,3134
110170,2012,146,4008
110170,2013,150,3934
110170,2014,122,3858
110170,2015,138,3773
110170,2016,151,3707
110170,2017,150,3637
110170,2018,139,3556
110170,2019,170,3478
110175,2012,86,3085
110175,2013,89,3154
110175,2014,128,3222
110175,2015,106,3287
110175,2016,110,3334
110175,2017,86,3376
110175,2018,91,3412
110175,2019,93,3444
110180,2012,83,2586
110180,2013,107,2543
110180,2014,90,2488
110180,2015,63,2424
110180,2016,98,2357
110180,2017,79,2291
110180,2018,95,2218
110180,2019,80,2143
110030,2012,1267,28368
110030,2013,1388,29092
110030,2014,1418,29803
110030,2015,1535,30499
110030,2016,1427,31203
110030,2017,1465,31867
110030,2018,1557,32507
110030,2019,1590,33127
120001,2012,253,4202
120001,2013,258,4319
120001,2014,269,4428
120001,2015,217,4537
120001,2016,222,4629
120001,2017,256,4715
120001,2018,216,4793
120001,2019,257,4870
120005,2012,219,2036
120005,2013,213,2096
120005,2014,196,2150
120005,2015,238,2206
120005,2016,190,2264
120005,2017,247,2319
120005,2018,264,2372
120005,2019,266,2422
120010,2012,505,7361
120010,2013,530,7551
120010,2014,547,7732
120010,2015,530,7913
120010,2016,489,8065
120010,2017,570,8208
120010,2018,540,8348
120010,2019,540,8475
120013,2012,198,2674
120013,2013,202,2748
120013,2014,242,2819
120013,2015,248,2890
120013,2016,248,2945
120013,2017,307,2995
120013,2018,306,3046
120013,2019,329,3092
120017,2012,201,2961
120017,2013,193,3085
120017,2014,234,3206
120017,2015,219,3326
120017,2016,194,3424
120017,2017,243,3520
120017,2018,222,3613
120017,2019,217,3697
120020,2012,1741,26777
120020,2013,1783,27215
120020,2014,1818,27597
120020,2015,1839,27991
120020,2016,1632,28378
120020,2017,1683,28715
120020,2018,1755,29044
120020,2019,1809,29332
120025,2012,282,5295
120025,2013,275,5408
120025,2014,262,5514
120025,2015,279,5617
120025,2016,270,5733
120025,2017,290,5836
120025,2018,273,5932
120025,2019,314,6026
120030,2012,902,9957
120030,2013,790,10074
120030,2014,829,10169
120030,2015,771,10266
120030,2016,833,10341
120030,2017,825,10402
120030,2018,833,10452
120030,2019,871,10485
120032,2012,267,2012
120032,2013,271,2094
120032,2014,282,2173
120032,2015,273,2250
120032,2016,263,2322
120032,2017,265,2389
120032,2018,273,2456
120032,2019,217,2518
120033,2012,386,4990
120033,2013,399,5136
120033,2014,413,5277
120033,2015,395,5414
120033,2016,325,5556
120033,2017,358,5689
120033,2018,367,5818
120033,2019,345,5943
120034,2012,256,2470
120034,2013,229,2529
120034,2014,241,2584
120034,2015,266,2638
120034,2016,235,2692
120034,2017,259,2740
120034,2018,251,2789
120034,2019,230,2832
120035,2012,472,4424
120035,2013,482,4601
120035,2014,456,4771
120035,2015,444,4938
120035,2016,351,5120
120035,2017,387,5293
120035,2018,406,5465
120035,2019,448,5628
120038,2012,353,5492
120038,2013,334,5572
120038,2014,322,5644
120038,2015,350,5715
120038,2016,339,5777
120038,2017,305,5834
120038,2018,309,5882
120038,2019,318,5925
120080,2012,346,4883
120080,2013,362,5036
120080,2014,368,5182
120080,2015,358,5326
120080,2016,356,5436
120080,2017,430,5535
120080,2018,392,5631
120080,2019,379,5722
120039,2012,338,2788
120039,2013,287,2904
120039,2014,250,3015
120039,2015,262,3125
120039,2016,230,3226
120039,2017,282,3322
120039,2018,253,3414
120039,2019,270,3502
120040,2012,6530,124942
120040,2013,7116,127394
120040,2014,7009,129700
120040,2015,6965,131987
120040,2016,6612,134308
120040,2017,6460,136453
120040,2018,6495,138545
120040,2019,6322,140476
120042,2012,390,4738
120042,2013,363,4945
120042,2014,394,5149
120042,2015,396,5348
120042,2016,304,5526
120042,2017,366,5694
120042,2018,394,5861
120042,2019,334,6016
120043,2012,257,1507
120043,2013,222,1588
120043,2014,181,1666
120043,2015,148,1744
120043,2016,94,1816
120043,2017,198,1886
120043,2018,206,1953
120043,2019,182,2020
120050,2012,929,12746
120050,2013,904,13068
120050,2014,827,13374
120050,2015,847,13677
120050,2016,761,13957
120050,2017,780,14214
120050,2018,788,14464
120050,2019,768,14698
120045,2012,396,6683
120045,2013,425,6802
120045,2014,453,6918
120045,2015,443,7022
120045,2016,410,7129
120045,2017,395,7226
120045,2018,476,7318
120045,2019,417,7391
120060,2012,1158,11079
120060,2013,1137,11375
120060,2014,1230,11651
120060,2015,1164,11920
120060,2016,1078,12189
120060,2017,1132,12443
120060,2018,1193,12689
120060,2019,1143,12919
120070,2012,311,5255
120070,2013,294,5387
120070,2014,306,5512
120070,2015,322,5633
120070,2016,329,5743
120070,2017,305,5845
120070,2018,325,5943
120070,2019,297,6034
130002,2012,320,4166
130002,2013,346,4243
130002,2014,308,4311
130002,2015,342,4384
130002,2016,325,4441
130002,2017,401,4498
130002,2018,346,4554
130002,2019,418,4608
130006,2012,242,3129
130006,2013,261,3193
130006,2014,264,3252
130006,2015,214,3311
130006,2016,280,3390
130006,2017,267,3468
130006,2018,247,3543
130006,2019,265,3619
130008,2012,199,3348
130008,2013,201,3483
130008,2014,212,3614
130008,2015,163,3747
130008,2016,182,3858
130008,2017,196,3967
130008,2018,214,4076
130008,2019,190,4182
130010,2012,247,5529
130010,2013,285,5706
130010,2014,267,5875
130010,2015,255,6045
130010,2016,266,6218
130010,2017,257,6388
130010,2018,247,6554
130010,2019,233,6719
130014,2012,195,6215
130014,2013,223,6342
130014,2014,223,6472
130014,2015,204,6599
130014,2016,211,6721
130014,2017,233,6845
130014,2018,242,6956
130014,2019,239,7079
130020,2012,357,5141
130020,2013,353,5312
130020,2014,435,5474
130020,2015,438,5637
130020,2016,380,5813
130020,2017,382,5987
130020,2018,357,6159
130020,2019,313,6329
130030,2012,877,9850
130030,2013,875,10098
130030,2014,944,10330
130030,2015,829,10569
130030,2016,890,10782
130030,2017,897,10994
130030,2018,948,11202
130030,2019,871,11409
130040,2012,469,8088
130040,2013,480,8106
130040,2014,418,8114
130040,2015,504,8125
130040,2016,490,8130
130040,2017,524,8132
130040,2018,567,8129
130040,2019,553,8126
130050,2012,706,7989
130050,2013,769,8160
130050,2014,756,8314
130050,2015,815,8474
130050,2016,808,8624
130050,2017,870,8774
130050,2018,851,8921
130050,2019,857,9066
130060,2012,1053,10608
130060,2013,1035,10892
130060,2014,1076,11162
130060,2015,968,11437
130060,2016,1019,11787
130060,2017,1039,12138
130060,2018,985,12486
130060,2019,1029,12834
130063,2012,427,4707
130063,2013,428,4856
130063,2014,487,5000
130063,2015,488,5145
130063,2016,510,5276
130063,2017,597,5406
130063,2018,500,5537
130063,2019,525,5662
130068,2012,260,4696
130068,2013,321,4840
130068,2014,328,4979
130068,2015,369,5119
130068,2016,312,5239
130068,2017,318,5355
130068,2018,318,5471
130068,2019,330,5586
130070,2012,741,9685
130070,2013,763,9817
130070,2014,733,9936
130070,2015,695,10059
130070,2016,653,10176
130070,2017,770,10290
130070,2018,739,10401
130070,2019,725,10510
130080,2012,690,10894
130080,2013,705,11105
130080,2014,709,11297
130080,2015,724,11498
130080,2016,662,11697
130080,2017,797,11893
130080,2018,789,12086
130080,2019,763,12276
130083,2012,138,3495
130083,2013,203,3581
130083,2014,204,3661
130083,2015,173,3743
130083,2016,183,3812
130083,2017,216,3879
130083,2018,188,3947
130083,2019,169,4012
130090,2012,213,4235
130090,2013,196,4271
130090,2014,231,4305
130090,2015,219,4339
130090,2016,217,4364
130090,2017,191,4384
130090,2018,222,4405
130090,2019,192,4424
130100,2012,656,8221
130100,2013,632,8313
130100,2014,658,8387
130100,2015,628,8471
130100,2016,625,8531
130100,2017,626,8587
130100,2018,635,8643
130100,2019,635,8694
130110,2012,414,10753
130110,2013,441,10949
130110,2014,473,11132
130110,2015,419,11317
130110,2016,481,11454
130110,2017,512,11585
130110,2018,550,11716
130110,2019,564,11841
130115,2012,171,7796
130115,2013,168,8002
130115,2014,207,8202
130115,2015,214,8405
130115,2016,199,8611
130115,2017,237,8818
130115,2018,275,9020
130115,2019,198,9221
130120,2012,1668,24894
130120,2013,1750,25147
130120,2014,1704,25369
130120,2015,1744,25596
130120,2016,1646,25828
130120,2017,1656,26054
130120,2018,1747,26274
130120,2019,1698,26488
130130,2012,432,7846
130130,2013,424,8091
130130,2014,426,8323
130130,2015,434,8558
130130,2016,404,8745
130130,2017,437,8933
