CODMUNRES,ano_nasc,Qtd_Termo_Precoce,Qtd_Total
110092,2012,37,118
110092,2013,48,158
110092,2014,53,158
110092,2015,48,154
110092,2016,54,153
110092,2017,60,169
110092,2018,60,181
110092,2019,55,162
110094,2012,38,161
110094,2013,49,203
110094,2014,67,240
110094,2015,84,274
110094,2016,52,241
110094,2017,28,209
110094,2018,55,229
110094,2019,54,205
110100,2012,38,133
110100,2013,36,116
110100,2014,39,124
110100,2015,42,132
110100,2016,36,112
110100,2017,40,109
110100,2018,36,133
110100,2019,42,112
110110,2012,29,114
110110,2013,27,123
110110,2014,30,97
110110,2015,23,112
110110,2016,26,129
110110,2017,17,95
110110,2018,17,92
110110,2019,28,109
110120,2012,29,100
110120,2013,44,104
110120,2014,43,107
110120,2015,30,93
110120,2016,42,93
110120,2017,35,100
110120,2018,32,92
110120,2019,41,84
110130,2012,35,148
110130,2013,34,122
110130,2014,42,137
110130,2015,61,179
110130,2016,45,148
110130,2017,53,156
110130,2018,53,160
110130,2019,55,164
110140,2012,41,170
110140,2013,62,223
110140,2014,68,204
110140,2015,76,240
110140,2016,34,173
110140,2017,29,200
110140,2018,67,220
110140,2019,73,199
110143,2012,18,99
110143,2013,29,82
110143,2014,36,110
110143,2015,12,73
110143,2016,22,90
110143,2017,32,94
110143,2018,30,87
110143,2019,46,104
110145,2012,21,63
110145,2013,18,55
110145,2014,14,49
110145,2015,20,54
110145,2016,19,50
110145,2017,19,51
110145,2018,21,53
110145,2019,16,44
110146,2012,5,51
110146,2013,8,42
110146,2014,15,37
110146,2015,17,52
110146,2016,13,34
110146,2017,18,52
110146,2018,17,52
110146,2019,11,40
110147,2012,13,43
110147,2013,16,39
110147,2014,10,47
110147,2015,16,40
110147,2016,22,56
110147,2017,25,63
110147,2018,10,38
110147,2019,19,43
110148,2012,32,64
110148,2013,24,61
110148,2014,24,59
110148,2015,34,73
110148,2016,21,54
110148,2017,26,75
110148,2018,23,54
110148,2019,19,54
110149,2012,48,246
110149,2013,89,266
110149,2014,115,308
110149,2015,96,319
110149,2016,102,305
110149,2017,92,333
110149,2018,103,327
110149,2019,77,303
110150,2012,50,190
110150,2013,45,184
110150,2014,38,170
110150,2015,64,188
110150,2016,52,171
110150,2017,49,188
110150,2018,45,154
110150,2019,44,168
110155,2012,18,57
110155,2013,31,80
110155,2014,13,69
110155,2015,24,71
110155,2016,28,59
110155,2017,20,58
110155,2018,30,60
110155,2019,27,64
110160,2012,38,133
110160,2013,28,106
110160,2014,40,125
110160,2015,35,107
110160,2016,38,131
110160,2017,53,146
110160,2018,47,131
110160,2019,27,97
110170,2012,26,146
110170,2013,37,150
110170,2014,31,122
110170,2015,30,138
110170,2016,49,151
110170,2017,51,150
110170,2018,40,139
110170,2019,67,170
110175,2012,26,86
110175,2013,26,89
110175,2014,37,128
110175,2015,30,106
110175,2016,36,110
110175,2017,31,86
110175,2018,29,91
110175,2019,32,93
110180,2012,27,83
110180,2013,39,107
110180,2014,18,90
110180,2015,19,63
110180,2016,41,98
110180,2017,27,79
110180,2018,36,95
110180,2019,24,81
120000,2012,0,1
120001,2012,49,253
120001,2013,38,258
120001,2014,48,269
120001,2015,49,217
120001,2016,61,222
120001,2017,65,256
120001,2018,56,216
120001,2019,72,257
120005,2012,42,219
120005,2013,35,213
120005,2014,39,196
120005,2015,60,238
120005,2016,41,190
120005,2017,36,248
120005,2018,41,264
120005,2019,31,266
120010,2012,109,505
120010,2013,120,530
120010,2014,136,547
120010,2015,114,531
120010,2016,112,490
120010,2017,128,570
120010,2018,131,540
120010,2019,148,540
120013,2012,43,198
120013,2013,40,202
120013,2014,58,242
120013,2015,51,248
120013,2016,52,248
120013,2017,88,307
120013,2018,70,306
120013,2019,90,329
120017,2012,45,201
120017,2013,22,193
120017,2014,38,234
120017,2015,41,219
120017,2016,40,194
120017,2017,56,243
120017,2018,41,222
120017,2019,58,217
120020,2012,369,1741
120020,2013,411,1783
120020,2014,419,1818
120020,2015,375,1839
120020,2016,396,1632
120020,2017,380,1684
120020,2018,400,1756
120020,2019,422,1809
120025,2012,60,282
120025,2013,48,275
120025,2014,81,262
120025,2015,73,279
120025,2016,72,270
120025,2017,59,291
120025,2018,61,273
120025,2019,70,314
120030,2012,149,904
120030,2013,123,791
120030,2014,129,829
120030,2015,127,772
120030,2016,162,834
120030,2017,169,833
120030,2018,186,833
120030,2019,204,871
120032,2012,33,269
120032,2013,47,271
120032,2014,45,282
120032,2015,43,273
120032,2016,48,263
120032,2017,71,266
120032,2018,47,274
120032,2019,60,218
120033,2012,82,386
120033,2013,75,399
120033,2014,88,413
120033,2015,86,395
120033,2016,72,325
120033,2017,69,358
120033,2018,75,367
120033,2019,78,345
120034,2012,43,256
120034,2013,56,229
120034,2014,49,243
120034,2015,45,266
120034,2016,62,236
120034,2017,50,261
120034,2018,64,252
120034,2019,55,230
120035,2012,68,474
120035,2013,99,485
120035,2014,98,458
120035,2015,91,445
120035,2016,77,352
120035,2017,72,388
120035,2018,91,407
120035,2019,102,448
120038,2012,82,353
120038,2013,60,334
120038,2014,64,322
120038,2015,76,350
120038,2016,84,339
120038,2017,59,305
120038,2018,78,309
120038,2019,78,318
120039,2012,47,338
120039,2013,39,287
120039,2014,41,250
120039,2015,39,262
120039,2016,39,230
120039,2017,52,282
120039,2018,41,254
120039,2019,59,270
120040,2012,1588,6531
120040,2013,1180,7116
120040,2014,1719,7011
120040,2015,1760,6965
120040,2016,1798,6614
120040,2017,1798,6460
120040,2018,1809,6495
120040,2019,1738,6324
120042,2012,73,390
120042,2013,70,363
120042,2014,79,394
120042,2015,87,396
120042,2016,71,304
120042,2017,92,366
120042,2018,82,394
120042,2019,63,334
120043,2012,14,259
120043,2013,32,223
120043,2014,38,185
120043,2015,31,150
120043,2016,21,95
120043,2017,38,198
120043,2018,44,207
120043,2019,48,186
120045,2012,81,396
120045,2013,64,425
120045,2014,105,453
120045,2015,97,443
120045,2016,107,410
120045,2017,97,395
120045,2018,131,476
120045,2019,115,417
120050,2012,208,929
120050,2013,188,904
120050,2014,175,827
120050,2015,158,847
120050,2016,201,762
120050,2017,183,780
120050,2018,174,788
120050,2019,183,768
120060,2012,187,1158
120060,2013,165,1138
120060,2014,187,1230
120060,2015,213,1165
120060,2016,201,1078
120060,2017,218,1132
120060,2018,193,1193
120060,2019,205,1143
120070,2012,68,311
120070,2013,55,294
120070,2014,64,306
120070,2015,67,322
120070,2016,79,329
120070,2017,74,305
120070,2018,69,325
120070,2019,56,297
120080,2012,67,346
120080,2013,55,362
120080,2014,63,368
120080,2015,85,358
120080,2016,97,356
120080,2017,102,430
120080,2018,89,392
120080,2019,103,379
130000,2012,2,8
130000,2013,4,18
130000,2014,3,23
130000,2015,1,18
130000,2016,1,25
130000,2017,2,17
130000,2018,7,25
130000,2019,2,12
130002,2012,59,320
130002,2013,81,346
130002,2014,98,308
130002,2015,78,342
130002,2016,71,325
130002,2017,94,401
130002,2018,90,346
130002,2019,104,418
130006,2012,43,242
130006,2013,55,261
130006,2014,64,264
130006,2015,42,214
130006,2016,51,280
130006,2017,56,267
130006,2018,70,247
130006,2019,55,265
130008,2012,27,199
130008,2013,42,201
130008,2014,37,212
130008,2015,31,163
130008,2016,43,182
130008,2017,38,196
130008,2018,50,214
130008,2019,51,190
130010,2012,59,247
130010,2013,60,285
130010,2014,50,267
130010,2015,52,255
130010,2016,60,266
130010,2017,51,257
130010,2018,58,247
130010,2019,50,233
130014,2012,32,195
130014,2013,49,223
130014,2014,52,223
130014,2015,23,204
130014,2016,32,211
130014,2017,41,233
130014,2018,56,242
130014,2019,62,239
130020,2012,77,357
130020,2013,79,354
130020,2014,79,435
130020,2015,116,439
130020,2016,105,380
130020,2017,80,382
130020,2018,102,357
130020,2019,85,313
130030,2012,196,877
130030,2013,189,877
130030,2014,301,955
130030,2015,193,829
130030,2016,241,890
130030,2017,165,897
130030,2018,166,948
130030,2019,167,872
130040,2012,161,469
130040,2013,105,480
130040,2014,94,419
130040,2015,80,505
130040,2016,71,496
130040,2017,89,524
130040,2018,237,570
130040,2019,253,556
130050,2012,174,707
130050,2013,198,769
130050,2014,262,756
130050,2015,239,815
130050,2016,247,810
130050,2017,206,870
130050,2018,226,851
130050,2019,277,857
130060,2012,181,1053
130060,2013,160,1036
130060,2014,104,1077
130060,2015,226,968
130060,2016,261,1021
130060,2017,214,1039
130060,2018,217,985
130060,2019,247,1030
130063,2012,63,427
130063,2013,58,428
130063,2014,107,488
130063,2015,72,489
130063,2016,85,510
130063,2017,106,597
130063,2018,62,501
130063,2019,107,525
130068,2012,45,260
130068,2013,63,321
130068,2014,70,328
130068,2015,96,369
130068,2016,71,312
130068,2017,72,319
130068,2018,61,318
130068,2019,78,330
130070,2012,157,741
130070,2013,172,763
130070,2014,168,734
130070,2015,157,695
130070,2016,166,653
130070,2017,169,771
130070,2018,169,739
130070,2019,171,725
130080,2012,141,690
130080,2013,159,705
130080,2014,146,711
130080,2015,175,725
130080,2016,165,663
130080,2017,205,797
130080,2018,175,789
130080,2019,222,763
130083,2012,32,138
130083,2013,43,203
130083,2014,50,204
130083,2015,36,173
130083,2016,44,183
130083,2017,52,216
130083,2018,38,188
130083,2019,34,169
130090,2012,48,213
130090,2013,42,196
130090,2014,54,231
130090,2015,58,219
130090,2016,52,217
130090,2017,46,191
130090,2018,24,222
130090,2019,32,192
130100,2012,75,656
130100,2013,115,633
130100,2014,109,658
130100,2015,117,628
130100,2016,117,625
130100,2017,115,626
130100,2018,119,636
130100,2019,110,635
130110,2012,51,414
130110,2013,86,442
130110,2014,109,474
130110,2015,72,419
130110,2016,79,481
130110,2017,115,512
130110,2018,106,550
130110,2019,132,564
130115,2012,22,171
130115,2013,26,168
130115,2014,58,208
130115,2015,42,215
130115,2016,42,199
130115,2017,48,237
130115,2018,53,275
130115,2019,44,198
130120,2012,388,1668
130120,2013,401,1750
130120,2014,348,1704
130120,2015,281,1744
130120,2016,297,1646
130120,2017,370,1656
130120,2018,353,1747
130120,2019,283,1698
130130,2012,138,432
130130,2013,113,424
130130,2014,99,426
130130,2015,98,434
130130,2016,100,404
130130,2017,97,439
130130,2018,116,429
130130,2019,92,468
130140,2012,152,833
130140,2013,212,852
130140,2014,214,852
130140,2015,176,825
130140,2016,167,787
130140,2017,189,854
130140,2018,208,830
130140,2019,180,792
130150,2012,59,314
130150,2013,74,366
130150,2014,75,386
130150,2015,76,412
130150,2016,86,369
130150,2017,75,424
130150,2018,82,369
130150,2019,109,391
130160,2012,115,520
130160,2013,154,556
130160,2014,162,606
130160,2015,182,670
130160,2016,157,573
130160,2017,170,630
130160,2018,134,621
130160,2019,116,579
130165,2012,65,360
130165,2013,55,329
130165,2014,59,356
130165,2015,58,334
130165,2016,70,284
130165,2017,64,326
130165,2018,67,293
130165,2019,62,285
130170,2012,260,847
130170,2013,239,902
130170,2014,306,970
130170,2015,318,941
130170,2016,318,977
130170,2017,291,1001
130170,2018,277,1006
130170,2019,288,978
130180,2012,95,439
130180,2013,55,407
130180,2014,61,406
130180,2015,73,441
130180,2016,61,389
130180,2017,68,409
130180,2018,72,413
130180,2019,63,376
130185,2012,167,898
130185,2013,166,849
130185,2014,175,873
130185,2015,176,867
130185,2016,215,928
130185,2017,219,941
130185,2018,185,945
130185,2019,223,1021
130190,2012,387,2019
130190,2013,421,2085
130190,2014,431,2068
130190,2015,427,2078
130190,2016,490,2028
130190,2017,412,1985
130190,2018,436,2068
130190,2019,465,2034
130195,2012,6,197
130195,2013,17,260
130195,2014,20,260
130195,2015,16,293
130195,2016,10,263
130195,2017,9,245
130195,2018,12,303
130195,2019,4,247
130200,2012,47,199
130200,2013,33,184
130200,2014,36,154
130200,2015,37,148
130200,2016,42,187
130200,2017,42,165
130200,2018,37,171
130200,2019,36,173
130210,2012,33,142
130210,2013,28,130
130210,2014,47,148
130210,2015,39,169
130210,2016,40,150
130210,2017,45,161
130210,2018,40,151
130210,2019,35,121
130220,2012,63,171
130220,2013,66,202
130220,2014,52,193
130220,2015,46,217
130220,2016,48,175
130220,2017,55,253
130220,2018,59,251
130220,2019,59,235
130230,2012,147,601
130230,2013,153,629
130230,2014,46,631
130230,2015,28,633
130230,2016,23,604
130230,2017,137,659
130230,2018,144,648
130230,2019,145,646
130240,2012,145,682
130240,2013,119,728
130240,2014,141,715
130240,2015,123,659
130240,2016,143,652
130240,2017,167,741
130240,2018,178,779
130240,2019,204,892
130250,2012,341,1886
130250,2013,471,2000
130250,2014,564,2130
130250,2015,532,2070
130250,2016,462,1795
130250,2017,452,1938
130250,2018,478,2056
130250,2019,506,2115
130255,2012,53,250
130255,2013,49,249
130255,2014,54,233
130255,2015,62,234
130255,2016,78,253
130255,2017,87,300
130255,2018,75,303
130255,2019,65,276
130260,2012,8799,41169
130260,2013,8765,41640
130260,2014,10437,42809
130260,2015,9084,42342
130260,2016,8518,39603
130260,2017,8076,38498
130260,2018,7926,38588
130260,2019,8600,37939
130270,2012,153,810
130270,2013,178,850
130270,2014,183,903
130270,2015,199,930
130270,2016,209,911
130270,2017,246,989
130270,2018,226,1013
130270,2019,249,1023
130280,2012,61,313
130280,2013,105,338
130280,2014,97,399
130280,2015,56,323
130280,2016,102,358
130280,2017,105,418
130280,2018,110,405
130280,2019,100,381
130290,2012,248,1311
130290,2013,266,1317
130290,2014,338,1362
130290,2015,302,1335
130290,2016,353,1273
130290,2017,321,1553
130290,2018,368,1581
130290,2019,378,1539
130300,2012,78,344
130300,2013,74,301
130300,2014,65,357
130300,2015,101,356
130300,2016,84,338
130300,2017,86,358
130300,2018,65,314
130300,2019,76,346
130310,2012,118,591
130310,2013,163,628
130310,2014,137,619
130310,2015,142,593
130310,2016,153,587
130310,2017,136,592
130310,2018,137,612
130310,2019,114,546
130320,2012,54,257
130320,2013,43,246
130320,2014,71,307
130320,2015,77,316
130320,2016,63,289
130320,2017,72,333
130320,2018,59,327
130320,2019,94,310
130330,2012,53,321
130330,2013,75,351
130330,2014,58,344
130330,2015,87,409
130330,2016,89,386
130330,2017,78,406
130330,2018,84,379
130330,2019,96,392
130340,2012,524,2021
130340,2013,529,2133
130340,2014,497,2056
130340,2015,504,1995
130340,2016,445,1932
130340,2017,552,2139
130340,2018,544,2067
130340,2019,536,1947
130350,2012,40,308
130350,2013,68,367
130350,2014,71,364
130350,2015,51,374
130350,2016,57,348
130350,2017,52,355
130350,2018,80,362
130350,2019,65,369
130353,2012,117,556
130353,2013,148,580
130353,2014,117,585
130353,2015,52,558
130353,2016,60,548
130353,2017,75,523
130353,2018,139,558
130353,2019,125,513
130356,2012,41,361
130356,2013,64,374
130356,2014,80,412
130356,2015,70,391
130356,2016,72,415
130356,2017,105,422
130356,2018,88,431
130356,2019,97,440
130360,2012,144,344
130360,2013,112,279
130360,2014,68,225
130360,2015,69,301
130360,2016,44,305
130360,2017,56,370
130360,2018,77,372
130360,2019,104,322
130370,2012,151,603
130370,2013,143,576
130370,2014,117,652
130370,2015,106,718
130370,2016,146,693
130370,2017,65,724
130370,2018,73,704
130370,2019,135,773
130380,2012,251,1119
130380,2013,214,1143
130380,2014,260,1254
130380,2015,289,1120
130380,2016,304,1255
130380,2017,180,1214
130380,2018,232,1227
130380,2019,335,1436
130390,2012,246,959
130390,2013,215,914
130390,2014,291,987
130390,2015,203,753
130390,2016,218,871
130390,2017,231,999
130390,2018,234,935
130390,2019,237,956
130395,2012,45,178
130395,2013,43,160
130395,2014,40,163
130395,2015,55,180
130395,2016,51,178
130395,2017,50,206
130395,2018,57,186
130395,2019,57,200
130400,2012,29,181
130400,2013,54,208
130400,2014,28,180
130400,2015,53,202
130400,2016,56,208
130400,2017,41,246
130400,2018,38,197
130400,2019,46,229
130406,2012,368,1632
130406,2013,383,1619
130406,2014,421,1820
130406,2015,364,1615
130406,2016,368,1753
130406,2017,429,1701
130406,2018,414,1685
130406,2019,403,1770
130410,2012,95,401
130410,2013,124,421
130410,2014,91,391
130410,2015,92,439
130410,2016,80,389
130410,2017,103,405
130410,2018,87,394
130410,2019,101,432
130420,2012,398,1558
130420,2013,441,1732
130420,2014,387,1589
130420,2015,470,1754
130420,2016,455,1679
130420,2017,479,1763
130420,2018,453,1822
130420,2019,518,1927
