CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total
110130,2013,3,122
110130,2014,4,137
110130,2015,1,179
110130,2016,1,148
110130,2017,0,156
110130,2018,3,160
110130,2019,1,164
110140,2012,0,170
110140,2013,2,223
110140,2014,0,204
110140,2015,0,240
110140,2016,0,173
110140,2017,0,200
110140,2018,0,220
110140,2019,0,199
110143,2012,0,99
110143,2013,0,82
110143,2014,0,110
110143,2015,0,73
110143,2016,0,90
110143,2017,0,94
110143,2018,0,87
110143,2019,0,104
110145,2012,1,63
110145,2013,0,55
110145,2014,0,49
110145,2015,1,54
110145,2016,0,50
110145,2017,3,51
110145,2018,0,53
110145,2019,1,44
110146,2012,0,51
110146,2013,0,42
110146,2014,2,37
110146,2015,0,52
110146,2016,0,34
110146,2017,0,52
110146,2018,0,52
110146,2019,1,40
110147,2012,0,43
110147,2013,0,39
110147,2014,0,47
110147,2015,0,40
110147,2016,1,56
110147,2017,0,63
110147,2018,0,38
110147,2019,0,43
110148,2012,0,64
110148,2013,0,61
110148,2014,0,59
110148,2015,0,73
110148,2016,0,54
110148,2017,1,75
110148,2018,0,54
110148,2019,0,54
110149,2012,0,246
110149,2013,2,266
110149,2014,0,308
110149,2015,0,319
110149,2016,2,305
110149,2017,4,333
110149,2018,2,327
110149,2019,3,303
110150,2012,0,190
110150,2013,0,184
110150,2014,0,170
110150,2015,0,188
110150,2016,0,171
110150,2017,2,188
110150,2018,0,154
110150,2019,2,168
110155,2012,0,57
110155,2013,0,80
110155,2014,0,69
110155,2015,0,71
110155,2016,0,59
110155,2017,0,58
110155,2018,0,60
110155,2019,0,64
110160,2012,1,133
110160,2013,0,106
110160,2014,0,125
110160,2015,0,107
110160,2016,0,131
110160,2017,0,146
110160,2018,0,131
110160,2019,0,97
110170,2012,0,146
110170,2013,1,150
110170,2014,0,122
110170,2015,0,138
110170,2016,0,151
110170,2017,0,150
110170,2018,0,139
110170,2019,0,170
110175,2012,0,86
110175,2013,0,89
110175,2014,0,128
110175,2015,0,106
110175,2016,0,110
110175,2017,0,86
110175,2018,0,91
110175,2019,0,93
110180,2012,0,83
110180,2013,0,107
110180,2014,0,90
110180,2015,0,63
110180,2016,0,98
110180,2017,0,79
110180,2018,0,95
110180,2019,0,81
120000,2012,0,1
120001,2012,0,253
120001,2013,0,258
120001,2014,0,269
120001,2015,0,217
120001,2016,1,222
120001,2017,0,256
120001,2018,0,216
120001,2019,0,257
120005,2012,62,219
120005,2013,61,213
120005,2014,55,196
120005,2015,79,238
120005,2016,46,190
120005,2017,46,248
120005,2018,30,264
120005,2019,23,266
120010,2012,5,505
120010,2013,7,530
120010,2014,10,547
120010,2015,14,531
120010,2016,6,490
120010,2017,8,570
120010,2018,7,540
120010,2019,5,540
120013,2012,0,198
120013,2013,0,202
120013,2014,0,242
120013,2015,0,248
120013,2016,0,248
