CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total,Ratio
110015,2012,48.0,647,0.07418856259659969
110015,2013,51.0,639,0.07981220657276995
110015,2014,56.0,674,0.0830860534124629
110015,2015,61.0,767,0.07953063885267275
110015,2016,47.0,582,0.08075601374570447
110015,2017,56.0,578,0.09688581314878893
110015,2018,70.0,614,0.11400651465798045
110015,2019,86.0,631,0.13629160063391443
110015,2020,97.0,600,0.16166666666666665
110018,2012,28.0,553,0.05063291139240506
110018,2013,48.0,581,0.08261617900172118
110018,2014,43.0,597,0.07202680067001675
110018,2015,52.0,594,0.08754208754208755
110018,2016,39.0,601,0.064891846921797
110018,2017,39.0,615,0.06341463414634146
110018,2018,71.0,651,0.10906298003072197
110018,2019,47.0,616,0.0762987012987013
110018,2020,56.0,579,0.09671848013816926
110020,2012,686.0,8941,0.07672519852365507
110020,2013,772.0,8927,0.08647922034278033
110020,2014,832.0,9130,0.09112814895947426
110020,2015,901.0,9093,0.09908720994171341
110020,2016,958.0,8611,0.11125304842643131
110020,2017,1005.0,8800,0.11420454545454546
110020,2018,1071.0,8752,0.12237202925045704
110020,2019,1093.0,8437,0.1295484176840109
110020,2020,1071.0,7893,0.13568985176738882
110025,2012,13.0,243,0.053497942386831275
110025,2013,19.0,258,0.07364341085271318
110025,2014,25.0,289,0.08650519031141868
110025,2015,27.0,262,0.10305343511450382
110025,2016,28.0,276,0.10144927536231885
110025,2017,34.0,289,0.11764705882352941
110025,2018,34.0,294,0.11564625850340136
110025,2019,35.0,304,0.11513157894736842
110025,2020,33.0,259,0.1274131274131274
110026,2012,1.0,41,0.024390243902439025
110026,2013,5.0,38,0.13157894736842105
110026,2014,1.0,36,0.027777777777777776
110026,2015,2.0,36,0.05555555555555555
110026,2016,2.0,35,0.05714285714285714
110026,2017,5.0,49,0.10204081632653061
110026,2018,3.0,46,0.06521739130434782
110026,2019,5.0,50,0.1
110026,2020,5.0,48,0.10416666666666667
110028,2012,47.0,927,0.05070118662351672
110028,2013,64.0,879,0.07281001137656427
110028,2014,89.0,947,0.09398099260823653
110028,2015,70.0,936,0.07478632478632478
110028,2016,61.0,855,0.07134502923976609
110028,2017,96.0,963,0.09968847352024922
110028,2018,94.0,900,0.10444444444444445
110028,2019,120.0,927,0.12944983818770225
110028,2020,96.0,877,0.10946408209806158
110029,2012,4.0,118,0.03389830508474576
110029,2013,7.0,98,0.07142857142857142
110029,2014,8.0,103,0.07766990291262135
110029,2015,5.0,109,0.045871559633027525
110029,2016,9.0,114,0.07894736842105263
110029,2017,6.0,112,0.05357142857142857
110029,2018,14.0,103,0.13592233009708737
110029,2019,8.0,99,0.08080808080808081
110029,2020,14.0,99,0.1414141414141414
110030,2012,82.0,1269,0.06461780929866036
110030,2013,91.0,1388,0.06556195965417867
110030,2014,108.0,1418,0.076163610719323
110030,2015,157.0,1535,0.1022801302931596
110030,2016,139.0,1427,0.09740714786264891
110030,2017,145.0,1465,0.09897610921501707
110030,2018,174.0,1557,0.11175337186897881
110030,2019,191.0,1590,0.12012578616352201
110030,2020,194.0,1553,0.12491951062459755
110032,2012,25.0,313,0.07987220447284345
110032,2013,19.0,355,0.05352112676056338
110032,2014,31.0,364,0.08516483516483517
110032,2015,27.0,311,0.08681672025723473
110032,2016,23.0,337,0.06824925816023739
110032,2017,21.0,372,0.056451612903225805
110032,2018,32.0,391,0.08184143222506395
110032,2019,36.0,353,0.10198300283286119
110032,2020,42.0,363,0.11570247933884298
110033,2012,16.0,383,0.04177545691906005
110033,2013,25.0,416,0.06009615384615385
110033,2014,22.0,425,0.05176470588235294
110033,2015,39.0,404,0.09653465346534654
110033,2016,22.0,411,0.0535279805352798
110033,2017,35.0,487,0.07186858316221766
110033,2018,44.0,482,0.0912863070539419
110033,2019,44.0,432,0.10185185185185185
110033,2020,41.0,423,0.09692671394799054
110034,2012,10.0,189,0.05291005291005291
110034,2013,12.0,220,0.05454545454545454
110034,2014,18.0,184,0.09782608695652174
110034,2015,12.0,200,0.06
110034,2016,11.0,166,0.06626506024096386
110034,2017,17.0,178,0.09550561797752809
110034,2018,14.0,162,0.08641975308641975
110034,2019,25.0,205,0.12195121951219512
110034,2020,32.0,210,0.1523809523809524
110037,2012,9.0,189,0.047619047619047616
110037,2013,13.0,163,0.07975460122699386
110037,2014,15.0,172,0.0872093023255814
110037,2015,10.0,149,0.06711409395973154
110037,2016,9.0,168,0.05357142857142857
110037,2017,18.0,172,0.10465116279069768
110037,2018,15.0,160,0.09375
110037,2019,10.0,154,0.06493506493506493
110037,2020,15.0,146,0.10273972602739725
110040,2012,13.0,194,0.06701030927835051
110040,2013,13.0,211,0.061611374407582936
110040,2014,16.0,254,0.06299212598425197
110040,2015,17.0,247,0.06882591093117409
110040,2016,13.0,220,0.05909090909090909
110040,2017,13.0,242,0.05371900826446281
110040,2018,23.0,219,0.1050228310502283
110040,2019,18.0,226,0.07964601769911504
110040,2020,17.0,218,0.0779816513761468
110045,2012,19.0,555,0.03423423423423423
110045,2013,18.0,598,0.030100334448160536
110045,2014,34.0,620,0.054838709677419356
110045,2015,35.0,608,0.05756578947368421
110045,2016,29.0,624,0.046474358974358976
110045,2017,43.0,632,0.0680379746835443
110045,2018,44.0,617,0.0713128038897893
110045,2019,58.0,583,0.09948542024013722
110045,2020,47.0,508,0.09251968503937008
110050,2012,12.0,125,0.096
110050,2013,7.0,122,0.05737704918032787
110050,2014,5.0,93,0.053763440860215055
110050,2015,9.0,109,0.08256880733944955
110050,2016,13.0,95,0.1368421052631579
110050,2017,9.0,91,0.0989010989010989
110050,2018,13.0,111,0.11711711711711711
110050,2019,12.0,98,0.12244897959183673
110050,2020,10.0,78,0.1282051282051282
110060,2012,2.0,61,0.03278688524590164
110060,2013,4.0,63,0.06349206349206349
110060,2014,2.0,58,0.034482758620689655
110060,2015,7.0,72,0.09722222222222222
110060,2016,4.0,67,0.05970149253731343
110060,2017,3.0,71,0.04225352112676056
110060,2018,9.0,80,0.1125
110060,2019,7.0,75,0.09333333333333334
110060,2020,5.0,70,0.07142857142857142
110070,2012,5.0,164,0.03048780487804878
110070,2013,14.0,183,0.07650273224043716
110070,2014,10.0,181,0.055248618784530384
110070,2015,10.0,156,0.0641025641025641
110070,2016,9.0,162,0.05555555555555555
110070,2017,9.0,174,0.05172413793103448
110070,2018,15.0,195,0.07692307692307693
110070,2019,9.0,166,0.05421686746987952
110070,2020,16.0,173,0.09248554913294797
110080,2012,35.0,430,0.08139534883720931
110080,2013,32.0,405,0.07901234567901234
