CODMUNRES,ano_nasc,Qtd_Consultas_Pre_Natal,Qtd_Total,Ratio
110020,2012,1118,8941,0.12504194161726875
110020,2013,0,8927,0.0
110020,2014,837,9130,0.09167579408543264
110020,2015,1126,9093,0.12383151875068735
110020,2016,1124,8611,0.1305307165253745
110020,2017,1116,8800,0.12681818181818183
110020,2018,1176,8752,0.1343692870201097
110020,2019,1181,8437,0.1399786654023942
110020,2020,952,7893,0.1206132015710123
110025,2012,34,243,0.13991769547325103
110025,2013,0,258,0.0
110025,2014,57,289,0.1972318339100346
110025,2015,52,262,0.1984732824427481
110025,2016,61,276,0.2210144927536232
110025,2017,62,289,0.21453287197231835
110025,2018,53,294,0.18027210884353742
110025,2019,59,304,0.19407894736842105
110025,2020,42,259,0.16216216216216217
110026,2012,8,41,0.1951219512195122
110026,2013,0,38,0.0
110026,2014,7,36,0.19444444444444445
110026,2015,5,36,0.1388888888888889
110026,2016,2,35,0.05714285714285714
110026,2017,2,49,0.04081632653061224
110026,2018,6,46,0.13043478260869565
110026,2019,11,50,0.22
110026,2020,8,48,0.16666666666666666
110028,2012,182,927,0.19633225458468176
110028,2013,0,879,0.0
110028,2014,150,947,0.1583949313621964
110028,2015,188,936,0.20085470085470086
110028,2016,141,855,0.1649122807017544
110028,2017,173,963,0.17964693665628245
110028,2018,159,900,0.17666666666666667
110028,2019,142,927,0.15318230852211434
110028,2020,143,877,0.1630558722919042
110029,2012,30,118,0.2542372881355932
110029,2013,0,98,0.0
110029,2014,20,103,0.1941747572815534
110029,2015,23,109,0.21100917431192662
110029,2016,15,114,0.13157894736842105
110029,2017,20,112,0.17857142857142858
110029,2018,21,103,0.20388349514563106
110029,2019,21,99,0.21212121212121213
110029,2020,16,99,0.16161616161616163
110030,2012,156,1269,0.12293144208037825
110030,2013,0,1388,0.0
110030,2014,203,1418,0.14315937940761636
110030,2015,213,1535,0.13876221498371336
110030,2016,217,1427,0.15206727400140155
110030,2017,207,1465,0.14129692832764504
110030,2018,218,1557,0.14001284521515736
110030,2019,188,1590,0.11823899371069183
110030,2020,166,1553,0.10688989053444946
110032,2012,57,313,0.18210862619808307
110032,2013,0,355,0.0
110032,2014,84,364,0.23076923076923078
110032,2015,53,311,0.17041800643086816
110032,2016,71,337,0.21068249258160238
110032,2017,64,372,0.17204301075268819
110032,2018,72,391,0.18414322250639387
110032,2019,77,353,0.21813031161473087
110032,2020,64,363,0.1763085399449036
110033,2012,37,383,0.09660574412532637
110033,2013,0,416,0.0
110033,2014,68,425,0.16
110033,2015,71,404,0.17574257425742573
110033,2016,84,411,0.20437956204379562
110033,2017,76,487,0.15605749486652978
110033,2018,69,482,0.14315352697095435
110033,2019,69,432,0.1597222222222222
110033,2020,67,423,0.15839243498817968
110034,2012,28,189,0.14814814814814814
110034,2013,0,220,0.0
110034,2014,37,184,0.20108695652173914
110034,2015,31,200,0.155
110034,2016,26,166,0.1566265060240964
110034,2017,36,178,0.20224719101123595
110034,2018,41,162,0.25308641975308643
110034,2019,41,205,0.2
110034,2020,38,210,0.18095238095238095
110037,2012,49,189,0.25925925925925924
110037,2013,0,163,0.0
110037,2014,27,172,0.1569767441860465
110037,2015,31,149,0.2080536912751678
110037,2016,26,168,0.15476190476190477
110037,2017,36,172,0.20930232558139536
110037,2018,23,160,0.14375
110037,2019,19,154,0.12337662337662338
110037,2020,26,146,0.1780821917808219
110040,2012,40,194,0.20618556701030927
110040,2013,0,211,0.0
110040,2014,43,254,0.16929133858267717
110040,2015,41,247,0.1659919028340081
110040,2016,8,220,0.03636363636363636
110040,2017,7,242,0.028925619834710745
110040,2018,26,219,0.1187214611872146
110040,2019,31,226,0.13716814159292035
110040,2020,36,218,0.1651376146788991
110045,2012,96,555,0.17297297297297298
110045,2013,0,598,0.0
110045,2014,121,620,0.19516129032258064
110045,2015,123,608,0.20230263157894737
110045,2016,100,624,0.16025641025641027
110045,2017,113,632,0.1787974683544304
110045,2018,116,617,0.1880064829821718
110045,2019,83,583,0.1423670668953688
110045,2020,73,508,0.1437007874015748
110050,2012,34,125,0.272
110050,2013,0,122,0.0
110050,2014,23,93,0.24731182795698925
110050,2015,33,109,0.30275229357798167
110050,2016,19,95,0.2
110050,2017,24,91,0.26373626373626374
110050,2018,27,111,0.24324324324324326
110050,2019,12,98,0.12244897959183673
110050,2020,14,78,0.1794871794871795
110060,2012,21,61,0.3442622950819672
110060,2013,0,63,0.0
110060,2014,14,58,0.2413793103448276
110060,2015,7,72,0.09722222222222222
110060,2016,7,67,0.1044776119402985
110060,2017,3,71,0.04225352112676056
110060,2018,12,80,0.15
110060,2019,13,75,0.17333333333333334
110060,2020,13,70,0.18571428571428572
110070,2012,31,164,0.18902439024390244
110070,2013,0,183,0.0
110070,2014,41,181,0.2265193370165746
110070,2015,31,156,0.1987179487179487
110070,2016,30,162,0.18518518518518517
110070,2017,31,174,0.1781609195402299
110070,2018,22,195,0.11282051282051282
110070,2019,29,166,0.1746987951807229
110070,2020,39,173,0.2254335260115607
110080,2012,58,430,0.13488372093023257
110080,2013,0,405,0.0
110080,2014,24,296,0.08108108108108109
110080,2015,60,323,0.18575851393188855
110080,2016,44,372,0.11827956989247312
110080,2017,59,397,0.1486146095717884
110080,2018,78,421,0.18527315914489312
110080,2019,55,337,0.1632047477744807
110080,2020,42,344,0.12209302325581395
110090,2012,11,53,0.20754716981132076
110090,2013,0,36,0.0
110090,2014,9,46,0.1956521739130435
110090,2015,9,52,0.17307692307692307
110090,2016,11,55,0.2
110090,2017,5,39,0.1282051282051282
110090,2018,11,56,0.19642857142857142
110090,2019,7,32,0.21875
110090,2020,8,37,0.21621621621621623
110092,2012,19,118,0.16101694915254236
110092,2013,0,158,0.0
110092,2014,24,158,0.1518987341772152
110092,2015,28,154,0.18181818181818182
110092,2016,27,153,0.17647058823529413
110092,2017,31,169,0.1834319526627219
110092,2018,23,181,0.1270718232044199
110092,2019,30,162,0.18518518518518517
110092,2020,20,162,0.12345679012345678
110094,2012,20,161,0.12422360248447205
110094,2013,0,203,0.0
110094,2014,30,240,0.125
110094,2015,31,274,0.11313868613138686
110094,2016,24,241,0.0995850622406639
110094,2017,18,209,0.0861244019138756
110094,2018,29,229,0.12663755458515283
110094,2019,36,205,0.17560975609756097
110094,2020,38,246,0.15447154471544716
110100,2012,37,133,0.2781954887218045
110100,2013,0,116,0.0
110100,2014,34,124,0.27419354838709675
110100,2015,26,132,0.19696969696969696
110100,2016,24,112,0.21428571428571427
110100,2017,17,109,0.1559633027522936
110100,2018,28,133,0.21052631578947367
110100,2019,15,112,0.13392857142857142
110100,2020,7,86,0.08139534883720931
110110,2012,14,114,0.12280701754385964
110110,2013,0,123,0.0
110110,2014,14,97,0.14432989690721648
110110,2015,12,112,0.10714285714285714
110110,2016,19,129,0.14728682170542637
110110,2017,13,95,0.1368421052631579
110110,2018,9,92,0.09782608695652174
110110,2019,15,109,0.13761467889908258
110110,2020,10,119,0.08403361344537816
110120,2012,11,100,0.11
110120,2013,0,104,0.0
110120,2014,9,107,0.08411214953271028
110120,2015,12,93,0.12903225806451613
110120,2016,7,93,0.07526881720430108
110120,2017,18,100,0.18
110120,2018,12,92,0.13043478260869565
110120,2019,17,84,0.20238095238095238
110120,2020,9,74,0.12162162162162163
110130,2012,18,148,0.12162162162162163
110130,2013,0,122,0.0
110130,2014,26,137,0.1897810218978102
110130,2015,35,179,0.19553072625698323
110130,2016,36,148,0.24324324324324326
110130,2017,27,156,0.17307692307692307
110130,2018,26,160,0.1625
110130,2019,34,164,0.2073170731707317
110130,2020,39,168,0.23214285714285715
110140,2012,32,170,0.18823529411764706
110140,2013,0,223,0.0
110140,2014,40,204,0.19607843137254902
110140,2015,32,240,0.13333333333333333
110140,2016,14,173,0.08092485549132948
110140,2017,22,200,0.11
110140,2018,44,220,0.2
110140,2019,35,199,0.17587939698492464
110140,2020,20,167,0.11976047904191617
110143,2012,22,99,0.2222222222222222
110143,2013,0,82,0.0
110143,2014,26,110,0.23636363636363636
110143,2015,19,73,0.2602739726027397
110143,2016,18,90,0.2
110143,2017,26,94,0.2765957446808511
110143,2018,14,87,0.16091954022988506
110143,2019,18,104,0.17307692307692307
110143,2020,12,87,0.13793103448275862
110145,2012,19,63,0.30158730158730157
110145,2013,0,55,0.0
110145,2014,10,49,0.20408163265306123
110145,2015,12,54,0.2222222222222222
110145,2016,8,50,0.16
110145,2017,7,51,0.13725490196078433
110145,2018,12,53,0.22641509433962265
110145,2019,8,44,0.18181818181818182
110145,2020,8,59,0.13559322033898305
110146,2012,2,51,0.0392156862745098
110146,2013,0,42,0.0
110146,2014,9,37,0.24324324324324326
110146,2015,8,52,0.15384615384615385
110146,2016,4,34,0.11764705882352941
110146,2017,11,52,0.21153846153846154
110146,2018,5,52,0.09615384615384616
110146,2019,4,40,0.1
110146,2020,4,39,0.10256410256410256
110147,2012,12,43,0.27906976744186046
110147,2013,0,39,0.0
110147,2014,6,47,0.1276595744680851
110147,2015,9,40,0.225
110147,2016,11,56,0.19642857142857142
110147,2017,13,63,0.20634920634920634
110147,2018,6,38,0.15789473684210525
110147,2019,8,43,0.18604651162790697
110147,2020,12,38,0.3157894736842105
110148,2012,15,64,0.234375
110148,2013,0,61,0.0
110148,2014,15,59,0.2542372881355932
110148,2015,13,73,0.1780821917808219
110148,2016,7,54,0.12962962962962962
110148,2017,10,75,0.13333333333333333
110148,2018,8,54,0.14814814814814814
110148,2019,5,54,0.09259259259259259
110148,2020,11,65,0.16923076923076924
110149,2012,31,246,0.12601626016260162
110149,2013,0,266,0.0
110149,2014,68,308,0.22077922077922077
110149,2015,84,319,0.26332288401253917
110149,2016,64,305,0.2098360655737705
110149,2017,59,333,0.17717717717717718
110149,2018,65,327,0.19877675840978593
110149,2019,48,303,0.15841584158415842
110149,2020,40,266,0.15037593984962405
110150,2012,38,190,0.2
110150,2013,0,184,0.0
110150,2014,52,170,0.3058823529411765
110150,2015,46,188,0.24468085106382978
110150,2016,52,171,0.30409356725146197
110150,2017,48,188,0.2553191489361702
110150,2018,29,154,0.18831168831168832
110150,2019,41,168,0.24404761904761904
110150,2020,38,162,0.2345679012345679
110155,2012,9,57,0.15789473684210525
110155,2013,0,80,0.0
110155,2014,10,69,0.14492753623188406
110155,2015,12,71,0.16901408450704225
110155,2016,15,59,0.2542372881355932
110155,2017,7,58,0.1206896551724138
110155,2018,7,60,0.11666666666666667
110155,2019,3,64,0.046875
110155,2020,3,42,0.07142857142857142
110160,2012,35,133,0.2631578947368421
110160,2013,0,106,0.0
110160,2014,26,125,0.208
110160,2015,20,107,0.18691588785046728
110160,2016,31,131,0.2366412213740458
110160,2017,30,146,0.2054794520547945
110160,2018,22,131,0.16793893129770993
110160,2019,13,97,0.13402061855670103
110160,2020,17,115,0.14782608695652175
110170,2012,34,146,0.2328767123287671
110170,2013,0,150,0.0
110170,2014,29,122,0.23770491803278687
110170,2015,23,138,0.16666666666666666
110170,2016,27,151,0.17880794701986755
110170,2017,24,150,0.16
110170,2018,18,139,0.12949640287769784
110170,2019,14,170,0.08235294117647059
110170,2020,17,143,0.11888111888111888
110175,2012,20,86,0.23255813953488372
110175,2013,0,89,0.0
110175,2014,31,128,0.2421875
110175,2015,20,106,0.18867924528301888
110175,2016,21,110,0.19090909090909092
110175,2017,19,86,0.22093023255813954
110175,2018,14,91,0.15384615384615385
110175,2019,14,93,0.15053763440860216
110175,2020,9,72,0.125
110180,2012,17,83,0.20481927710843373
110180,2013,0,107,0.0
110180,2014,10,90,0.1111111111111111
110180,2015,12,63,0.19047619047619047
110180,2016,13,98,0.1326530612244898
110180,2017,7,79,0.08860759493670886
110180,2018,20,95,0.21052631578947367
110180,2019,5,81,0.06172839506172839
110180,2020,6,62,0.0967741935483871
120000,2012,0,1,0.0
120001,2012,36,253,0.1422924901185771
120001,2013,0,258,0.0
120001,2014,48,269,0.17843866171003717
120001,2015,39,217,0.17972350230414746
120001,2016,35,222,0.15765765765765766
120001,2017,47,256,0.18359375
120001,2018,37,216,0.1712962962962963
120001,2019,50,257,0.19455252918287938
120001,2020,36,237,0.1518987341772152
120005,2012,20,219,0.091324200913242
120005,2013,0,213,0.0
120005,2014,29,196,0.14795918367346939
120005,2015,33,238,0.13865546218487396
120005,2016,32,190,0.16842105263157894
120005,2017,28,248,0.11290322580645161
120005,2018,23,264,0.08712121212121213
120005,2019,20,266,0.07518796992481203
120005,2020,23,215,0.10697674418604651
120010,2012,92,505,0.18217821782178217
120010,2013,0,530,0.0
120010,2014,88,547,0.16087751371115175
120010,2015,83,531,0.15630885122410546
120010,2016,94,490,0.19183673469387755
120010,2017,106,570,0.18596491228070175
120010,2018,89,540,0.1648148148148148
120010,2019,97,540,0.17962962962962964
120010,2020,89,527,0.16888045540796964
120013,2012,32,198,0.16161616161616163
120013,2013,0,202,0.0
120013,2014,37,242,0.15289256198347106
120013,2015,36,248,0.14516129032258066
120013,2016,45,248,0.1814516129032258
120013,2017,44,307,0.14332247557003258
120013,2018,71,306,0.23202614379084968
120013,2019,61,329,0.18541033434650456
120013,2020,35,241,0.14522821576763487
120017,2012,28,201,0.13930348258706468
120017,2013,0,193,0.0
120017,2014,34,234,0.1452991452991453
120017,2015,23,219,0.1050228310502283
120017,2016,27,194,0.13917525773195877
120017,2017,37,243,0.1522633744855967
120017,2018,37,222,0.16666666666666666
120017,2019,42,217,0.1935483870967742
120017,2020,29,190,0.15263157894736842
120020,2012,274,1741,0.15738081562320505
120020,2013,0,1783,0.0
120020,2014,271,1818,0.14906490649064907
120020,2015,259,1839,0.1408374116367591
120020,2016,210,1632,0.12867647058823528
120020,2017,263,1684,0.15617577197149643
120020,2018,255,1756,0.14521640091116172
120020,2019,236,1809,0.1304588170259812
120020,2020,263,1691,0.15552927261975164
120025,2012,37,282,0.13120567375886524
120025,2013,0,275,0.0
120025,2014,39,262,0.14885496183206107
120025,2015,46,279,0.16487455197132617
120025,2016,35,270,0.12962962962962962
120025,2017,57,291,0.1958762886597938
120025,2018,49,273,0.1794871794871795
120025,2019,41,314,0.1305732484076433
120025,2020,45,293,0.15358361774744028
120030,2012,54,904,0.059734513274336286
120030,2013,0,791,0.0
120030,2014,49,829,0.05910735826296743
120030,2015,48,772,0.06217616580310881
120030,2016,84,834,0.10071942446043165
120030,2017,35,833,0.04201680672268908
120030,2018,61,833,0.07322929171668667
120030,2019,91,871,0.1044776119402985
120030,2020,94,789,0.11913814955640051
120032,2012,5,269,0.01858736059479554
120032,2013,0,271,0.0
120032,2014,19,282,0.0673758865248227
120032,2015,18,273,0.06593406593406594
120032,2016,23,263,0.08745247148288973
120032,2017,30,266,0.11278195488721804
120032,2018,21,274,0.07664233576642336
120032,2019,21,218,0.0963302752293578
120032,2020,20,205,0.0975609756097561
120033,2012,43,386,0.11139896373056994
120033,2013,0,399,0.0
120033,2014,58,413,0.14043583535108958
120033,2015,45,395,0.11392405063291139
120033,2016,56,325,0.1723076923076923
120033,2017,51,358,0.1424581005586592
120033,2018,69,367,0.1880108991825613
120033,2019,54,345,0.1565217391304348
120033,2020,59,420,0.14047619047619048
120034,2012,37,256,0.14453125
120034,2013,0,229,0.0
120034,2014,24,243,0.09876543209876543
120034,2015,27,266,0.10150375939849623
120034,2016,36,236,0.15254237288135594
120034,2017,40,261,0.1532567049808429
120034,2018,41,252,0.1626984126984127
120034,2019,28,230,0.12173913043478261
120034,2020,39,280,0.1392857142857143
120035,2012,34,474,0.07172995780590717
120035,2013,0,485,0.0
120035,2014,48,458,0.10480349344978165
120035,2015,51,445,0.1146067415730337
120035,2016,48,352,0.13636363636363635
120035,2017,47,388,0.1211340206185567
120035,2018,57,407,0.14004914004914004
120035,2019,55,448,0.12276785714285714
120035,2020,44,334,0.1317365269461078
120038,2012,48,353,0.1359773371104816
120038,2013,0,334,0.0
120038,2014,43,322,0.13354037267080746
120038,2015,40,350,0.11428571428571428
120038,2016,58,339,0.1710914454277286
120038,2017,56,305,0.18360655737704917
120038,2018,52,309,0.16828478964401294
120038,2019,54,318,0.16981132075471697
120038,2020,44,285,0.1543859649122807
120039,2012,18,338,0.05325443786982249
120039,2013,0,287,0.0
120039,2014,36,250,0.144
120039,2015,38,262,0.1450381679389313
120039,2016,31,230,0.13478260869565217
120039,2017,38,282,0.1347517730496454
120039,2018,28,254,0.11023622047244094
120039,2019,28,270,0.1037037037037037
120039,2020,21,287,0.07317073170731707
120040,2012,883,6531,0.13520134741999693
120040,2013,0,7116,0.0
120040,2014,1020,7011,0.14548566538296961
120040,2015,1046,6965,0.1501794687724336
120040,2016,952,6614,0.1439371031146054
120040,2017,886,6460,0.1371517027863777
120040,2018,1007,6495,0.1550423402617398
120040,2019,930,6324,0.14705882352941177
120040,2020,791,5745,0.13768494342906876
120042,2012,46,390,0.11794871794871795
120042,2013,0,363,0.0
120042,2014,40,394,0.10152284263959391
120042,2015,43,396,0.10858585858585859
120042,2016,43,304,0.14144736842105263
120042,2017,53,366,0.1448087431693989
120042,2018,55,394,0.13959390862944163
120042,2019,58,334,0.17365269461077845
120042,2020,52,347,0.14985590778097982
120043,2012,4,259,0.015444015444015444
120043,2013,0,223,0.0
120043,2014,13,185,0.07027027027027027
120043,2015,10,150,0.06666666666666667
120043,2016,11,95,0.11578947368421053
120043,2017,11,198,0.05555555555555555
120043,2018,14,207,0.06763285024154589
120043,2019,23,186,0.12365591397849462
120043,2020,13,149,0.087248322147651
120045,2012,45,396,0.11363636363636363
120045,2013,0,425,0.0
120045,2014,62,453,0.1368653421633554
120045,2015,58,443,0.1309255079006772
120045,2016,75,410,0.18292682926829268
120045,2017,75,395,0.189873417721519
120045,2018,92,476,0.19327731092436976
120045,2019,70,417,0.16786570743405277
120045,2020,68,401,0.16957605985037408
120050,2012,107,929,0.11517761033369214
120050,2013,0,904,0.0
120050,2014,104,827,0.12575574365175332
120050,2015,102,847,0.1204250295159386
120050,2016,89,762,0.1167979002624672
120050,2017,102,780,0.13076923076923078
120050,2018,105,788,0.13324873096446702
120050,2019,97,768,0.12630208333333334
120050,2020,72,668,0.10778443113772455
120060,2012,83,1158,0.07167530224525043
120060,2013,0,1138,0.0
120060,2014,63,1230,0.05121951219512195
120060,2015,80,1165,0.06866952789699571
120060,2016,70,1078,0.06493506493506493
120060,2017,68,1132,0.06007067137809187
120060,2018,103,1193,0.08633696563285834
120060,2019,80,1143,0.0699912510936133
120060,2020,67,1161,0.05770887166236004
120070,2012,53,311,0.17041800643086816
120070,2013,0,294,0.0
120070,2014,56,306,0.1830065359477124
120070,2015,59,322,0.18322981366459629
120070,2016,50,329,0.1519756838905775
120070,2017,49,305,0.16065573770491803
120070,2018,67,325,0.20615384615384616
120070,2019,36,297,0.12121212121212122
120070,2020,43,316,0.1360759493670886
120080,2012,51,346,0.14739884393063585
120080,2013,0,362,0.0
120080,2014,65,368,0.1766304347826087
120080,2015,58,358,0.16201117318435754
120080,2016,62,356,0.17415730337078653
