CODMUNRES,Ano,Qtd_Morte_Materna,Qtd_Total,Ratio
110028,2018,0.0,911.0,0.0
110028,2019,0.0,903.0,0.0
110029,2012,0.0,118.0,0.0
110029,2013,0.0,98.0,0.0
110029,2014,0.0,103.0,0.0
110029,2015,0.0,108.0,0.0
110029,2016,0.0,115.0,0.0
110029,2017,0.0,115.0,0.0
110029,2018,0.0,115.0,0.0
110029,2019,0.0,107.0,0.0
110030,2012,2.0,1269.0,157.60441292356188
110030,2013,3.0,1388.0,216.13832853025937
110030,2014,3.0,1418.0,211.56558533145278
110030,2015,1.0,1563.0,63.97952655150352
110030,2016,0.0,1440.0,0.0
110030,2017,0.0,1498.0,0.0
110030,2018,1.0,1566.0,63.85696040868455
110030,2019,0.0,1595.0,0.0
110032,2012,0.0,313.0,0.0
110032,2013,0.0,355.0,0.0
110032,2014,0.0,364.0,0.0
110032,2015,0.0,322.0,0.0
110032,2016,1.0,339.0,294.9852507374631
110032,2017,0.0,380.0,0.0
110032,2018,0.0,394.0,0.0
110032,2019,0.0,372.0,0.0
110033,2012,1.0,383.0,261.0966057441253
110033,2013,0.0,416.0,0.0
110033,2014,0.0,425.0,0.0
110033,2015,0.0,418.0,0.0
110033,2016,0.0,416.0,0.0
110033,2017,0.0,476.0,0.0
110033,2018,0.0,499.0,0.0
110033,2019,0.0,424.0,0.0
110034,2012,0.0,189.0,0.0
110034,2013,0.0,220.0,0.0
110034,2014,0.0,184.0,0.0
110034,2015,1.0,194.0,515.4639175257732
110034,2016,0.0,177.0,0.0
110034,2017,0.0,178.0,0.0
110034,2018,1.0,183.0,546.448087431694
110034,2019,0.0,213.0,0.0
110037,2012,0.0,189.0,0.0
110037,2013,0.0,163.0,0.0
110037,2014,0.0,172.0,0.0
110037,2015,0.0,159.0,0.0
110037,2016,0.0,167.0,0.0
110037,2017,1.0,172.0,581.3953488372093
110037,2018,0.0,169.0,0.0
110037,2019,0.0,160.0,0.0
110040,2012,0.0,194.0,0.0
110040,2013,1.0,211.0,473.93364928909955
110040,2014,0.0,254.0,0.0
110040,2015,0.0,266.0,0.0
110040,2016,0.0,256.0,0.0
110040,2017,0.0,269.0,0.0
110040,2018,0.0,244.0,0.0
110040,2019,0.0,248.0,0.0
110045,2012,0.0,555.0,0.0
110045,2013,0.0,598.0,0.0
110045,2014,1.0,620.0,161.29032258064515
110045,2015,0.0,666.0,0.0
110045,2016,0.0,658.0,0.0
110045,2017,0.0,649.0,0.0
110045,2018,1.0,607.0,164.74464579901152
110045,2019,0.0,580.0,0.0
110050,2012,0.0,125.0,0.0
110050,2013,0.0,122.0,0.0
110050,2014,0.0,93.0,0.0
110050,2015,0.0,103.0,0.0
110050,2016,0.0,89.0,0.0
110050,2017,0.0,88.0,0.0
110050,2018,0.0,106.0,0.0
110050,2019,0.0,93.0,0.0
110060,2012,0.0,61.0,0.0
110060,2013,0.0,63.0,0.0
110060,2014,0.0,58.0,0.0
110060,2015,0.0,75.0,0.0
110060,2016,0.0,74.0,0.0
110060,2017,0.0,73.0,0.0
110060,2018,0.0,82.0,0.0
110060,2019,0.0,79.0,0.0
110070,2012,0.0,164.0,0.0
110070,2013,0.0,183.0,0.0
110070,2014,0.0,181.0,0.0
110070,2015,0.0,153.0,0.0
110070,2016,0.0,161.0,0.0
110070,2017,1.0,163.0,613.4969325153374
110070,2018,0.0,202.0,0.0
110070,2019,0.0,173.0,0.0
110080,2012,1.0,430.0,232.5581395348837
110080,2013,0.0,405.0,0.0
110080,2014,0.0,296.0,0.0
110080,2015,0.0,373.0,0.0
110080,2016,0.0,375.0,0.0
110080,2017,0.0,424.0,0.0
110080,2018,0.0,409.0,0.0
110080,2019,1.0,350.0,285.7142857142857
110090,2012,0.0,53.0,0.0
110090,2013,0.0,36.0,0.0
110090,2014,0.0,46.0,0.0
110090,2015,0.0,58.0,0.0
110090,2016,0.0,57.0,0.0
110090,2017,0.0,41.0,0.0
110090,2018,0.0,54.0,0.0
110090,2019,0.0,39.0,0.0
110092,2012,0.0,118.0,0.0
110092,2013,1.0,158.0,632.9113924050632
110092,2014,0.0,158.0,0.0
110092,2015,0.0,147.0,0.0
110092,2016,0.0,156.0,0.0
110092,2017,1.0,166.0,602.4096385542169
110092,2018,0.0,184.0,0.0
110092,2019,0.0,158.0,0.0
110094,2012,0.0,161.0,0.0
110094,2013,0.0,203.0,0.0
110094,2014,1.0,240.0,416.6666666666667
110094,2015,0.0,314.0,0.0
110094,2016,0.0,274.0,0.0
110094,2017,1.0,253.0,395.2569169960474
110094,2018,0.0,257.0,0.0
