CODMUNRES,Ano,Qtd_Total,Pop,Ratio
110001,2012,23.0,2471,0.009307972480777013
110001,2013,26.0,2470,0.010526315789473684
110001,2014,36.0,2468,0.014586709886547812
110001,2015,22.0,2464,0.008928571428571428
110001,2016,24.0,2467,0.009728415079043373
110001,2017,35.0,2469,0.014175779667881734
110001,2018,53.0,2472,0.021440129449838186
110001,2019,38.0,2473,0.015365952284674484
110037,2012,9.0,1243,0.007240547063555913
110037,2013,13.0,1284,0.010124610591900311
110037,2014,15.0,1325,0.011320754716981131
110037,2015,10.0,1366,0.007320644216691069
110037,2016,9.0,1388,0.006484149855907781
110037,2017,18.0,1411,0.012756909992912827
110037,2018,15.0,1434,0.010460251046025104
110037,2019,10.0,1455,0.006872852233676976
110040,2012,13.0,1762,0.0073779795686719635
110040,2013,13.0,1845,0.007046070460704607
110040,2014,16.0,1928,0.008298755186721992
110040,2015,17.0,2011,0.008453505718547987
110040,2016,13.0,2082,0.006243996157540826
110040,2017,13.0,2152,0.0060408921933085506
110040,2018,23.0,2222,0.010351035103510351
110040,2019,18.0,2291,0.00785683107813182
110034,2012,10.0,1643,0.006086427267194157
110034,2013,12.0,1652,0.007263922518159807
110034,2014,18.0,1660,0.010843373493975903
110034,2015,12.0,1667,0.007198560287942412
110034,2016,11.0,1659,0.006630500301386378
110034,2017,17.0,1651,0.01029678982434888
110034,2018,14.0,1643,0.00852099817407182
110034,2019,25.0,1634,0.015299877600979192
110002,2012,87.0,9818,0.008861275208800163
110002,2013,106.0,10129,0.010465001480896435
110002,2014,117.0,10449,0.01119724375538329
110002,2015,133.0,10767,0.012352558744311322
110002,2016,138.0,11059,0.01247852427886789
110002,2017,134.0,11340,0.01181657848324515
110002,2018,162.0,11614,0.013948682624418805
110002,2019,168.0,11894,0.014124768790987053
110045,2012,19.0,3142,0.0060471037555697
110045,2013,18.0,3287,0.005476118040766657
110045,2014,34.0,3433,0.009903874162540053
110045,2015,35.0,3579,0.009779267951941882
110045,2016,29.0,3739,0.00775608451457609
110045,2017,43.0,3899,0.011028468838163632
110045,2018,44.0,4060,0.01083743842364532
110045,2019,58.0,4216,0.013757115749525617
110003,2012,0.0,638,0.0
110003,2013,7.0,636,0.0110062893081761
110003,2014,4.0,628,0.006369426751592357
110003,2015,8.0,624,0.01282051282051282
110003,2016,9.0,623,0.014446227929373997
110003,2017,8.0,623,0.012841091492776886
110003,2018,11.0,622,0.017684887459807074
110003,2019,11.0,620,0.017741935483870968
110060,2012,2.0,554,0.0036101083032490976
110060,2013,4.0,573,0.006980802792321117
110060,2014,2.0,593,0.003372681281618887
110060,2015,7.0,612,0.011437908496732025
110060,2016,4.0,626,0.006389776357827476
110060,2017,3.0,642,0.004672897196261682
110060,2018,9.0,657,0.0136986301369863
110060,2019,7.0,670,0.010447761194029851
110004,2012,96.0,8835,0.010865874363327675
110004,2013,84.0,9013,0.009319871297015421
110004,2014,119.0,9190,0.01294885745375408
110004,2015,127.0,9370,0.013553895410885806
110004,2016,128.0,9505,0.013466596528143082
110004,2017,167.0,9641,0.017321854579400477
110004,2018,160.0,9774,0.016369961121342338
110004,2019,180.0,9900,0.01818181818181818
110070,2012,5.0,1204,0.004152823920265781
110070,2013,14.0,1255,0.011155378486055778
110070,2014,10.0,1305,0.007662835249042145
110070,2015,10.0,1357,0.007369196757553427
110070,2016,9.0,1404,0.00641025641025641
110070,2017,9.0,1451,0.006202618883528601
110070,2018,15.0,1498,0.010013351134846462
110070,2019,9.0,1544,0.005829015544041451
110080,2012,35.0,1910,0.01832460732984293
110080,2013,31.0,2022,0.01533135509396637
110080,2014,22.0,2136,0.010299625468164793
110080,2015,23.0,2249,0.010226767452200978
110080,2016,19.0,2382,0.00797649034424853
110080,2017,22.0,2516,0.008744038155802861
110080,2018,38.0,2649,0.014345035862589657
110080,2019,29.0,2780,0.010431654676258994
110090,2012,4.0,361,0.0110803324099723
110090,2013,1.0,361,0.002770083102493075
110090,2014,0.0,360,0.0
110090,2015,3.0,359,0.008356545961002786
110090,2016,2.0,357,0.0056022408963585435
110090,2017,6.0,355,0.016901408450704224
110090,2018,1.0,352,0.002840909090909091
110090,2019,3.0,350,0.008571428571428572
110005,2012,14.0,1869,0.00749063670411985
110005,2013,16.0,1873,0.008542445274959957
110005,2014,18.0,1870,0.009625668449197862
110005,2015,25.0,1872,0.013354700854700854
110005,2016,24.0,1871,0.012827365045430252
110005,2017,34.0,1870,0.01818181818181818
110005,2018,27.0,1867,0.0144617032672737
110005,2019,29.0,1865,0.015549597855227882
110092,2012,7.0,860,0.00813953488372093
110092,2013,16.0,906,0.017660044150110375
110092,2014,12.0,951,0.012618296529968454
110092,2015,9.0,997,0.009027081243731194
110092,2016,11.0,1054,0.010436432637571158
110092,2017,10.0,1112,0.008992805755395683
110092,2018,13.0,1169,0.011120615911035072
110092,2019,17.0,1226,0.013866231647634585
110006,2012,20.0,1897,0.010542962572482868
110006,2013,18.0,1883,0.009559214020180564
110006,2014,25.0,1869,0.01337613697164259
110006,2015,23.0,1853,0.0124123043712898
110006,2016,25.0,1849,0.01352082206598161
110006,2017,18.0,1845,0.00975609756097561
