CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total,Ratio
110018,2015,2.0,594,0.003367003367003367
110018,2016,3.0,601,0.004991680532445923
110018,2017,2.0,615,0.0032520325203252032
110018,2018,6.0,651,0.009216589861751152
110018,2019,3.0,616,0.00487012987012987
110018,2020,3.0,579,0.0051813471502590676
110020,2012,35.0,8941,0.003914550945084442
110020,2013,32.0,8927,0.0035846308950375264
110020,2014,30.0,9130,0.0032858707557502738
110020,2015,42.0,9093,0.004618937644341801
110020,2016,43.0,8611,0.004993612820810591
110020,2017,35.0,8800,0.003977272727272727
110020,2018,37.0,8752,0.004227605118829982
110020,2019,35.0,8437,0.004148393978902453
110020,2020,41.0,7893,0.005194476118079311
110025,2012,0.0,243,0.0
110025,2013,0.0,258,0.0
110025,2014,0.0,289,0.0
110025,2015,1.0,262,0.003816793893129771
110025,2016,0.0,276,0.0
110025,2017,0.0,289,0.0
110025,2018,0.0,294,0.0
110025,2019,0.0,304,0.0
110025,2020,0.0,259,0.0
110026,2012,0.0,41,0.0
110026,2013,0.0,38,0.0
110026,2014,0.0,36,0.0
110026,2015,0.0,36,0.0
110026,2016,0.0,35,0.0
110026,2017,0.0,49,0.0
110026,2018,0.0,46,0.0
110026,2019,0.0,50,0.0
110026,2020,0.0,48,0.0
110028,2012,0.0,927,0.0
110028,2013,0.0,879,0.0
110028,2014,0.0,947,0.0
110028,2015,1.0,936,0.0010683760683760685
110028,2016,1.0,855,0.0011695906432748538
110028,2017,0.0,963,0.0
110028,2018,0.0,900,0.0
110028,2019,1.0,927,0.0010787486515641855
110028,2020,0.0,877,0.0
110029,2012,1.0,118,0.00847457627118644
110029,2013,0.0,98,0.0
110029,2014,0.0,103,0.0
110029,2015,1.0,109,0.009174311926605505
110029,2016,0.0,114,0.0
110029,2017,1.0,112,0.008928571428571428
110029,2018,0.0,103,0.0
110029,2019,0.0,99,0.0
110029,2020,0.0,99,0.0
110030,2012,3.0,1269,0.002364066193853428
110030,2013,6.0,1388,0.004322766570605188
110030,2014,1.0,1418,0.0007052186177715092
110030,2015,10.0,1535,0.006514657980456026
110030,2016,6.0,1427,0.004204625087596356
110030,2017,4.0,1465,0.0027303754266211604
110030,2018,6.0,1557,0.0038535645472061657
110030,2019,10.0,1590,0.006289308176100629
110030,2020,5.0,1553,0.003219575016097875
110032,2012,0.0,313,0.0
110032,2013,1.0,355,0.0028169014084507044
110032,2014,0.0,364,0.0
110032,2015,0.0,311,0.0
110032,2016,0.0,337,0.0
110032,2017,0.0,372,0.0
110032,2018,0.0,391,0.0
110032,2019,0.0,353,0.0
110032,2020,2.0,363,0.005509641873278237
110033,2012,15.0,383,0.0391644908616188
110033,2013,13.0,416,0.03125
110033,2014,20.0,425,0.047058823529411764
110033,2015,17.0,404,0.04207920792079208
110033,2016,20.0,411,0.04866180048661801
110033,2017,21.0,487,0.043121149897330596
110033,2018,16.0,482,0.03319502074688797
110033,2019,20.0,432,0.046296296296296294
110033,2020,20.0,423,0.04728132387706856
110034,2012,0.0,189,0.0
110034,2013,0.0,220,0.0
110034,2014,0.0,184,0.0
110034,2015,0.0,200,0.0
110034,2016,0.0,166,0.0
110034,2017,0.0,178,0.0
110034,2018,0.0,162,0.0
110034,2019,1.0,205,0.004878048780487805
110034,2020,0.0,210,0.0
110037,2012,2.0,189,0.010582010582010581
110037,2013,0.0,163,0.0
110037,2014,2.0,172,0.011627906976744186
110037,2015,2.0,149,0.013422818791946308
110037,2016,1.0,168,0.005952380952380952
110037,2017,1.0,172,0.005813953488372093
110037,2018,0.0,160,0.0
110037,2019,3.0,154,0.01948051948051948
110037,2020,1.0,146,0.00684931506849315
110040,2012,0.0,194,0.0
110040,2013,0.0,211,0.0
110040,2014,1.0,254,0.003937007874015748
110040,2015,0.0,247,0.0
110040,2016,0.0,220,0.0
110040,2017,0.0,242,0.0
110040,2018,0.0,219,0.0
110040,2019,0.0,226,0.0
110040,2020,0.0,218,0.0
110045,2012,0.0,555,0.0
110045,2013,0.0,598,0.0
110045,2014,0.0,620,0.0
110045,2015,0.0,608,0.0
110045,2016,1.0,624,0.0016025641025641025
110045,2017,1.0,632,0.0015822784810126582
110045,2018,3.0,617,0.004862236628849271
110045,2019,1.0,583,0.0017152658662092624
110045,2020,0.0,508,0.0
110050,2012,1.0,125,0.008
110050,2013,0.0,122,0.0
110050,2014,0.0,93,0.0
110050,2015,1.0,109,0.009174311926605505
110050,2016,0.0,95,0.0
110050,2017,0.0,91,0.0
110050,2018,0.0,111,0.0
110050,2019,0.0,98,0.0
110050,2020,0.0,78,0.0
110060,2012,0.0,61,0.0
110060,2013,0.0,63,0.0
110060,2014,0.0,58,0.0
110060,2015,0.0,72,0.0
110060,2016,0.0,67,0.0
110060,2017,0.0,71,0.0
110060,2018,0.0,80,0.0
110060,2019,0.0,75,0.0
110060,2020,0.0,70,0.0
110070,2012,0.0,164,0.0
110070,2013,0.0,183,0.0
110070,2014,0.0,181,0.0
110070,2015,1.0,156,0.00641025641025641
110070,2016,0.0,162,0.0
110070,2017,2.0,174,0.011494252873563218
110070,2018,2.0,195,0.010256410256410256
110070,2019,0.0,166,0.0
110070,2020,0.0,173,0.0
110080,2012,1.0,430,0.002325581395348837
110080,2013,0.0,405,0.0
110080,2014,1.0,296,0.0033783783783783786
110080,2015,0.0,323,0.0
110080,2016,0.0,372,0.0
110080,2017,1.0,397,0.0025188916876574307
110080,2018,0.0,421,0.0
110080,2019,2.0,337,0.005934718100890208
110080,2020,1.0,344,0.0029069767441860465
110090,2012,0.0,53,0.0
110090,2013,0.0,36,0.0
110090,2014,0.0,46,0.0
110090,2015,0.0,52,0.0
110090,2016,0.0,55,0.0
110090,2017,0.0,39,0.0
110090,2018,0.0,56,0.0
110090,2019,0.0,32,0.0
110090,2020,0.0,37,0.0
110092,2012,6.0,118,0.05084745762711865
110092,2013,4.0,158,0.02531645569620253
110092,2014,5.0,158,0.03164556962025317
110092,2015,4.0,154,0.025974025974025976
110092,2016,5.0,153,0.032679738562091505
110092,2017,6.0,169,0.03550295857988166
110092,2018,7.0,181,0.03867403314917127
110092,2019,8.0,162,0.04938271604938271
110092,2020,5.0,162,0.030864197530864196
110094,2012,0.0,161,0.0
110094,2013,0.0,203,0.0
110094,2014,0.0,240,0.0
110094,2015,0.0,274,0.0
110094,2016,0.0,241,0.0
110094,2017,0.0,209,0.0
110094,2018,0.0,229,0.0
