CODMUNRES,Ano,OICFSI,OISFSI,ONI,Total,Indicador
110045,2018,7,0,0,7,100.0
110045,2019,7,0,0,7,100.0
110045,2020,11,0,0,11,100.0
110050,2012,2,0,0,2,100.0
110050,2013,2,0,1,3,66.66666666666666
110050,2015,2,0,1,3,66.66666666666666
110050,2016,2,0,2,4,50.0
110050,2017,3,0,0,3,100.0
110050,2018,1,0,0,1,100.0
110050,2019,2,0,0,2,100.0
110060,2012,2,0,0,2,100.0
110060,2013,2,0,0,2,100.0
110060,2015,3,0,0,3,100.0
110060,2017,0,1,0,1,100.0
110060,2018,1,0,0,1,100.0
110060,2019,2,0,0,2,100.0
110070,2012,2,0,1,3,66.66666666666666
110070,2013,0,0,1,1,0.0
110070,2014,1,0,2,3,33.33333333333333
110070,2015,1,0,0,1,100.0
110070,2016,2,0,2,4,50.0
110070,2017,2,0,0,2,100.0
110070,2018,4,0,0,4,100.0
110070,2019,2,0,0,2,100.0
110070,2020,2,0,0,2,100.0
110080,2012,3,0,7,10,30.0
110080,2013,6,0,5,11,54.54545454545454
110080,2014,6,0,1,7,85.71428571428571
110080,2015,6,0,2,8,75.0
110080,2016,5,1,3,9,66.66666666666666
110080,2017,4,0,5,9,44.44444444444444
110080,2018,3,0,4,7,42.857142857142854
110080,2019,9,0,0,9,100.0
110080,2020,6,0,5,11,54.54545454545454
110090,2015,1,0,0,1,100.0
110090,2017,1,0,0,1,100.0
110090,2019,1,0,0,1,100.0
110092,2012,2,0,0,2,100.0
110092,2013,2,0,2,4,50.0
110092,2014,1,0,1,2,50.0
110092,2015,2,1,1,4,75.0
110092,2016,1,0,1,2,50.0
110092,2017,1,2,0,3,100.0
110092,2018,0,0,4,4,0.0
110092,2019,0,1,2,3,33.33333333333333
110092,2020,4,0,0,4,100.0
110094,2012,1,0,0,1,100.0
110094,2013,1,0,1,2,50.0
110094,2014,0,0,1,1,0.0
110094,2015,5,0,2,7,71.42857142857143
110094,2016,2,0,0,2,100.0
110094,2017,1,0,2,3,33.33333333333333
110094,2018,3,0,0,3,100.0
110094,2019,1,0,0,1,100.0
110094,2020,3,0,0,3,100.0
110100,2012,0,1,3,4,25.0
110100,2013,1,0,0,1,100.0
110100,2014,7,0,0,7,100.0
110100,2017,1,0,0,1,100.0
110100,2018,0,0,2,2,0.0
110100,2019,2,0,4,6,33.33333333333333
110100,2020,0,0,5,5,0.0
110110,2013,12,0,0,12,100.0
110110,2014,1,0,0,1,100.0
110110,2015,0,0,2,2,0.0
110110,2016,0,0,1,1,0.0
110110,2017,0,0,4,4,0.0
110110,2018,0,0,3,3,0.0
110110,2019,0,0,3,3,0.0
110110,2020,0,0,3,3,0.0
110120,2012,3,0,0,3,100.0
110120,2013,4,0,1,5,80.0
110120,2014,3,0,0,3,100.0
110120,2015,4,0,0,4,100.0
110120,2016,1,0,1,2,50.0
110120,2017,3,0,0,3,100.0
110120,2018,2,0,0,2,100.0
110120,2019,4,0,1,5,80.0
110120,2020,1,0,1,2,50.0
110130,2012,2,0,2,4,50.0
110130,2013,3,0,1,4,75.0
110130,2014,0,0,2,2,0.0
110130,2015,0,1,0,1,100.0
110130,2016,1,0,0,1,100.0
110130,2017,7,0,0,7,100.0
110130,2018,1,0,0,1,100.0
110130,2020,2,0,1,3,66.66666666666666
110140,2012,2,0,0,2,100.0
110140,2013,3,0,0,3,100.0
110140,2014,4,0,0,4,100.0
110140,2015,5,0,0,5,100.0
110140,2016,1,0,0,1,100.0
110140,2017,4,0,1,5,80.0
110140,2018,5,0,0,5,100.0
110140,2019,9,0,0,9,100.0
110140,2020,4,0,0,4,100.0
110143,2012,0,1,0,1,100.0
110143,2013,2,0,0,2,100.0
110143,2014,0,0,1,1,0.0
110143,2015,0,0,2,2,0.0
110143,2016,4,0,0,4,100.0
110143,2018,2,0,0,2,100.0
110143,2019,1,0,0,1,100.0
110143,2020,0,0,3,3,0.0
110145,2013,1,0,0,1,100.0
110145,2014,2,0,0,2,100.0
110145,2015,3,0,0,3,100.0
110145,2016,1,0,0,1,100.0
110145,2020,0,0,1,1,0.0
110146,2016,0,1,1,2,50.0
110146,2017,0,0,1,1,0.0
110146,2020,0,0,2,2,0.0
110147,2014,1,0,0,1,100.0
110147,2015,2,0,0,2,100.0
110147,2018,1,0,0,1,100.0
110147,2019,1,0,0,1,100.0
110147,2020,1,0,0,1,100.0
110148,2012,1,0,2,3,33.33333333333333
110148,2013,2,0,1,3,66.66666666666666
110148,2014,2,0,0,2,100.0
110148,2015,1,0,0,1,100.0
110148,2017,0,2,0,2,100.0
110148,2018,1,0,1,2,50.0
110148,2019,0,0,4,4,0.0
110149,2012,8,0,0,8,100.0
110149,2013,4,0,0,4,100.0
110149,2014,4,0,0,4,100.0
110149,2015,6,0,0,6,100.0
110149,2016,3,0,0,3,100.0
110149,2017,6,0,0,6,100.0
110149,2018,2,0,0,2,100.0
110149,2019,10,0,0,10,100.0
110149,2020,5,0,0,5,100.0
110150,2012,2,0,0,2,100.0
110150,2013,4,0,0,4,100.0
110150,2014,1,0,0,1,100.0
110150,2015,7,0,0,7,100.0
110150,2016,4,0,0,4,100.0
110150,2017,3,0,0,3,100.0
110150,2018,2,0,0,2,100.0
110150,2019,4,0,0,4,100.0
110150,2020,5,0,0,5,100.0
110155,2012,2,0,0,2,100.0
110155,2013,2,0,0,2,100.0
110155,2014,2,0,1,3,66.66666666666666
110155,2015,1,0,0,1,100.0
110155,2016,2,0,0,2,100.0
110155,2017,1,0,0,1,100.0
110155,2018,1,0,0,1,100.0
110155,2019,1,0,0,1,100.0
110155,2020,0,2,0,2,100.0
110160,2012,0,0,3,3,0.0
110160,2013,0,3,1,4,75.0
110160,2014,0,0,1,1,0.0
110160,2015,1,0,2,3,33.33333333333333
110160,2016,0,0,1,1,0.0
110160,2017,3,0,0,3,100.0
110160,2018,0,0,2,2,0.0
110160,2019,0,0,1,1,0.0
110160,2020,3,0,0,3,100.0
110170,2012,6,0,0,6,100.0
110170,2014,3,0,1,4,75.0
110170,2015,1,0,2,3,33.33333333333333
110170,2016,3,0,0,3,100.0
110170,2017,3,0,3,6,50.0
110170,2018,1,0,0,1,100.0
110170,2019,4,0,0,4,100.0
110170,2020,4,0,1,5,80.0
110175,2012,0,0,4,4,0.0
110175,2013,0,0,3,3,0.0
110175,2014,0,0,1,1,0.0
110175,2016,5,0,0,5,100.0
110175,2017,3,0,0,3,100.0
110175,2018,1,0,0,1,100.0
110175,2019,3,0,0,3,100.0
110175,2020,4,0,0,4,100.0
110180,2013,0,0,2,2,0.0
110180,2014,0,0,3,3,0.0
110180,2015,1,0,1,2,50.0
110180,2016,0,0,4,4,0.0
110180,2018,2,0,0,2,100.0
110180,2019,4,0,0,4,100.0
110180,2020,2,0,0,2,100.0
120000,2020,0,0,1,1,0.0
120001,2012,2,0,0,2,100.0
120001,2013,1,0,0,1,100.0
120001,2014,1,0,0,1,100.0
120001,2015,1,0,0,1,100.0
120001,2016,3,0,0,3,100.0
120001,2017,6,0,0,6,100.0
120001,2018,7,0,0,7,100.0
120001,2019,5,0,0,5,100.0
120001,2020,3,0,0,3,100.0
120005,2012,3,0,0,3,100.0
120005,2013,1,0,1,2,50.0
120005,2014,1,0,0,1,100.0
120005,2016,3,0,0,3,100.0
120005,2017,5,0,0,5,100.0
120005,2018,4,0,0,4,100.0
120005,2019,3,0,0,3,100.0
120005,2020,3,0,0,3,100.0
120010,2012,6,0,0,6,100.0
120010,2013,6,0,0,6,100.0
120010,2014,11,0,0,11,100.0
120010,2015,6,0,0,6,100.0
120010,2016,6,0,0,6,100.0
120010,2017,6,0,0,6,100.0
120010,2018,7,0,0,7,100.0
120010,2019,9,0,0,9,100.0
120010,2020,12,0,0,12,100.0
120013,2012,1,0,0,1,100.0
120013,2013,4,0,0,4,100.0
120013,2014,4,0,0,4,100.0
120013,2015,4,0,0,4,100.0
120013,2016,2,0,0,2,100.0
120013,2017,3,0,0,3,100.0
120013,2018,2,0,0,2,100.0
120013,2019,4,0,1,5,80.0
120013,2020,3,0,0,3,100.0
120017,2012,3,0,0,3,100.0
120017,2013,1,0,0,1,100.0
120017,2014,4,0,0,4,100.0
120017,2015,4,0,0,4,100.0
120017,2016,3,0,0,3,100.0
120017,2017,2,0,0,2,100.0
120017,2018,4,0,0,4,100.0
120017,2019,1,0,0,1,100.0
120017,2020,4,0,0,4,100.0
120020,2012,20,0,3,23,86.95652173913044
120020,2013,19,0,4,23,82.6086956521739
120020,2014,24,0,0,24,100.0
120020,2015,24,0,0,24,100.0
120020,2016,26,0,0,26,100.0
120020,2017,27,0,0,27,100.0
120020,2018,22,0,0,22,100.0
120020,2019,31,0,0,31,100.0
120020,2020,23,0,0,23,100.0
120025,2012,7,0,0,7,100.0
120025,2013,2,0,0,2,100.0
120025,2014,3,0,0,3,100.0
120025,2015,3,0,0,3,100.0
120025,2016,4,0,0,4,100.0
120025,2017,5,0,0,5,100.0
120025,2018,7,0,0,7,100.0
120025,2019,4,0,0,4,100.0
120025,2020,10,0,0,10,100.0
120030,2012,6,0,1,7,85.71428571428571
120030,2013,4,0,7,11,36.36363636363637
120030,2014,9,0,0,9,100.0
120030,2015,10,0,0,10,100.0
120030,2016,13,0,0,13,100.0
120030,2017,11,0,0,11,100.0
120030,2018,7,0,0,7,100.0
120030,2019,8,0,0,8,100.0
120030,2020,12,0,0,12,100.0
120032,2012,2,0,0,2,100.0
120032,2013,1,0,0,1,100.0
120032,2014,2,0,0,2,100.0
120032,2015,2,0,0,2,100.0
120032,2016,2,0,0,2,100.0
120032,2017,1,0,0,1,100.0
120032,2018,3,0,0,3,100.0
120032,2019,1,0,0,1,100.0
120032,2020,0,0,1,1,0.0
120033,2012,1,0,0,1,100.0
120033,2013,7,0,1,8,87.5
120033,2014,7,0,0,7,100.0
120033,2015,3,0,0,3,100.0
120033,2016,3,0,0,3,100.0
120033,2017,4,0,0,4,100.0
120033,2018,8,0,0,8,100.0
120033,2019,10,0,0,10,100.0
120033,2020,2,0,4,6,33.33333333333333
120034,2012,2,0,0,2,100.0
120034,2014,3,0,0,3,100.0
120034,2015,2,0,0,2,100.0
120034,2016,1,0,0,1,100.0
120034,2017,5,0,0,5,100.0
120034,2018,1,0,0,1,100.0
120034,2019,5,0,0,5,100.0
120034,2020,5,0,0,5,100.0
120035,2012,6,0,0,6,100.0
120035,2013,3,0,0,3,100.0
120035,2014,2,0,0,2,100.0
120035,2015,4,0,0,4,100.0
120035,2016,3,0,0,3,100.0
120035,2017,5,0,0,5,100.0
120035,2018,3,0,0,3,100.0
120035,2019,3,0,2,5,60.0
120035,2020,2,0,1,3,66.66666666666666
120038,2012,5,0,1,6,83.33333333333334
120038,2013,8,0,0,8,100.0
120038,2014,6,0,0,6,100.0
120038,2015,5,0,0,5,100.0
120038,2016,8,0,0,8,100.0
120038,2017,1,0,0,1,100.0
120038,2018,5,0,0,5,100.0
120038,2019,2,0,0,2,100.0
120038,2020,5,0,0,5,100.0
120039,2012,1,0,1,2,50.0
120039,2014,1,0,0,1,100.0
120039,2016,3,0,0,3,100.0
120039,2018,4,0,0,4,100.0
120039,2019,2,0,1,3,66.66666666666666
120040,2012,141,0,2,143,98.6013986013986
120040,2013,119,1,4,124,96.7741935483871
120040,2014,126,0,5,131,96.18320610687023
120040,2015,112,1,8,121,93.38842975206612
120040,2016,105,0,2,107,98.13084112149532
120040,2017,145,0,7,152,95.39473684210526
120040,2018,144,0,5,149,96.64429530201343
120040,2019,120,1,10,131,92.36641221374046
120040,2020,120,2,62,184,66.30434782608695
120042,2012,3,0,0,3,100.0
120042,2013,1,0,1,2,50.0
120042,2014,6,0,0,6,100.0
120042,2015,3,0,0,3,100.0
120042,2016,5,0,0,5,100.0
120042,2018,3,0,0,3,100.0
120042,2019,6,0,1,7,85.71428571428571
120042,2020,4,0,0,4,100.0
120043,2012,1,0,1,2,50.0
120043,2013,1,0,0,1,100.0
120043,2014,3,0,0,3,100.0
120043,2015,4,0,0,4,100.0
120043,2016,2,0,0,2,100.0
120043,2017,2,0,0,2,100.0
120043,2018,2,0,0,2,100.0
120043,2019,1,0,0,1,100.0
120043,2020,4,0,0,4,100.0
120045,2012,4,0,0,4,100.0
120045,2013,7,0,0,7,100.0
120045,2014,3,0,0,3,100.0
120045,2015,11,0,0,11,100.0
120045,2016,8,0,0,8,100.0
120045,2017,3,0,0,3,100.0
120045,2018,10,0,0,10,100.0
120045,2019,10,0,0,10,100.0
120045,2020,6,0,0,6,100.0
120050,2012,14,0,0,14,100.0
120050,2013,11,0,0,11,100.0
120050,2014,8,0,1,9,88.88888888888889
120050,2015,9,0,0,9,100.0
120050,2016,12,0,0,12,100.0
120050,2017,10,0,0,10,100.0
120050,2018,15,0,0,15,100.0
120050,2019,15,0,0,15,100.0
120050,2020,8,0,4,12,66.66666666666666
120060,2012,13,0,2,15,86.66666666666667
120060,2013,7,0,5,12,58.333333333333336
120060,2014,14,0,0,14,100.0
120060,2015,14,0,0,14,100.0
120060,2016,15,0,0,15,100.0
120060,2017,13,0,0,13,100.0
120060,2018,18,0,0,18,100.0
120060,2019,17,0,0,17,100.0
120060,2020,5,0,0,5,100.0
120070,2012,4,0,0,4,100.0
120070,2013,4,0,4,8,50.0
120070,2014,2,0,0,2,100.0
120070,2015,4,0,0,4,100.0
120070,2016,7,0,0,7,100.0
120070,2017,5,0,0,5,100.0
120070,2018,5,0,0,5,100.0
120070,2019,4,0,0,4,100.0
120070,2020,4,0,0,4,100.0
120080,2012,4,0,0,4,100.0
120080,2013,2,0,5,7,28.57142857142857
120080,2014,4,0,0,4,100.0
120080,2015,3,0,0,3,100.0
120080,2016,7,0,0,7,100.0
120080,2017,2,0,0,2,100.0
120080,2018,9,0,0,9,100.0
120080,2019,8,0,0,8,100.0
120080,2020,6,0,0,6,100.0
130000,2012,0,1,0,1,100.0
130000,2019,0,0,1,1,0.0
130002,2012,0,2,1,3,66.66666666666666
130002,2013,2,2,2,6,66.66666666666666
130002,2014,3,0,0,3,100.0
130002,2015,4,0,0,4,100.0
130002,2016,4,0,1,5,80.0
130002,2017,5,0,0,5,100.0
130002,2018,2,0,0,2,100.0
130002,2019,3,0,0,3,100.0
130002,2020,7,0,0,7,100.0
130006,2012,4,0,0,4,100.0
130006,2013,2,0,0,2,100.0
130006,2014,2,0,0,2,100.0
130006,2015,1,0,0,1,100.0
130006,2016,1,0,1,2,50.0
130006,2017,1,0,1,2,50.0
130006,2018,1,0,0,1,100.0
130006,2019,1,0,0,1,100.0
130006,2020,2,0,0,2,100.0
130008,2012,0,0,2,2,0.0
130008,2014,2,1,0,3,100.0
130008,2015,0,0,2,2,0.0
130008,2016,4,0,0,4,100.0
130008,2017,4,0,1,5,80.0
130008,2019,1,0,1,2,50.0
130010,2012,2,0,0,2,100.0
130010,2014,2,0,0,2,100.0
130010,2015,3,0,0,3,100.0
130010,2016,1,0,0,1,100.0
130010,2017,4,0,0,4,100.0
130010,2018,3,0,0,3,100.0
130010,2020,3,0,0,3,100.0
130014,2012,2,0,0,2,100.0
130014,2013,4,0,0,4,100.0
130014,2014,6,0,0,6,100.0
130014,2015,7,0,0,7,100.0
130014,2016,1,0,0,1,100.0
130014,2017,3,0,0,3,100.0
130014,2018,6,0,0,6,100.0
130014,2019,3,0,0,3,100.0
130014,2020,3,0,0,3,100.0
130020,2012,1,0,7,8,12.5
130020,2013,1,1,2,4,50.0
130020,2014,5,1,3,9,66.66666666666666
130020,2015,6,0,1,7,85.71428571428571
130020,2016,8,0,0,8,100.0
130020,2017,7,0,0,7,100.0
130020,2018,2,0,3,5,40.0
130020,2019,0,0,4,4,0.0
130020,2020,5,0,1,6,83.33333333333334
130030,2012,3,0,0,3,100.0
130030,2013,2,1,5,8,37.5
130030,2014,10,0,0,10,100.0
130030,2015,10,0,0,10,100.0
130030,2016,9,0,0,9,100.0
130030,2017,4,0,8,12,33.33333333333333
130030,2018,12,0,0,12,100.0
130030,2019,8,0,0,8,100.0
130030,2020,11,0,0,11,100.0
130040,2012,0,0,7,7,0.0
130040,2013,1,0,2,3,33.33333333333333
130040,2014,0,0,2,2,0.0
130040,2015,2,0,1,3,66.66666666666666
130040,2016,10,0,1,11,90.9090909090909
130040,2017,2,0,3,5,40.0
130040,2018,1,0,4,5,20.0
130040,2019,2,0,2,4,50.0
130040,2020,3,0,4,7,42.857142857142854
130050,2012,4,0,1,5,80.0
130050,2013,9,0,0,9,100.0
130050,2014,10,0,0,10,100.0
130050,2015,5,0,0,5,100.0
130050,2016,7,0,0,7,100.0
130050,2017,3,0,2,5,60.0
130050,2018,5,0,0,5,100.0
130050,2019,10,0,0,10,100.0
130050,2020,5,0,0,5,100.0
130060,2012,11,0,0,11,100.0
130060,2013,10,0,0,10,100.0
130060,2014,11,0,0,11,100.0
130060,2015,9,0,0,9,100.0
130060,2016,11,0,0,11,100.0
130060,2017,12,0,1,13,92.3076923076923
130060,2018,15,0,0,15,100.0
130060,2019,12,0,0,12,100.0
130060,2020,13,0,1,14,92.85714285714286
130063,2012,2,0,2,4,50.0
130063,2013,0,2,1,3,66.66666666666666
130063,2014,1,1,3,5,40.0
130063,2015,1,0,1,2,50.0
130063,2016,5,0,0,5,100.0
130063,2017,2,0,1,3,66.66666666666666
130063,2018,2,0,1,3,66.66666666666666
130063,2019,3,0,3,6,50.0
130063,2020,6,0,0,6,100.0
130068,2012,1,0,3,4,25.0
130068,2013,0,0,1,1,0.0
130068,2014,3,0,0,3,100.0
130068,2015,3,0,0,3,100.0
130068,2016,7,0,0,7,100.0
130068,2017,3,0,0,3,100.0
130068,2018,3,0,0,3,100.0
130068,2019,3,0,0,3,100.0
130068,2020,3,0,0,3,100.0
130070,2012,3,0,0,3,100.0
130070,2013,12,0,0,12,100.0
130070,2014,6,0,0,6,100.0
130070,2015,8,0,0,8,100.0
130070,2016,11,0,0,11,100.0
130070,2017,10,0,0,10,100.0
130070,2018,4,0,0,4,100.0
130070,2019,9,0,0,9,100.0
130070,2020,18,0,0,18,100.0
130080,2012,3,0,0,3,100.0
130080,2013,2,0,0,2,100.0
130080,2014,9,0,0,9,100.0
130080,2015,5,0,0,5,100.0
130080,2016,11,0,0,11,100.0
