CODMUNRES,Ano,Qtd_Neonatal_Precoce,Qtd_Total,Ratio
110018,2014,4.0,597,6.700167504187605
110018,2015,4.0,594,6.7340067340067336
110018,2016,0.0,601,0.0
110018,2017,1.0,615,1.6260162601626016
110018,2018,2.0,651,3.0721966205837172
110018,2019,1.0,616,1.6233766233766236
110018,2020,2.0,579,3.454231433506045
110020,2012,43.0,8941,4.80930544681803
110020,2013,33.0,8927,3.6966506105074495
110020,2014,31.0,9130,3.3953997809419496
110020,2015,51.0,9093,5.608709996700759
110020,2016,37.0,8611,4.296829636511438
110020,2017,27.0,8800,3.068181818181818
110020,2018,30.0,8752,3.4277879341864717
110020,2019,36.0,8437,4.26691952115681
110020,2020,44.0,7893,5.574559736475358
110025,2012,0.0,243,0.0
110025,2013,0.0,258,0.0
110025,2014,1.0,289,3.4602076124567476
110025,2015,2.0,262,7.633587786259541
110025,2016,1.0,276,3.6231884057971016
110025,2017,2.0,289,6.920415224913495
110025,2018,0.0,294,0.0
110025,2019,1.0,304,3.289473684210526
110025,2020,1.0,259,3.8610038610038613
110026,2012,0.0,41,0.0
110026,2013,0.0,38,0.0
110026,2014,0.0,36,0.0
110026,2015,0.0,36,0.0
110026,2016,0.0,35,0.0
110026,2017,0.0,49,0.0
110026,2018,0.0,46,0.0
110026,2019,0.0,50,0.0
110026,2020,1.0,48,20.833333333333332
110028,2012,4.0,927,4.314994606256742
110028,2013,1.0,879,1.1376564277588168
110028,2014,2.0,947,2.1119324181626187
110028,2015,7.0,936,7.478632478632479
110028,2016,2.0,855,2.3391812865497075
110028,2017,1.0,963,1.0384215991692627
110028,2018,1.0,900,1.1111111111111112
110028,2019,1.0,927,1.0787486515641855
110028,2020,3.0,877,3.4207525655644244
110029,2012,0.0,118,0.0
110029,2013,1.0,98,10.204081632653061
110029,2014,2.0,103,19.41747572815534
110029,2015,0.0,109,0.0
110029,2016,0.0,114,0.0
110029,2017,0.0,112,0.0
110029,2018,0.0,103,0.0
110029,2019,0.0,99,0.0
110029,2020,1.0,99,10.101010101010102
110030,2012,7.0,1269,5.516154452324665
110030,2013,6.0,1388,4.322766570605188
110030,2014,4.0,1418,2.8208744710860367
110030,2015,3.0,1535,1.9543973941368078
110030,2016,5.0,1427,3.50385423966363
110030,2017,3.0,1465,2.04778156996587
110030,2018,4.0,1557,2.569043031470777
110030,2019,4.0,1590,2.5157232704402515
110030,2020,4.0,1553,2.5756600128783
110032,2012,0.0,313,0.0
110032,2013,1.0,355,2.8169014084507045
110032,2014,2.0,364,5.4945054945054945
110032,2015,0.0,311,0.0
110032,2016,0.0,337,0.0
110032,2017,3.0,372,8.064516129032258
110032,2018,2.0,391,5.115089514066496
110032,2019,1.0,353,2.8328611898017
110032,2020,0.0,363,0.0
110033,2012,0.0,383,0.0
110033,2013,2.0,416,4.807692307692308
110033,2014,0.0,425,0.0
110033,2015,4.0,404,9.900990099009901
110033,2016,1.0,411,2.4330900243309004
110033,2017,2.0,487,4.106776180698152
110033,2018,3.0,482,6.224066390041493
110033,2019,0.0,432,0.0
110033,2020,2.0,423,4.7281323877068555
110034,2012,0.0,189,0.0
110034,2013,0.0,220,0.0
110034,2014,0.0,184,0.0
110034,2015,2.0,200,10.0
110034,2016,0.0,166,0.0
110034,2017,2.0,178,11.235955056179774
110034,2018,0.0,162,0.0
110034,2019,0.0,205,0.0
110034,2020,1.0,210,4.761904761904763
110037,2012,1.0,189,5.291005291005291
110037,2013,1.0,163,6.134969325153374
110037,2014,2.0,172,11.627906976744185
110037,2015,0.0,149,0.0
110037,2016,0.0,168,0.0
110037,2017,0.0,172,0.0
110037,2018,0.0,160,0.0
110037,2019,1.0,154,6.493506493506494
110037,2020,0.0,146,0.0
110040,2012,0.0,194,0.0
110040,2013,0.0,211,0.0
110040,2014,2.0,254,7.874015748031496
110040,2015,1.0,247,4.048582995951417
110040,2016,2.0,220,9.09090909090909
110040,2017,2.0,242,8.264462809917356
110040,2018,1.0,219,4.5662100456621
110040,2019,0.0,226,0.0
110040,2020,1.0,218,4.587155963302752
110045,2012,2.0,555,3.6036036036036037
110045,2013,0.0,598,0.0
110045,2014,4.0,620,6.451612903225806
110045,2015,4.0,608,6.578947368421052
110045,2016,1.0,624,1.6025641025641024
110045,2017,5.0,632,7.9113924050632916
110045,2018,3.0,617,4.862236628849271
110045,2019,1.0,583,1.7152658662092624
110045,2020,1.0,508,1.968503937007874
110050,2012,0.0,125,0.0
110050,2013,0.0,122,0.0
110050,2014,0.0,93,0.0
110050,2015,0.0,109,0.0
110050,2016,0.0,95,0.0
110050,2017,0.0,91,0.0
110050,2018,0.0,111,0.0
110050,2019,0.0,98,0.0
110050,2020,0.0,78,0.0
110060,2012,0.0,61,0.0
110060,2013,0.0,63,0.0
110060,2014,1.0,58,17.241379310344826
110060,2015,0.0,72,0.0
110060,2016,0.0,67,0.0
110060,2017,0.0,71,0.0
110060,2018,0.0,80,0.0
110060,2019,0.0,75,0.0
110060,2020,0.0,70,0.0
110070,2012,1.0,164,6.097560975609756
110070,2013,0.0,183,0.0
110070,2014,0.0,181,0.0
110070,2015,0.0,156,0.0
110070,2016,0.0,162,0.0
110070,2017,0.0,174,0.0
110070,2018,0.0,195,0.0
110070,2019,1.0,166,6.024096385542169
110070,2020,0.0,173,0.0
110080,2012,5.0,430,11.627906976744185
110080,2013,6.0,405,14.814814814814815
110080,2014,3.0,296,10.135135135135135
110080,2015,3.0,323,9.287925696594426
110080,2016,2.0,372,5.376344086021506
110080,2017,1.0,397,2.5188916876574305
110080,2018,1.0,421,2.375296912114014
110080,2019,2.0,337,5.934718100890208
110080,2020,1.0,344,2.9069767441860463
110090,2012,1.0,53,18.867924528301884
110090,2013,0.0,36,0.0
110090,2014,0.0,46,0.0
110090,2015,1.0,52,19.230769230769234
110090,2016,1.0,55,18.18181818181818
110090,2017,0.0,39,0.0
110090,2018,0.0,56,0.0
110090,2019,0.0,32,0.0
110090,2020,1.0,37,27.027027027027028
110092,2012,1.0,118,8.474576271186441
110092,2013,0.0,158,0.0
110092,2014,1.0,158,6.329113924050633
110092,2015,3.0,154,19.48051948051948
110092,2016,1.0,153,6.5359477124183005
110092,2017,0.0,169,0.0
110092,2018,0.0,181,0.0
110092,2019,1.0,162,6.172839506172839
110092,2020,0.0,162,0.0
110094,2012,1.0,161,6.211180124223602
110094,2013,2.0,203,9.852216748768473
110094,2014,1.0,240,4.166666666666667
110094,2015,0.0,274,0.0
110094,2016,0.0,241,0.0
110094,2017,1.0,209,4.784688995215311
110094,2018,2.0,229,8.73362445414847
110094,2019,0.0,205,0.0
110094,2020,1.0,246,4.065040650406504
110100,2012,2.0,133,15.037593984962406
110100,2013,1.0,116,8.620689655172413
110100,2014,0.0,124,0.0
110100,2015,0.0,132,0.0
110100,2016,0.0,112,0.0
110100,2017,1.0,109,9.174311926605505
110100,2018,1.0,133,7.518796992481203
110100,2019,0.0,112,0.0
110100,2020,0.0,86,0.0
110110,2012,0.0,114,0.0
110110,2013,0.0,123,0.0
110110,2014,1.0,97,10.309278350515465
110110,2015,0.0,112,0.0
110110,2016,1.0,129,7.751937984496124
110110,2017,0.0,95,0.0
110110,2018,0.0,92,0.0
110110,2019,0.0,109,0.0
110110,2020,1.0,119,8.403361344537815
110120,2012,0.0,100,0.0
110120,2013,0.0,104,0.0
110120,2014,0.0,107,0.0
110120,2015,0.0,93,0.0
110120,2016,0.0,93,0.0
110120,2017,0.0,100,0.0
110120,2018,0.0,92,0.0
110120,2019,0.0,84,0.0
110120,2020,0.0,74,0.0
110130,2012,1.0,148,6.756756756756757
110130,2013,0.0,122,0.0
110130,2014,0.0,137,0.0
110130,2015,1.0,179,5.58659217877095
110130,2016,1.0,148,6.756756756756757
110130,2017,2.0,156,12.82051282051282
110130,2018,0.0,160,0.0
110130,2019,0.0,164,0.0
110130,2020,0.0,168,0.0
110140,2012,0.0,170,0.0
110140,2013,1.0,223,4.484304932735426
110140,2014,0.0,204,0.0
110140,2015,1.0,240,4.166666666666667
110140,2016,2.0,173,11.560693641618496
110140,2017,0.0,200,0.0
110140,2018,1.0,220,4.545454545454545
110140,2019,0.0,199,0.0
110140,2020,0.0,167,0.0
110143,2012,0.0,99,0.0
110143,2013,0.0,82,0.0
110143,2014,0.0,110,0.0
110143,2015,0.0,73,0.0
110143,2016,0.0,90,0.0
110143,2017,0.0,94,0.0
110143,2018,0.0,87,0.0
110143,2019,0.0,104,0.0
110143,2020,1.0,87,11.494252873563218
110145,2012,0.0,63,0.0
110145,2013,0.0,55,0.0
110145,2014,1.0,49,20.408163265306122
110145,2015,0.0,54,0.0
110145,2016,0.0,50,0.0
110145,2017,0.0,51,0.0
110145,2018,1.0,53,18.867924528301884
110145,2019,0.0,44,0.0
110145,2020,0.0,59,0.0
110146,2012,0.0,51,0.0
110146,2013,0.0,42,0.0
110146,2014,1.0,37,27.027027027027028
110146,2015,0.0,52,0.0
110146,2016,0.0,34,0.0
110146,2017,0.0,52,0.0
110146,2018,1.0,52,19.230769230769234
110146,2019,0.0,40,0.0
110146,2020,0.0,39,0.0
110147,2012,0.0,43,0.0
110147,2013,0.0,39,0.0
110147,2014,0.0,47,0.0
110147,2015,0.0,40,0.0
110147,2016,0.0,56,0.0
110147,2017,0.0,63,0.0
110147,2018,0.0,38,0.0
110147,2019,0.0,43,0.0
110147,2020,0.0,38,0.0
110148,2012,0.0,64,0.0
110148,2013,1.0,61,16.393442622950822
110148,2014,0.0,59,0.0
110148,2015,1.0,73,13.698630136986301
110148,2016,0.0,54,0.0
110148,2017,1.0,75,13.333333333333334
110148,2018,0.0,54,0.0
110148,2019,1.0,54,18.51851851851852
110148,2020,0.0,65,0.0
110149,2012,0.0,246,0.0
110149,2013,1.0,266,3.7593984962406015
110149,2014,4.0,308,12.987012987012989
110149,2015,0.0,319,0.0
110149,2016,1.0,305,3.278688524590164
110149,2017,1.0,333,3.003003003003003
110149,2018,2.0,327,6.116207951070336
110149,2019,1.0,303,3.3003300330033003
110149,2020,1.0,266,3.7593984962406015
110150,2012,0.0,190,0.0
110150,2013,1.0,184,5.434782608695652
110150,2014,2.0,170,11.76470588235294
110150,2015,0.0,188,0.0
110150,2016,0.0,171,0.0
110150,2017,1.0,188,5.319148936170213
110150,2018,0.0,154,0.0
110150,2019,1.0,168,5.952380952380952
110150,2020,1.0,162,6.172839506172839
110155,2012,0.0,57,0.0
110155,2013,0.0,80,0.0
110155,2014,1.0,69,14.492753623188406
110155,2015,0.0,71,0.0
110155,2016,0.0,59,0.0
110155,2017,0.0,58,0.0
110155,2018,1.0,60,16.666666666666668
110155,2019,2.0,64,31.25
110155,2020,0.0,42,0.0
110160,2012,2.0,133,15.037593984962406
110160,2013,0.0,106,0.0
110160,2014,0.0,125,0.0
110160,2015,1.0,107,9.345794392523365
110160,2016,0.0,131,0.0
110160,2017,0.0,146,0.0
110160,2018,0.0,131,0.0
110160,2019,0.0,97,0.0
110160,2020,0.0,115,0.0
110170,2012,2.0,146,13.698630136986301
110170,2013,1.0,150,6.666666666666667
110170,2014,0.0,122,0.0
110170,2015,2.0,138,14.492753623188406
110170,2016,0.0,151,0.0
110170,2017,0.0,150,0.0
110170,2018,0.0,139,0.0
110170,2019,0.0,170,0.0
110170,2020,1.0,143,6.993006993006993
110175,2012,1.0,86,11.627906976744185
110175,2013,0.0,89,0.0
110175,2014,0.0,128,0.0
110175,2015,1.0,106,9.433962264150942
110175,2016,0.0,110,0.0
110175,2017,0.0,86,0.0
110175,2018,0.0,91,0.0
110175,2019,0.0,93,0.0
110175,2020,0.0,72,0.0
110180,2012,0.0,83,0.0
110180,2013,0.0,107,0.0
110180,2014,0.0,90,0.0
110180,2015,0.0,63,0.0
110180,2016,1.0,98,10.204081632653061
110180,2017,0.0,79,0.0
110180,2018,0.0,95,0.0
110180,2019,0.0,81,0.0
110180,2020,1.0,62,16.129032258064516
120000,2012,0.0,1,0.0
120001,2012,1.0,253,3.952569169960474
120001,2013,2.0,258,7.751937984496124
120001,2014,1.0,269,3.717472118959108
120001,2015,0.0,217,0.0
120001,2016,0.0,222,0.0
120001,2017,2.0,256,7.8125
120001,2018,0.0,216,0.0
120001,2019,0.0,257,0.0
120001,2020,1.0,237,4.219409282700422
120005,2012,1.0,219,4.5662100456621
120005,2013,0.0,213,0.0
120005,2014,0.0,196,0.0
120005,2015,2.0,238,8.403361344537815
120005,2016,3.0,190,15.789473684210527
120005,2017,1.0,248,4.032258064516129
120005,2018,2.0,264,7.575757575757576
120005,2019,1.0,266,3.7593984962406015
120005,2020,0.0,215,0.0
120010,2012,4.0,505,7.920792079207921
120010,2013,3.0,530,5.660377358490566
120010,2014,1.0,547,1.8281535648994516
120010,2015,4.0,531,7.532956685499058
120010,2016,3.0,490,6.122448979591836
120010,2017,2.0,570,3.5087719298245617
120010,2018,3.0,540,5.555555555555555
120010,2019,2.0,540,3.7037037037037037
120010,2020,0.0,527,0.0
120013,2012,0.0,198,0.0
120013,2013,0.0,202,0.0
120013,2014,0.0,242,0.0
120013,2015,1.0,248,4.032258064516129
120013,2016,0.0,248,0.0
120013,2017,0.0,307,0.0
120013,2018,1.0,306,3.2679738562091503
120013,2019,0.0,329,0.0
120013,2020,2.0,241,8.298755186721992
120017,2012,0.0,201,0.0
120017,2013,1.0,193,5.181347150259067
120017,2014,1.0,234,4.273504273504274
120017,2015,0.0,219,0.0
120017,2016,2.0,194,10.309278350515465
120017,2017,0.0,243,0.0
120017,2018,3.0,222,13.513513513513514
120017,2019,0.0,217,0.0
120017,2020,0.0,190,0.0
120020,2012,9.0,1741,5.1694428489373925
120020,2013,11.0,1783,6.16937745372967
120020,2014,3.0,1818,1.6501650165016502
120020,2015,4.0,1839,2.175095160413268
120020,2016,4.0,1632,2.450980392156863
120020,2017,7.0,1684,4.156769596199525
120020,2018,11.0,1756,6.264236902050114
