CODMUNRES,ano_nasc,Qtd_mais_de_3parto,Qtd_Total,Ratio
110015,2012,18.0,647,0.027820710973724884
110015,2013,19.0,639,0.0297339593114241
110015,2014,17.0,674,0.025222551928783383
110015,2015,15.0,767,0.01955671447196871
110015,2016,15.0,582,0.02577319587628866
110015,2017,11.0,578,0.01903114186851211
110015,2018,11.0,614,0.017915309446254073
110015,2019,15.0,631,0.02377179080824089
110015,2020,8.0,600,0.013333333333333334
110018,2012,17.0,553,0.03074141048824593
110018,2013,19.0,581,0.03270223752151463
110018,2014,9.0,597,0.01507537688442211
110018,2015,13.0,594,0.021885521885521887
110018,2016,9.0,601,0.014975041597337771
110018,2017,10.0,615,0.016260162601626018
110018,2018,9.0,651,0.013824884792626729
110018,2019,12.0,616,0.01948051948051948
110018,2020,9.0,579,0.015544041450777202
110020,2012,471.0,8941,0.052678671289564924
110020,2013,467.0,8927,0.052313207124453906
110020,2014,464.0,9130,0.05082146768893757
110020,2015,460.0,9093,0.05058836467612449
110020,2016,443.0,8611,0.05144582510742074
110020,2017,409.0,8800,0.04647727272727273
110020,2018,431.0,8752,0.049245886654478974
110020,2019,389.0,8437,0.04610643593694441
110020,2020,364.0,7893,0.046116812365387054
110025,2012,5.0,243,0.0205761316872428
110025,2013,11.0,258,0.04263565891472868
110025,2014,7.0,289,0.02422145328719723
110025,2015,7.0,262,0.026717557251908396
110025,2016,14.0,276,0.050724637681159424
110025,2017,6.0,289,0.020761245674740483
110025,2018,6.0,294,0.02040816326530612
110025,2019,6.0,304,0.019736842105263157
110025,2020,8.0,259,0.03088803088803089
110026,2012,1.0,41,0.024390243902439025
110026,2013,1.0,38,0.02631578947368421
110026,2014,1.0,36,0.027777777777777776
110026,2015,3.0,36,0.08333333333333333
110026,2016,0.0,35,0.0
110026,2017,0.0,49,0.0
110026,2018,3.0,46,0.06521739130434782
110026,2019,2.0,50,0.04
110026,2020,5.0,48,0.10416666666666667
110028,2012,13.0,927,0.014023732470334413
110028,2013,12.0,879,0.013651877133105802
110028,2014,11.0,947,0.011615628299894404
110028,2015,9.0,936,0.009615384615384616
110028,2016,16.0,855,0.01871345029239766
110028,2017,15.0,963,0.01557632398753894
110028,2018,8.0,900,0.008888888888888889
110028,2019,14.0,927,0.015102481121898598
110028,2020,15.0,877,0.01710376282782212
110029,2012,1.0,118,0.00847457627118644
110029,2013,0.0,98,0.0
110029,2014,1.0,103,0.009708737864077669
