CODMUNRES,ano_nasc,Qtd_Nascimentos_Prematuros,Qtd_Total,Ratio
110015,2012,54.0,647,0.08346213292117466
110015,2013,64.0,639,0.10015649452269171
110015,2014,42.0,674,0.06231454005934718
110015,2015,46.0,767,0.05997392438070404
110015,2016,53.0,582,0.09106529209621993
110015,2017,58.0,578,0.10034602076124567
110015,2018,56.0,614,0.09120521172638436
110015,2019,60.0,631,0.09508716323296355
110015,2020,58.0,600,0.09666666666666666
110018,2012,52.0,553,0.09403254972875226
110018,2013,64.0,581,0.11015490533562823
110018,2014,68.0,597,0.11390284757118928
110018,2015,59.0,594,0.09932659932659933
110018,2016,57.0,601,0.09484193011647254
110018,2017,62.0,615,0.1008130081300813
110018,2018,51.0,651,0.07834101382488479
110018,2019,47.0,616,0.0762987012987013
110018,2020,58.0,579,0.1001727115716753
110020,2012,938.0,8941,0.10490996532826306
110020,2013,868.0,8927,0.0972331130278929
110020,2014,795.0,9130,0.08707557502738225
110020,2015,919.0,9093,0.10106675464643132
110020,2016,851.0,8611,0.09882708163976309
110020,2017,794.0,8800,0.09022727272727273
110020,2018,907.0,8752,0.10363345521023766
110020,2019,813.0,8437,0.09636126585279127
110020,2020,783.0,7893,0.09920182440136831
110025,2012,21.0,243,0.08641975308641975
110025,2013,21.0,258,0.08139534883720931
110025,2014,16.0,289,0.05536332179930796
110025,2015,20.0,262,0.07633587786259542
110025,2016,23.0,276,0.08333333333333333
110025,2017,35.0,289,0.12110726643598616
110025,2018,28.0,294,0.09523809523809523
110025,2019,41.0,304,0.13486842105263158
110025,2020,31.0,259,0.11969111969111969
110026,2012,3.0,41,0.07317073170731707
110026,2013,0.0,38,0.0
110026,2014,3.0,36,0.08333333333333333
110026,2015,1.0,36,0.027777777777777776
110026,2016,1.0,35,0.02857142857142857
110026,2017,1.0,49,0.02040816326530612
110026,2018,5.0,46,0.10869565217391304
110026,2019,7.0,50,0.14
110026,2020,7.0,48,0.14583333333333334
110028,2012,106.0,927,0.11434735706580366
110028,2013,84.0,879,0.09556313993174062
110028,2014,74.0,947,0.0781414994720169
110028,2015,73.0,936,0.07799145299145299
110028,2016,89.0,855,0.10409356725146199
110028,2017,81.0,963,0.08411214953271028
110028,2018,76.0,900,0.08444444444444445
110028,2019,94.0,927,0.10140237324703344
110028,2020,89.0,877,0.10148232611174458
110029,2012,10.0,118,0.0847457627118644
110029,2013,9.0,98,0.09183673469387756
110029,2014,9.0,103,0.08737864077669903
110029,2015,13.0,109,0.11926605504587157
110029,2016,14.0,114,0.12280701754385964
110029,2017,7.0,112,0.0625
110029,2018,12.0,103,0.11650485436893204
110029,2019,7.0,99,0.0707070707070707
110029,2020,6.0,99,0.06060606060606061
110030,2012,133.0,1269,0.10480693459416864
110030,2013,140.0,1388,0.10086455331412104
110030,2014,103.0,1418,0.07263751763046544
110030,2015,76.0,1535,0.049511400651465795
110030,2016,83.0,1427,0.05816398037841626
110030,2017,94.0,1465,0.06416382252559727
110030,2018,113.0,1557,0.07257546563904946
110030,2019,126.0,1590,0.07924528301886792
110030,2020,145.0,1553,0.09336767546683837
110032,2012,27.0,313,0.08626198083067092
110032,2013,28.0,355,0.07887323943661972
110032,2014,34.0,364,0.09340659340659341
110032,2015,27.0,311,0.08681672025723473
110032,2016,18.0,337,0.05341246290801187
110032,2017,29.0,372,0.07795698924731183
110032,2018,33.0,391,0.08439897698209718
110032,2019,26.0,353,0.07365439093484419
110032,2020,24.0,363,0.06611570247933884
110033,2012,61.0,383,0.15926892950391644
110033,2013,36.0,416,0.08653846153846154
110033,2014,40.0,425,0.09411764705882353
110033,2015,49.0,404,0.12128712871287128
110033,2016,34.0,411,0.0827250608272506
110033,2017,45.0,487,0.09240246406570841
110033,2018,35.0,482,0.07261410788381743
110033,2019,39.0,432,0.09027777777777778
110033,2020,43.0,423,0.1016548463356974
110034,2012,15.0,189,0.07936507936507936
110034,2013,18.0,220,0.08181818181818182
110034,2014,19.0,184,0.10326086956521739
110034,2015,22.0,200,0.11
110034,2016,11.0,166,0.06626506024096386
110034,2017,13.0,178,0.07303370786516854
110034,2018,14.0,162,0.08641975308641975
110034,2019,12.0,205,0.05853658536585366
110034,2020,33.0,210,0.15714285714285714
110037,2012,14.0,189,0.07407407407407407
110037,2013,15.0,163,0.09202453987730061
110037,2014,10.0,172,0.05813953488372093
110037,2015,9.0,149,0.06040268456375839
110037,2016,9.0,168,0.05357142857142857
110037,2017,17.0,172,0.09883720930232558
110037,2018,14.0,160,0.0875
110037,2019,10.0,154,0.06493506493506493
110037,2020,11.0,146,0.07534246575342465
110040,2012,22.0,194,0.1134020618556701
110040,2013,23.0,211,0.10900473933649289
110040,2014,20.0,254,0.07874015748031496
110040,2015,14.0,247,0.05668016194331984
110040,2016,8.0,220,0.03636363636363636
110040,2017,16.0,242,0.06611570247933884
110040,2018,16.0,219,0.0730593607305936
110040,2019,19.0,226,0.084070796460177
110040,2020,18.0,218,0.08256880733944955
110045,2012,58.0,555,0.1045045045045045
110045,2013,56.0,598,0.09364548494983277
110045,2014,58.0,620,0.0935483870967742
110045,2015,49.0,608,0.0805921052631579
