CODMUNRES,Ano,Qtd_Morte_Materna_Direta,Qtd_Total,Ratio
110032,2014,0.0,364,0.0
110032,2015,0.0,311,0.0
110032,2016,1.0,337,296.7359050445104
110032,2017,0.0,372,0.0
110032,2018,0.0,391,0.0
110032,2019,0.0,353,0.0
110033,2012,1.0,383,261.0966057441253
110033,2013,0.0,416,0.0
110033,2014,0.0,425,0.0
110033,2015,0.0,404,0.0
110033,2016,0.0,411,0.0
110033,2017,0.0,487,0.0
110033,2018,0.0,482,0.0
110033,2019,0.0,432,0.0
110034,2012,0.0,189,0.0
110034,2013,0.0,220,0.0
110034,2014,0.0,184,0.0
110034,2015,1.0,200,500.0
110034,2016,0.0,166,0.0
110034,2017,0.0,178,0.0
110034,2018,1.0,162,617.283950617284
110034,2019,0.0,205,0.0
110037,2012,0.0,189,0.0
110037,2013,0.0,163,0.0
110037,2014,0.0,172,0.0
110037,2015,0.0,149,0.0
110037,2016,0.0,168,0.0
110037,2017,1.0,172,581.3953488372093
110037,2018,0.0,160,0.0
110037,2019,0.0,154,0.0
110040,2012,0.0,194,0.0
110040,2013,1.0,211,473.93364928909955
110040,2014,0.0,254,0.0
110040,2015,0.0,247,0.0
110040,2016,0.0,220,0.0
110040,2017,0.0,242,0.0
110040,2018,0.0,219,0.0
110040,2019,0.0,226,0.0
110045,2012,0.0,555,0.0
110045,2013,0.0,598,0.0
110045,2014,1.0,620,161.29032258064515
110045,2015,0.0,608,0.0
110045,2016,0.0,624,0.0
110045,2017,0.0,632,0.0
110045,2018,1.0,617,162.07455429497568
110045,2019,0.0,583,0.0
110050,2012,0.0,125,0.0
110050,2013,0.0,122,0.0
110050,2014,0.0,93,0.0
110050,2015,0.0,109,0.0
110050,2016,0.0,95,0.0
110050,2017,0.0,91,0.0
110050,2018,0.0,111,0.0
110050,2019,0.0,98,0.0
110060,2012,0.0,61,0.0
110060,2013,0.0,63,0.0
110060,2014,0.0,58,0.0
110060,2015,0.0,72,0.0
110060,2016,0.0,67,0.0
110060,2017,0.0,71,0.0
110060,2018,0.0,80,0.0
110060,2019,0.0,75,0.0
110070,2012,0.0,164,0.0
110070,2013,0.0,183,0.0
110070,2014,0.0,181,0.0
110070,2015,0.0,156,0.0
110070,2016,0.0,162,0.0
110070,2017,1.0,174,574.7126436781609
110070,2018,0.0,195,0.0
110070,2019,0.0,166,0.0
110080,2012,1.0,430,232.5581395348837
110080,2013,0.0,405,0.0
110080,2014,0.0,296,0.0
110080,2015,0.0,323,0.0
110080,2016,0.0,372,0.0
110080,2017,0.0,397,0.0
110080,2018,0.0,421,0.0
110080,2019,0.0,337,0.0
110090,2012,0.0,53,0.0
110090,2013,0.0,36,0.0
110090,2014,0.0,46,0.0
110090,2015,0.0,52,0.0
110090,2016,0.0,55,0.0
110090,2017,0.0,39,0.0
110090,2018,0.0,56,0.0
110090,2019,0.0,32,0.0
110092,2012,0.0,118,0.0
110092,2013,1.0,158,632.9113924050632
110092,2014,0.0,158,0.0
110092,2015,0.0,154,0.0
110092,2016,0.0,153,0.0
110092,2017,1.0,169,591.7159763313609
110092,2018,0.0,181,0.0
110092,2019,0.0,162,0.0
110094,2012,0.0,161,0.0
110094,2013,0.0,203,0.0
110094,2014,1.0,240,416.6666666666667
110094,2015,0.0,274,0.0
110094,2016,0.0,241,0.0
110094,2017,1.0,209,478.46889952153106
110094,2018,0.0,229,0.0
110094,2019,0.0,205,0.0
110100,2012,0.0,133,0.0
110100,2013,0.0,116,0.0
110100,2014,0.0,124,0.0
110100,2015,0.0,132,0.0
110100,2016,0.0,112,0.0
110100,2017,0.0,109,0.0
110100,2018,0.0,133,0.0
110100,2019,0.0,112,0.0
110110,2012,0.0,114,0.0
110110,2013,1.0,123,813.0081300813009
110110,2014,0.0,97,0.0
110110,2015,0.0,112,0.0
110110,2016,0.0,129,0.0
110110,2017,0.0,95,0.0
110110,2018,0.0,92,0.0
110110,2019,0.0,109,0.0
110120,2012,0.0,100,0.0
110120,2013,0.0,104,0.0
110120,2014,0.0,107,0.0
110120,2015,0.0,93,0.0
110120,2016,0.0,93,0.0
110120,2017,0.0,100,0.0
110120,2018,0.0,92,0.0
110120,2019,0.0,84,0.0
110130,2012,0.0,148,0.0
110130,2013,0.0,122,0.0
110130,2014,0.0,137,0.0
110130,2015,0.0,179,0.0
110130,2016,0.0,148,0.0
110130,2017,0.0,156,0.0
110130,2018,0.0,160,0.0
110130,2019,0.0,164,0.0
110140,2012,0.0,170,0.0
110140,2013,0.0,223,0.0
110140,2014,0.0,204,0.0
110140,2015,0.0,240,0.0
110140,2016,0.0,173,0.0
110140,2017,0.0,200,0.0
110140,2018,0.0,220,0.0
110140,2019,0.0,199,0.0
110143,2012,0.0,99,0.0
110143,2013,0.0,82,0.0
110143,2014,0.0,110,0.0
110143,2015,0.0,73,0.0
110143,2016,0.0,90,0.0
110143,2017,0.0,94,0.0
110143,2018,0.0,87,0.0
110143,2019,0.0,104,0.0
110145,2012,0.0,63,0.0
110145,2013,0.0,55,0.0
110145,2014,0.0,49,0.0
110145,2015,0.0,54,0.0
110145,2016,0.0,50,0.0
110145,2017,0.0,51,0.0
110145,2018,0.0,53,0.0
110145,2019,0.0,44,0.0
110146,2012,0.0,51,0.0
110146,2013,0.0,42,0.0
110146,2014,0.0,37,0.0
110146,2015,0.0,52,0.0
110146,2016,0.0,34,0.0
110146,2017,0.0,52,0.0
110146,2018,0.0,52,0.0
110146,2019,0.0,40,0.0
110147,2012,0.0,43,0.0
110147,2013,0.0,39,0.0
110147,2014,0.0,47,0.0
110147,2015,0.0,40,0.0
110147,2016,0.0,56,0.0
110147,2017,0.0,63,0.0
110147,2018,0.0,38,0.0
110147,2019,0.0,43,0.0
110148,2012,0.0,64,0.0
110148,2013,0.0,61,0.0
110148,2014,0.0,59,0.0
110148,2015,0.0,73,0.0
110148,2016,0.0,54,0.0
110148,2017,0.0,75,0.0
110148,2018,0.0,54,0.0
110148,2019,0.0,54,0.0
110149,2012,1.0,246,406.50406504065046
110149,2013,0.0,266,0.0
110149,2014,1.0,308,324.6753246753247
110149,2015,0.0,319,0.0
110149,2016,0.0,305,0.0
110149,2017,0.0,333,0.0
110149,2018,0.0,327,0.0
110149,2019,0.0,303,0.0
110150,2012,0.0,190,0.0
110150,2013,0.0,184,0.0
110150,2014,0.0,170,0.0
110150,2015,1.0,188,531.9148936170212
110150,2016,0.0,171,0.0
110150,2017,0.0,188,0.0
110150,2018,0.0,154,0.0
110150,2019,1.0,168,595.2380952380952
110155,2012,0.0,57,0.0
110155,2013,0.0,80,0.0
110155,2014,0.0,69,0.0
110155,2015,0.0,71,0.0
110155,2016,0.0,59,0.0
110155,2017,0.0,58,0.0
110155,2018,0.0,60,0.0
110155,2019,0.0,64,0.0
110160,2012,0.0,133,0.0
110160,2013,0.0,106,0.0
110160,2014,0.0,125,0.0
110160,2015,0.0,107,0.0
110160,2016,0.0,131,0.0
