CODMUNRES,ano_nasc,Qtd_1parto,Qtd_Total,Ratio
110015,2012,219.0,647,0.3384853168469861
110015,2013,262.0,639,0.41001564945226915
110015,2014,306.0,674,0.4540059347181009
110015,2015,339.0,767,0.44198174706649285
110015,2016,262.0,582,0.45017182130584193
110015,2017,246.0,578,0.42560553633217996
110015,2018,242.0,614,0.3941368078175896
110015,2019,245.0,631,0.38827258320126784
110015,2020,242.0,600,0.4033333333333333
110018,2012,253.0,553,0.45750452079566006
110018,2013,103.0,581,0.17728055077452667
110018,2014,171.0,597,0.2864321608040201
110018,2015,69.0,594,0.11616161616161616
110018,2016,269.0,601,0.4475873544093178
110018,2017,240.0,615,0.3902439024390244
110018,2018,234.0,651,0.35944700460829493
110018,2019,257.0,616,0.4172077922077922
110018,2020,210.0,579,0.3626943005181347
110020,2012,3920.0,8941,0.43842970584945756
110020,2013,4102.0,8927,0.4595048728576229
110020,2014,2959.0,9130,0.3240963855421687
110020,2015,2115.0,9093,0.232596502804355
110020,2016,2304.0,8611,0.26756474277087444
110020,2017,3564.0,8800,0.405
110020,2018,3221.0,8752,0.3680301645338208
110020,2019,2398.0,8437,0.2842242503259452
110020,2020,1628.0,7893,0.20625871024958825
110025,2012,60.0,243,0.24691358024691357
110025,2013,98.0,258,0.3798449612403101
110025,2014,112.0,289,0.3875432525951557
110025,2015,97.0,262,0.3702290076335878
110025,2016,112.0,276,0.4057971014492754
110025,2017,122.0,289,0.42214532871972316
110025,2018,117.0,294,0.3979591836734694
110025,2019,122.0,304,0.40131578947368424
110025,2020,98.0,259,0.3783783783783784
110026,2012,5.0,41,0.12195121951219512
110026,2013,5.0,38,0.13157894736842105
110026,2014,14.0,36,0.3888888888888889
110026,2015,8.0,36,0.2222222222222222
110026,2016,4.0,35,0.11428571428571428
110026,2017,3.0,49,0.061224489795918366
110026,2018,16.0,46,0.34782608695652173
110026,2019,13.0,50,0.26
110026,2020,16.0,48,0.3333333333333333
110028,2012,454.0,927,0.48975188781014023
110028,2013,399.0,879,0.4539249146757679
110028,2014,420.0,947,0.44350580781414994
110028,2015,438.0,936,0.46794871794871795
110028,2016,408.0,855,0.47719298245614034
110028,2017,425.0,963,0.44132917964693663
110028,2018,394.0,900,0.43777777777777777
110028,2019,385.0,927,0.4153182308522114
110028,2020,361.0,877,0.41163055872291904
110029,2012,55.0,118,0.4661016949152542
110029,2013,45.0,98,0.45918367346938777
110029,2014,45.0,103,0.4368932038834951
110029,2015,49.0,109,0.44954128440366975
110029,2016,50.0,114,0.43859649122807015
110029,2017,49.0,112,0.4375
110029,2018,36.0,103,0.34951456310679613
110029,2019,37.0,99,0.37373737373737376
110029,2020,37.0,99,0.37373737373737376
110030,2012,375.0,1269,0.29550827423167847
110030,2013,597.0,1388,0.43011527377521613
110030,2014,612.0,1418,0.4315937940761636
110030,2015,654.0,1535,0.4260586319218241
110030,2016,606.0,1427,0.424667133847232
110030,2017,692.0,1465,0.47235494880546075
110030,2018,663.0,1557,0.4258188824662813
110030,2019,643.0,1590,0.40440251572327046
110030,2020,614.0,1553,0.3953638119768191
110032,2012,121.0,313,0.3865814696485623
110032,2013,148.0,355,0.4169014084507042
110032,2014,163.0,364,0.4478021978021978
110032,2015,142.0,311,0.4565916398713826
110032,2016,159.0,337,0.47181008902077154
110032,2017,167.0,372,0.4489247311827957
110032,2018,165.0,391,0.4219948849104859
110032,2019,139.0,353,0.3937677053824363
110032,2020,154.0,363,0.42424242424242425
110033,2012,140.0,383,0.36553524804177545
110033,2013,150.0,416,0.3605769230769231
110033,2014,147.0,425,0.3458823529411765
110033,2015,138.0,404,0.3415841584158416
110033,2016,144.0,411,0.35036496350364965
110033,2017,169.0,487,0.3470225872689938
110033,2018,188.0,482,0.3900414937759336
110033,2019,115.0,432,0.2662037037037037
110033,2020,149.0,423,0.35224586288416077
110034,2012,40.0,189,0.21164021164021163
110034,2013,85.0,220,0.38636363636363635
110034,2014,86.0,184,0.4673913043478261
110034,2015,83.0,200,0.415
110034,2016,66.0,166,0.39759036144578314
110034,2017,67.0,178,0.37640449438202245
110034,2018,67.0,162,0.41358024691358025
110034,2019,83.0,205,0.40487804878048783
110034,2020,86.0,210,0.4095238095238095
110037,2012,69.0,189,0.36507936507936506
110037,2013,70.0,163,0.4294478527607362
110037,2014,59.0,172,0.3430232558139535
110037,2015,55.0,149,0.3691275167785235
