CODMUNRES,ano_nasc,Qtd_Baixo_Peso,Qtd_Total,Ratio
110015,2012,35.0,647,0.05409582689335394
110015,2013,39.0,639,0.06103286384976526
110015,2014,50.0,674,0.07418397626112759
110015,2015,38.0,767,0.04954367666232073
110015,2016,33.0,582,0.05670103092783505
110015,2017,35.0,578,0.06055363321799308
110015,2018,45.0,614,0.0732899022801303
110015,2019,41.0,631,0.06497622820919176
110015,2020,50.0,600,0.08333333333333333
110018,2012,29.0,553,0.05244122965641953
110018,2013,33.0,581,0.05679862306368331
110018,2014,38.0,597,0.06365159128978225
110018,2015,37.0,594,0.06228956228956229
110018,2016,39.0,601,0.064891846921797
110018,2017,43.0,615,0.06991869918699187
110018,2018,39.0,651,0.059907834101382486
110018,2019,30.0,616,0.048701298701298704
110018,2020,40.0,579,0.0690846286701209
110020,2012,637.0,8941,0.07124482720053685
110020,2013,611.0,8927,0.06844404615212277
110020,2014,645.0,9130,0.07064622124863089
110020,2015,687.0,9093,0.07555262289673376
110020,2016,663.0,8611,0.07699454186505632
110020,2017,614.0,8800,0.06977272727272728
110020,2018,657.0,8752,0.07506855575868374
110020,2019,687.0,8437,0.08142704752874244
110020,2020,611.0,7893,0.07741036361332826
110025,2012,15.0,243,0.06172839506172839
110025,2013,18.0,258,0.06976744186046512
110025,2014,10.0,289,0.03460207612456748
110025,2015,19.0,262,0.07251908396946564
110025,2016,18.0,276,0.06521739130434782
110025,2017,31.0,289,0.10726643598615918
110025,2018,22.0,294,0.07482993197278912
110025,2019,29.0,304,0.09539473684210527
110025,2020,18.0,259,0.0694980694980695
110026,2012,3.0,41,0.07317073170731707
110026,2013,1.0,38,0.02631578947368421
110026,2014,2.0,36,0.05555555555555555
110026,2015,4.0,36,0.1111111111111111
110026,2016,1.0,35,0.02857142857142857
110026,2017,1.0,49,0.02040816326530612
110026,2018,3.0,46,0.06521739130434782
110026,2019,7.0,50,0.14
110026,2020,3.0,48,0.0625
110028,2012,81.0,927,0.08737864077669903
110028,2013,52.0,879,0.05915813424345848
110028,2014,46.0,947,0.048574445617740235
110028,2015,53.0,936,0.056623931623931624
110028,2016,61.0,855,0.07134502923976609
110028,2017,54.0,963,0.056074766355140186
110028,2018,62.0,900,0.06888888888888889
110028,2019,59.0,927,0.06364617044228695
110028,2020,57.0,877,0.06499429874572406
110029,2012,3.0,118,0.025423728813559324
110029,2013,6.0,98,0.061224489795918366
110029,2014,1.0,103,0.009708737864077669
110029,2015,10.0,109,0.09174311926605505
110029,2016,9.0,114,0.07894736842105263
110029,2017,8.0,112,0.07142857142857142
110029,2018,5.0,103,0.04854368932038835
110029,2019,7.0,99,0.0707070707070707
110029,2020,6.0,99,0.06060606060606061
110030,2012,108.0,1269,0.0851063829787234
110030,2013,93.0,1388,0.0670028818443804
110030,2014,95.0,1418,0.06699576868829338
110030,2015,118.0,1535,0.07687296416938111
110030,2016,117.0,1427,0.08199018920812894
110030,2017,110.0,1465,0.07508532423208192
110030,2018,100.0,1557,0.06422607578676943
110030,2019,131.0,1590,0.08238993710691823
110030,2020,123.0,1553,0.07920154539600772
110032,2012,16.0,313,0.051118210862619806
110032,2013,20.0,355,0.056338028169014086
110032,2014,19.0,364,0.0521978021978022
110032,2015,18.0,311,0.05787781350482315
110032,2016,20.0,337,0.05934718100890208
110032,2017,23.0,372,0.06182795698924731
110032,2018,30.0,391,0.07672634271099744
110032,2019,17.0,353,0.04815864022662889
110032,2020,33.0,363,0.09090909090909091
110033,2012,26.0,383,0.06788511749347259
110033,2013,20.0,416,0.04807692307692308
110033,2014,27.0,425,0.06352941176470588
110033,2015,24.0,404,0.0594059405940594
110033,2016,22.0,411,0.0535279805352798
110033,2017,33.0,487,0.06776180698151951
110033,2018,32.0,482,0.06639004149377593
110033,2019,32.0,432,0.07407407407407407
110033,2020,21.0,423,0.04964539007092199
110034,2012,11.0,189,0.0582010582010582
110034,2013,19.0,220,0.08636363636363636
110034,2014,13.0,184,0.07065217391304347
110034,2015,12.0,200,0.06
110034,2016,8.0,166,0.04819277108433735
110034,2017,17.0,178,0.09550561797752809
110034,2018,9.0,162,0.05555555555555555
110034,2019,14.0,205,0.06829268292682927
110034,2020,27.0,210,0.12857142857142856
110037,2012,8.0,189,0.042328042328042326
110037,2013,10.0,163,0.06134969325153374
110037,2014,7.0,172,0.040697674418604654
110037,2015,6.0,149,0.040268456375838924
110037,2016,11.0,168,0.06547619047619048
110037,2017,13.0,172,0.0755813953488372
110037,2018,7.0,160,0.04375
110037,2019,11.0,154,0.07142857142857142
110037,2020,8.0,146,0.0547945205479452
110040,2012,15.0,194,0.07731958762886598
110040,2013,15.0,211,0.07109004739336493
110040,2014,17.0,254,0.06692913385826772
110040,2015,10.0,247,0.04048582995951417
110040,2016,8.0,220,0.03636363636363636
110040,2017,14.0,242,0.05785123966942149
110040,2018,15.0,219,0.0684931506849315
110040,2019,12.0,226,0.05309734513274336
110040,2020,9.0,218,0.04128440366972477
110045,2012,36.0,555,0.06486486486486487
110045,2013,35.0,598,0.05852842809364549
110045,2014,45.0,620,0.07258064516129033
110045,2015,34.0,608,0.05592105263157895
110045,2016,32.0,624,0.05128205128205128
110045,2017,53.0,632,0.08386075949367089
110045,2018,48.0,617,0.07779578606158834
110045,2019,41.0,583,0.07032590051457976
110045,2020,29.0,508,0.05708661417322835
110050,2012,8.0,125,0.064
110050,2013,8.0,122,0.06557377049180328
110050,2014,7.0,93,0.07526881720430108
110050,2015,5.0,109,0.045871559633027525
110050,2016,6.0,95,0.06315789473684211
110050,2017,6.0,91,0.06593406593406594
110050,2018,6.0,111,0.05405405405405406
110050,2019,6.0,98,0.061224489795918366
110050,2020,9.0,78,0.11538461538461539
110060,2012,5.0,61,0.08196721311475409
110060,2013,2.0,63,0.031746031746031744
110060,2014,7.0,58,0.1206896551724138
110060,2015,5.0,72,0.06944444444444445
110060,2016,3.0,67,0.04477611940298507
110060,2017,4.0,71,0.056338028169014086
110060,2018,7.0,80,0.0875
110060,2019,5.0,75,0.06666666666666667
110060,2020,5.0,70,0.07142857142857142
110070,2012,7.0,164,0.042682926829268296
110070,2013,10.0,183,0.0546448087431694
110070,2014,12.0,181,0.06629834254143646
110070,2015,6.0,156,0.038461538461538464
110070,2016,12.0,162,0.07407407407407407
110070,2017,16.0,174,0.09195402298850575
110070,2018,15.0,195,0.07692307692307693
110070,2019,10.0,166,0.060240963855421686
110070,2020,10.0,173,0.057803468208092484
110080,2012,38.0,430,0.08837209302325581
110080,2013,35.0,405,0.08641975308641975
110080,2014,16.0,296,0.05405405405405406
110080,2015,31.0,323,0.09597523219814241
110080,2016,21.0,372,0.056451612903225805
110080,2017,26.0,397,0.0654911838790932
110080,2018,29.0,421,0.0688836104513064
110080,2019,17.0,337,0.050445103857566766
110080,2020,29.0,344,0.08430232558139535
110090,2012,4.0,53,0.07547169811320754
110090,2013,3.0,36,0.08333333333333333
110090,2014,3.0,46,0.06521739130434782
110090,2015,2.0,52,0.038461538461538464
110090,2016,5.0,55,0.09090909090909091
110090,2017,3.0,39,0.07692307692307693
110090,2018,3.0,56,0.05357142857142857
110090,2019,2.0,32,0.0625
110090,2020,0.0,37,0.0
110092,2012,15.0,118,0.1271186440677966
110092,2013,11.0,158,0.06962025316455696
110092,2014,7.0,158,0.04430379746835443
110092,2015,10.0,154,0.06493506493506493
110092,2016,10.0,153,0.06535947712418301
110092,2017,11.0,169,0.0650887573964497
110092,2018,7.0,181,0.03867403314917127
110092,2019,6.0,162,0.037037037037037035
110092,2020,10.0,162,0.06172839506172839
110094,2012,14.0,161,0.08695652173913043
110094,2013,16.0,203,0.07881773399014778
110094,2014,25.0,240,0.10416666666666667
110094,2015,17.0,274,0.06204379562043796
110094,2016,23.0,241,0.0954356846473029
110094,2017,13.0,209,0.06220095693779904
110094,2018,13.0,229,0.056768558951965066
110094,2019,6.0,205,0.02926829268292683
110094,2020,18.0,246,0.07317073170731707
110100,2012,5.0,133,0.03759398496240601
110100,2013,12.0,116,0.10344827586206896
110100,2014,12.0,124,0.0967741935483871
110100,2015,4.0,132,0.030303030303030304
110100,2016,7.0,112,0.0625
110100,2017,6.0,109,0.05504587155963303
110100,2018,7.0,133,0.05263157894736842
110100,2019,5.0,112,0.044642857142857144
110100,2020,3.0,86,0.03488372093023256
110110,2012,2.0,114,0.017543859649122806
110110,2013,12.0,123,0.0975609756097561
110110,2014,8.0,97,0.08247422680412371
110110,2015,4.0,112,0.03571428571428571
110110,2016,9.0,129,0.06976744186046512
110110,2017,9.0,95,0.09473684210526316
110110,2018,9.0,92,0.09782608695652174
110110,2019,3.0,109,0.027522935779816515
110110,2020,9.0,119,0.07563025210084033
110120,2012,6.0,100,0.06
110120,2013,7.0,104,0.0673076923076923
110120,2014,3.0,107,0.028037383177570093
110120,2015,6.0,93,0.06451612903225806
110120,2016,10.0,93,0.10752688172043011
110120,2017,11.0,100,0.11
110120,2018,4.0,92,0.043478260869565216
110120,2019,7.0,84,0.08333333333333333
110120,2020,4.0,74,0.05405405405405406
110130,2012,11.0,148,0.07432432432432433
110130,2013,6.0,122,0.04918032786885246
110130,2014,9.0,137,0.06569343065693431
110130,2015,17.0,179,0.09497206703910614
110130,2016,15.0,148,0.10135135135135136
110130,2017,6.0,156,0.038461538461538464
110130,2018,16.0,160,0.1
110130,2019,13.0,164,0.07926829268292683
110130,2020,11.0,168,0.06547619047619048
110140,2012,8.0,170,0.047058823529411764
110140,2013,10.0,223,0.04484304932735426
110140,2014,9.0,204,0.04411764705882353
110140,2015,16.0,240,0.06666666666666667
110140,2016,8.0,173,0.046242774566473986
110140,2017,12.0,200,0.06
110140,2018,17.0,220,0.07727272727272727
110140,2019,16.0,199,0.08040201005025126
110140,2020,7.0,167,0.041916167664670656
110143,2012,13.0,99,0.13131313131313133
110143,2013,1.0,82,0.012195121951219513
110143,2014,1.0,110,0.00909090909090909
110143,2015,6.0,73,0.0821917808219178
110143,2016,5.0,90,0.05555555555555555
110143,2017,6.0,94,0.06382978723404255
110143,2018,2.0,87,0.022988505747126436
110143,2019,10.0,104,0.09615384615384616
110143,2020,10.0,87,0.11494252873563218
110145,2012,6.0,63,0.09523809523809523
110145,2013,4.0,55,0.07272727272727272
110145,2014,0.0,49,0.0
110145,2015,2.0,54,0.037037037037037035
110145,2016,1.0,50,0.02
110145,2017,2.0,51,0.0392156862745098
110145,2018,3.0,53,0.05660377358490566
110145,2019,6.0,44,0.13636363636363635
110145,2020,5.0,59,0.0847457627118644
110146,2012,3.0,51,0.058823529411764705
110146,2013,3.0,42,0.07142857142857142
110146,2014,3.0,37,0.08108108108108109
110146,2015,1.0,52,0.019230769230769232
110146,2016,3.0,34,0.08823529411764706
110146,2017,3.0,52,0.057692307692307696
110146,2018,2.0,52,0.038461538461538464
110146,2019,0.0,40,0.0
110146,2020,2.0,39,0.05128205128205128
110147,2012,4.0,43,0.09302325581395349
110147,2013,1.0,39,0.02564102564102564
110147,2014,2.0,47,0.0425531914893617
110147,2015,4.0,40,0.1
110147,2016,4.0,56,0.07142857142857142
110147,2017,7.0,63,0.1111111111111111
110147,2018,2.0,38,0.05263157894736842
110147,2019,5.0,43,0.11627906976744186
110147,2020,2.0,38,0.05263157894736842
110148,2012,3.0,64,0.046875
110148,2013,5.0,61,0.08196721311475409
110148,2014,3.0,59,0.05084745762711865
110148,2015,11.0,73,0.1506849315068493
110148,2016,3.0,54,0.05555555555555555
110148,2017,3.0,75,0.04
110148,2018,0.0,54,0.0
110148,2019,4.0,54,0.07407407407407407
110148,2020,2.0,65,0.03076923076923077
110149,2012,10.0,246,0.04065040650406504
110149,2013,12.0,266,0.045112781954887216
110149,2014,10.0,308,0.032467532467532464
110149,2015,18.0,319,0.05642633228840126
110149,2016,17.0,305,0.05573770491803279
110149,2017,20.0,333,0.06006006006006006
110149,2018,39.0,327,0.11926605504587157
110149,2019,16.0,303,0.052805280528052806
110149,2020,11.0,266,0.041353383458646614
110150,2012,5.0,190,0.02631578947368421
110150,2013,12.0,184,0.06521739130434782
110150,2014,10.0,170,0.058823529411764705
110150,2015,9.0,188,0.047872340425531915
110150,2016,8.0,171,0.04678362573099415
110150,2017,8.0,188,0.0425531914893617
110150,2018,7.0,154,0.045454545454545456
110150,2019,10.0,168,0.05952380952380952
110150,2020,12.0,162,0.07407407407407407
110155,2012,6.0,57,0.10526315789473684
110155,2013,3.0,80,0.0375
110155,2014,1.0,69,0.014492753623188406
110155,2015,9.0,71,0.1267605633802817
110155,2016,1.0,59,0.01694915254237288
110155,2017,3.0,58,0.05172413793103448
110155,2018,2.0,60,0.03333333333333333
110155,2019,4.0,64,0.0625
110155,2020,2.0,42,0.047619047619047616
110160,2012,9.0,133,0.06766917293233082
110160,2013,3.0,106,0.02830188679245283
110160,2014,7.0,125,0.056
110160,2015,4.0,107,0.037383177570093455
110160,2016,8.0,131,0.061068702290076333
110160,2017,10.0,146,0.0684931506849315
110160,2018,10.0,131,0.07633587786259542
110160,2019,4.0,97,0.041237113402061855
110160,2020,9.0,115,0.0782608695652174
110170,2012,13.0,146,0.08904109589041095
110170,2013,9.0,150,0.06
110170,2014,9.0,122,0.07377049180327869
110170,2015,7.0,138,0.050724637681159424
110170,2016,9.0,151,0.059602649006622516
110170,2017,11.0,150,0.07333333333333333
110170,2018,6.0,139,0.04316546762589928
110170,2019,13.0,170,0.07647058823529412
110170,2020,5.0,143,0.03496503496503497
110175,2012,7.0,86,0.08139534883720931
110175,2013,11.0,89,0.12359550561797752
110175,2014,4.0,128,0.03125
110175,2015,14.0,106,0.1320754716981132
110175,2016,4.0,110,0.03636363636363636
110175,2017,2.0,86,0.023255813953488372
110175,2018,6.0,91,0.06593406593406594
110175,2019,4.0,93,0.043010752688172046
110175,2020,4.0,72,0.05555555555555555
110180,2012,7.0,83,0.08433734939759036
110180,2013,3.0,107,0.028037383177570093
110180,2014,7.0,90,0.07777777777777778
110180,2015,5.0,63,0.07936507936507936
110180,2016,8.0,98,0.08163265306122448
110180,2017,3.0,79,0.0379746835443038
110180,2018,3.0,95,0.031578947368421054
110180,2019,3.0,81,0.037037037037037035
110180,2020,8.0,62,0.12903225806451613
120000,2012,0.0,1,0.0
120001,2012,23.0,253,0.09090909090909091
120001,2013,18.0,258,0.06976744186046512
120001,2014,20.0,269,0.07434944237918216
120001,2015,11.0,217,0.05069124423963134
120001,2016,16.0,222,0.07207207207207207
120001,2017,20.0,256,0.078125
120001,2018,15.0,216,0.06944444444444445
120001,2019,15.0,257,0.058365758754863814
120001,2020,25.0,237,0.10548523206751055
120005,2012,9.0,219,0.0410958904109589
120005,2013,9.0,213,0.04225352112676056
120005,2014,12.0,196,0.061224489795918366
120005,2015,10.0,238,0.04201680672268908
120005,2016,11.0,190,0.05789473684210526
120005,2017,22.0,248,0.08870967741935484
120005,2018,20.0,264,0.07575757575757576
120005,2019,12.0,266,0.045112781954887216
120005,2020,20.0,215,0.09302325581395349
120010,2012,28.0,505,0.055445544554455446
120010,2013,38.0,530,0.07169811320754717
120010,2014,46.0,547,0.08409506398537477
120010,2015,41.0,531,0.07721280602636535
120010,2016,40.0,490,0.08163265306122448
120010,2017,35.0,570,0.06140350877192982
120010,2018,26.0,540,0.04814814814814815
120010,2019,24.0,540,0.044444444444444446
120010,2020,49.0,527,0.09297912713472485
120013,2012,14.0,198,0.0707070707070707
120013,2013,19.0,202,0.09405940594059406
120013,2014,21.0,242,0.08677685950413223
120013,2015,11.0,248,0.04435483870967742
120013,2016,19.0,248,0.07661290322580645
120013,2017,28.0,307,0.09120521172638436
120013,2018,36.0,306,0.11764705882352941
120013,2019,21.0,329,0.06382978723404255
120013,2020,26.0,241,0.1078838174273859
120017,2012,23.0,201,0.11442786069651742
120017,2013,10.0,193,0.05181347150259067
120017,2014,15.0,234,0.0641025641025641
120017,2015,12.0,219,0.0547945205479452
120017,2016,16.0,194,0.08247422680412371
120017,2017,16.0,243,0.06584362139917696
120017,2018,23.0,222,0.1036036036036036
120017,2019,17.0,217,0.07834101382488479
120017,2020,15.0,190,0.07894736842105263
120020,2012,143.0,1741,0.08213670304422746
120020,2013,134.0,1783,0.07515423443634324
120020,2014,171.0,1818,0.09405940594059406
120020,2015,144.0,1839,0.07830342577487764
120020,2016,127.0,1632,0.0778186274509804
120020,2017,125.0,1684,0.07422802850356294
120020,2018,121.0,1756,0.06890660592255125
120020,2019,136.0,1809,0.07517965726920951
120020,2020,146.0,1691,0.08633944411590774
120025,2012,22.0,282,0.07801418439716312
120025,2013,20.0,275,0.07272727272727272
120025,2014,14.0,262,0.05343511450381679
120025,2015,12.0,279,0.043010752688172046
120025,2016,28.0,270,0.1037037037037037
120025,2017,15.0,291,0.05154639175257732
120025,2018,20.0,273,0.07326007326007326
120025,2019,20.0,314,0.06369426751592357
120025,2020,22.0,293,0.07508532423208192
120030,2012,52.0,904,0.05752212389380531
120030,2013,39.0,791,0.0493046776232617
120030,2014,44.0,829,0.05307599517490953
120030,2015,51.0,772,0.06606217616580311
120030,2016,56.0,834,0.0671462829736211
120030,2017,44.0,833,0.05282112845138055
120030,2018,60.0,833,0.07202881152460984
120030,2019,47.0,871,0.0539609644087256
120030,2020,54.0,789,0.06844106463878327
120032,2012,27.0,269,0.10037174721189591
120032,2013,41.0,271,0.15129151291512916
120032,2014,26.0,282,0.09219858156028368
120032,2015,21.0,273,0.07692307692307693
120032,2016,20.0,263,0.07604562737642585
120032,2017,25.0,266,0.09398496240601503
120032,2018,26.0,274,0.0948905109489051
120032,2019,22.0,218,0.10091743119266056
120032,2020,21.0,205,0.1024390243902439
120033,2012,21.0,386,0.054404145077720206
120033,2013,32.0,399,0.08020050125313283
120033,2014,21.0,413,0.05084745762711865
120033,2015,23.0,395,0.05822784810126582
120033,2016,20.0,325,0.06153846153846154
120033,2017,11.0,358,0.030726256983240222
120033,2018,25.0,367,0.0681198910081744
120033,2019,31.0,345,0.08985507246376812
120033,2020,36.0,420,0.08571428571428572
120034,2012,28.0,256,0.109375
120034,2013,25.0,229,0.1091703056768559
120034,2014,22.0,243,0.09053497942386832
120034,2015,32.0,266,0.12030075187969924
120034,2016,21.0,236,0.08898305084745763
120034,2017,17.0,261,0.06513409961685823
120034,2018,17.0,252,0.06746031746031746
120034,2019,10.0,230,0.043478260869565216
120034,2020,25.0,280,0.08928571428571429
120035,2012,25.0,474,0.052742616033755275
120035,2013,23.0,485,0.04742268041237113
120035,2014,31.0,458,0.06768558951965066
120035,2015,33.0,445,0.07415730337078652
120035,2016,20.0,352,0.056818181818181816
120035,2017,30.0,388,0.07731958762886598
120035,2018,43.0,407,0.10565110565110565
120035,2019,40.0,448,0.08928571428571429
120035,2020,21.0,334,0.06287425149700598
120038,2012,19.0,353,0.053824362606232294
120038,2013,32.0,334,0.09580838323353294
120038,2014,28.0,322,0.08695652173913043
120038,2015,20.0,350,0.05714285714285714
120038,2016,29.0,339,0.0855457227138643
120038,2017,19.0,305,0.06229508196721312
120038,2018,21.0,309,0.06796116504854369
120038,2019,23.0,318,0.07232704402515723
