CODMUNRES,ano_nasc,Qtd_7a_serie,Qtd_Total,Ratio
110018,2018,107.0,651,0.16436251920122888
110018,2019,96.0,616,0.15584415584415584
110020,2012,2869.0,8941,0.3208813331842076
110020,2013,2619.0,8927,0.29337963481572754
110020,2014,3772.0,9130,0.4131434830230011
110020,2015,2666.0,9093,0.2931925657098867
110020,2016,2047.0,8611,0.23771919637672745
110020,2017,1910.0,8800,0.21704545454545454
110020,2018,1873.0,8752,0.21400822669104205
110020,2019,1857.0,8437,0.22010193196633876
110025,2012,95.0,243,0.39094650205761317
110025,2013,84.0,258,0.32558139534883723
110025,2014,63.0,289,0.2179930795847751
110025,2015,48.0,262,0.183206106870229
110025,2016,60.0,276,0.21739130434782608
110025,2017,41.0,289,0.14186851211072665
110025,2018,38.0,294,0.1292517006802721
110025,2019,42.0,304,0.13815789473684212
110026,2012,22.0,41,0.5365853658536586
110026,2013,19.0,38,0.5
110026,2014,9.0,36,0.25
110026,2015,11.0,36,0.3055555555555556
110026,2016,12.0,35,0.34285714285714286
110026,2017,30.0,49,0.6122448979591837
110026,2018,18.0,46,0.391304347826087
110026,2019,19.0,50,0.38
110028,2012,254.0,927,0.2740021574973031
110028,2013,224.0,879,0.25483503981797495
110028,2014,252.0,947,0.26610348468849
110028,2015,215.0,936,0.2297008547008547
110028,2016,212.0,855,0.247953216374269
110028,2017,226.0,963,0.23468328141225336
110028,2018,201.0,900,0.22333333333333333
110028,2019,140.0,927,0.15102481121898598
110029,2012,31.0,118,0.2627118644067797
110029,2013,24.0,98,0.24489795918367346
110029,2014,31.0,103,0.30097087378640774
110029,2015,34.0,109,0.3119266055045872
110029,2016,22.0,114,0.19298245614035087
110029,2017,26.0,112,0.23214285714285715
110029,2018,27.0,103,0.2621359223300971
110029,2019,18.0,99,0.18181818181818182
110030,2012,261.0,1269,0.20567375886524822
110030,2013,211.0,1388,0.15201729106628242
110030,2014,207.0,1418,0.1459802538787024
110030,2015,234.0,1535,0.152442996742671
110030,2016,173.0,1427,0.1212333566923616
110030,2017,142.0,1465,0.09692832764505119
110030,2018,136.0,1557,0.08734746307000642
110030,2019,134.0,1590,0.08427672955974842
110032,2012,133.0,313,0.4249201277955272
110032,2013,110.0,355,0.30985915492957744
110032,2014,108.0,364,0.2967032967032967
110032,2015,56.0,311,0.18006430868167203
110032,2016,60.0,337,0.17804154302670624
110032,2017,65.0,372,0.17473118279569894
110032,2018,75.0,391,0.1918158567774936
110032,2019,65.0,353,0.18413597733711048
110033,2012,179.0,383,0.46736292428198434
110033,2013,206.0,416,0.4951923076923077
110033,2014,192.0,425,0.45176470588235296
110033,2015,164.0,404,0.40594059405940597
110033,2016,156.0,411,0.3795620437956204
110033,2017,153.0,487,0.3141683778234086
110033,2018,153.0,482,0.31742738589211617
110033,2019,99.0,432,0.22916666666666666
110034,2012,70.0,189,0.37037037037037035
110034,2013,72.0,220,0.32727272727272727
110034,2014,36.0,184,0.1956521739130435
110034,2015,31.0,200,0.155
110034,2016,38.0,166,0.2289156626506024
110034,2017,32.0,178,0.1797752808988764
110034,2018,25.0,162,0.15432098765432098
110034,2019,35.0,205,0.17073170731707318
110037,2012,92.0,189,0.48677248677248675
110037,2013,70.0,163,0.4294478527607362
110037,2014,80.0,172,0.46511627906976744
110037,2015,59.0,149,0.3959731543624161
110037,2016,57.0,168,0.3392857142857143
110037,2017,67.0,172,0.38953488372093026
110037,2018,56.0,160,0.35
110037,2019,45.0,154,0.2922077922077922
110040,2012,89.0,194,0.4587628865979381
110040,2013,96.0,211,0.4549763033175355
110040,2014,94.0,254,0.3700787401574803
110040,2015,75.0,247,0.30364372469635625
110040,2016,82.0,220,0.37272727272727274
110040,2017,137.0,242,0.5661157024793388
110040,2018,83.0,219,0.3789954337899543
110040,2019,87.0,226,0.38495575221238937
110045,2012,243.0,555,0.43783783783783786
110045,2013,247.0,598,0.41304347826086957
110045,2014,240.0,620,0.3870967741935484
110045,2015,222.0,608,0.3651315789473684
110045,2016,223.0,624,0.3573717948717949
110045,2017,173.0,632,0.2737341772151899
110045,2018,170.0,617,0.2755267423014587
110045,2019,120.0,583,0.2058319039451115
110050,2012,49.0,125,0.392
110050,2013,38.0,122,0.3114754098360656
110050,2014,31.0,93,0.3333333333333333
110050,2015,36.0,109,0.3302752293577982
110050,2016,31.0,95,0.3263157894736842
110050,2017,31.0,91,0.34065934065934067
110050,2018,31.0,111,0.27927927927927926
110050,2019,15.0,98,0.15306122448979592
110060,2012,31.0,61,0.5081967213114754
110060,2013,24.0,63,0.38095238095238093
110060,2014,12.0,58,0.20689655172413793
110060,2015,22.0,72,0.3055555555555556
110060,2016,19.0,67,0.2835820895522388
110060,2017,41.0,71,0.5774647887323944
110060,2018,24.0,80,0.3
110060,2019,21.0,75,0.28
110070,2012,85.0,164,0.5182926829268293
110070,2013,89.0,183,0.48633879781420764
110070,2014,86.0,181,0.47513812154696133
110070,2015,57.0,156,0.36538461538461536
110070,2016,69.0,162,0.42592592592592593
110070,2017,65.0,174,0.3735632183908046
110070,2018,66.0,195,0.3384615384615385
110070,2019,44.0,166,0.26506024096385544
110080,2012,205.0,430,0.47674418604651164
110080,2013,181.0,405,0.4469135802469136
110080,2014,113.0,296,0.38175675675675674
110080,2015,154.0,323,0.47678018575851394
110080,2016,138.0,372,0.3709677419354839
110080,2017,138.0,397,0.34760705289672544
110080,2018,134.0,421,0.3182897862232779
110080,2019,108.0,337,0.32047477744807124
110090,2012,21.0,53,0.39622641509433965
110090,2013,9.0,36,0.25
110090,2014,12.0,46,0.2608695652173913
110090,2015,12.0,52,0.23076923076923078
110090,2016,12.0,55,0.21818181818181817
110090,2017,9.0,39,0.23076923076923078
110090,2018,14.0,56,0.25
110090,2019,6.0,32,0.1875
110092,2012,35.0,118,0.2966101694915254
110092,2013,43.0,158,0.2721518987341772
110092,2014,44.0,158,0.27848101265822783
110092,2015,43.0,154,0.2792207792207792
110092,2016,31.0,153,0.20261437908496732
110092,2017,19.0,169,0.11242603550295859
110092,2018,29.0,181,0.16022099447513813
110092,2019,28.0,162,0.1728395061728395
110094,2012,89.0,161,0.5527950310559007
110094,2013,90.0,203,0.4433497536945813
110094,2014,91.0,240,0.37916666666666665
110094,2015,118.0,274,0.4306569343065693
110094,2016,94.0,241,0.3900414937759336
110094,2017,117.0,209,0.5598086124401914
110094,2018,83.0,229,0.3624454148471616
110094,2019,69.0,205,0.33658536585365856
110100,2012,51.0,133,0.38345864661654133
110100,2013,41.0,116,0.35344827586206895
110100,2014,44.0,124,0.3548387096774194
110100,2015,35.0,132,0.26515151515151514
110100,2016,24.0,112,0.21428571428571427
110100,2017,23.0,109,0.21100917431192662
110100,2018,15.0,133,0.11278195488721804
110100,2019,24.0,112,0.21428571428571427
110110,2012,56.0,114,0.49122807017543857
110110,2013,59.0,123,0.4796747967479675
110110,2014,43.0,97,0.44329896907216493
110110,2015,41.0,112,0.36607142857142855
110110,2016,50.0,129,0.3875968992248062
110110,2017,39.0,95,0.4105263157894737
110110,2018,31.0,92,0.33695652173913043
110110,2019,47.0,109,0.43119266055045874
110120,2012,47.0,100,0.47
110120,2013,33.0,104,0.3173076923076923
110120,2014,26.0,107,0.24299065420560748
110120,2015,23.0,93,0.24731182795698925
110120,2016,29.0,93,0.3118279569892473
110120,2017,8.0,100,0.08
110120,2018,12.0,92,0.13043478260869565
110120,2019,13.0,84,0.15476190476190477
110130,2012,65.0,148,0.4391891891891892
110130,2013,39.0,122,0.319672131147541
110130,2014,44.0,137,0.32116788321167883
110130,2015,30.0,179,0.16759776536312848
110130,2016,43.0,148,0.2905405405405405
110130,2017,41.0,156,0.26282051282051283
110130,2018,30.0,160,0.1875
110130,2019,35.0,164,0.21341463414634146
110140,2012,89.0,170,0.5235294117647059
110140,2013,94.0,223,0.42152466367713004
110140,2014,71.0,204,0.3480392156862745
110140,2015,70.0,240,0.2916666666666667
110140,2016,57.0,173,0.32947976878612717
110140,2017,81.0,200,0.405
110140,2018,83.0,220,0.37727272727272726
110140,2019,59.0,199,0.2964824120603015
110143,2012,34.0,99,0.3434343434343434
110143,2013,37.0,82,0.45121951219512196
110143,2014,31.0,110,0.2818181818181818
110143,2015,19.0,73,0.2602739726027397
110143,2016,20.0,90,0.2222222222222222
110143,2017,32.0,94,0.3404255319148936
110143,2018,21.0,87,0.2413793103448276
110143,2019,18.0,104,0.17307692307692307
110145,2012,28.0,63,0.4444444444444444
110145,2013,24.0,55,0.43636363636363634
110145,2014,18.0,49,0.3673469387755102
110145,2015,12.0,54,0.2222222222222222
110145,2016,18.0,50,0.36
110145,2017,16.0,51,0.3137254901960784
110145,2018,13.0,53,0.24528301886792453
110145,2019,8.0,44,0.18181818181818182
110146,2012,27.0,51,0.5294117647058824
110146,2013,11.0,42,0.2619047619047619
110146,2014,15.0,37,0.40540540540540543
110146,2015,12.0,52,0.23076923076923078
110146,2016,6.0,34,0.17647058823529413
110146,2017,8.0,52,0.15384615384615385
110146,2018,5.0,52,0.09615384615384616
110146,2019,4.0,40,0.1
110147,2012,13.0,43,0.3023255813953488
110147,2013,11.0,39,0.28205128205128205
110147,2014,16.0,47,0.3404255319148936
110147,2015,8.0,40,0.2
110147,2016,8.0,56,0.14285714285714285
