res_MUNNOME,CODMUNRES,REGIAO,ESTADO
Itaporanga,250700,NORDESTE,PARAIBA
Itapororoca,250710,NORDESTE,PARAIBA
Itatuba,250720,NORDESTE,PARAIBA
Jacaraú,250730,NORDESTE,PARAIBA
Jericó,250740,NORDESTE,PARAIBA
João Pessoa,250750,NORDESTE,PARAIBA
Juarez Távora,250760,NORDESTE,PARAIBA
Juazeirinho,250770,NORDESTE,PARAIBA
Junco do Seridó,250780,NORDESTE,PARAIBA
Juripiranga,250790,NORDESTE,PARAIBA
Juru,250800,NORDESTE,PARAIBA
Lagoa,250810,NORDESTE,PARAIBA
Lagoa de Dentro,250820,NORDESTE,PARAIBA
Lagoa Seca,250830,NORDESTE,PARAIBA
Lastro,250840,NORDESTE,PARAIBA
Livramento,250850,NORDESTE,PARAIBA
Logradouro,250855,NORDESTE,PARAIBA
Lucena,250860,NORDESTE,PARAIBA
Mãe d'Água,250870,NORDESTE,PARAIBA
Malta,250880,NORDESTE,PARAIBA
Mamanguape,250890,NORDESTE,PARAIBA
Manaíra,250900,NORDESTE,PARAIBA
Marcação,250905,NORDESTE,PARAIBA
Mari,250910,NORDESTE,PARAIBA
Marizópolis,250915,NORDESTE,PARAIBA
Massaranduba,250920,NORDESTE,PARAIBA
Mataraca,250930,NORDESTE,PARAIBA
Matinhas,250933,NORDESTE,PARAIBA
Mato Grosso,250937,NORDESTE,PARAIBA
Maturéia,250939,NORDESTE,PARAIBA
Mogeiro,250940,NORDESTE,PARAIBA
Montadas,250950,NORDESTE,PARAIBA
Monte Horebe,250960,NORDESTE,PARAIBA
Monteiro,250970,NORDESTE,PARAIBA
Mulungu,250980,NORDESTE,PARAIBA
Natuba,250990,NORDESTE,PARAIBA
Nazarezinho,251000,NORDESTE,PARAIBA
Nova Floresta,251010,NORDESTE,PARAIBA
Nova Olinda,251020,NORDESTE,PARAIBA
Nova Palmeira,251030,NORDESTE,PARAIBA
Olho d'Água,251040,NORDESTE,PARAIBA
Olivedos,251050,NORDESTE,PARAIBA
Ouro Velho,251060,NORDESTE,PARAIBA
Parari,251065,NORDESTE,PARAIBA
Passagem,251070,NORDESTE,PARAIBA
Patos,251080,NORDESTE,PARAIBA
Paulista,251090,NORDESTE,PARAIBA
Pedra Branca,251100,NORDESTE,PARAIBA
Pedra Lavrada,251110,NORDESTE,PARAIBA
Pedras de Fogo,251120,NORDESTE,PARAIBA
Piancó,251130,NORDESTE,PARAIBA
Picuí,251140,NORDESTE,PARAIBA
Pilar,251150,NORDESTE,PARAIBA
Pilões,251160,NORDESTE,PARAIBA
Pilõezinhos,251170,NORDESTE,PARAIBA
Pirpirituba,251180,NORDESTE,PARAIBA
Pitimbu,251190,NORDESTE,PARAIBA
Pocinhos,251200,NORDESTE,PARAIBA
Poço Dantas,251203,NORDESTE,PARAIBA
Poço de José de Moura,251207,NORDESTE,PARAIBA
Pombal,251210,NORDESTE,PARAIBA
Prata,251220,NORDESTE,PARAIBA
Princesa Isabel,251230,NORDESTE,PARAIBA
Puxinanã,251240,NORDESTE,PARAIBA
Queimadas,251250,NORDESTE,PARAIBA
Quixabá,251260,NORDESTE,PARAIBA
Remígio,251270,NORDESTE,PARAIBA
Pedro Régis,251272,NORDESTE,PARAIBA
Riachão,251274,NORDESTE,PARAIBA
Riachão do Bacamarte,251275,NORDESTE,PARAIBA
Riachão do Poço,251276,NORDESTE,PARAIBA
Riacho de Santo Antônio,251278,NORDESTE,PARAIBA
Riacho dos Cavalos,251280,NORDESTE,PARAIBA
Rio Tinto,251290,NORDESTE,PARAIBA
Salgadinho,251300,NORDESTE,PARAIBA
Salgado de São Félix,251310,NORDESTE,PARAIBA
Santa Cecília,251315,NORDESTE,PARAIBA
Santa Cruz,251320,NORDESTE,PARAIBA
Santa Helena,251330,NORDESTE,PARAIBA
Santa Inês,251335,NORDESTE,PARAIBA
Santa Luzia,251340,NORDESTE,PARAIBA
Santana de Mangueira,251350,NORDESTE,PARAIBA
Santana dos Garrotes,251360,NORDESTE,PARAIBA
Santarém,251365,NORDESTE,PARAIBA
Santa Rita,251370,NORDESTE,PARAIBA
Santa Teresinha,251380,NORDESTE,PARAIBA
Santo André,251385,NORDESTE,PARAIBA
São Bento,251390,NORDESTE,PARAIBA
São Bentinho,251392,NORDESTE,PARAIBA
São Domingos do Cariri,251394,NORDESTE,PARAIBA
São Domingos de Pombal,251396,NORDESTE,PARAIBA
São Francisco,251398,NORDESTE,PARAIBA
São João do Cariri,251400,NORDESTE,PARAIBA
São João do Tigre,251410,NORDESTE,PARAIBA
São José da Lagoa Tapada,251420,NORDESTE,PARAIBA
São José de Caiana,251430,NORDESTE,PARAIBA
São José de Espinharas,251440,NORDESTE,PARAIBA
São José dos Ramos,251445,NORDESTE,PARAIBA
São José de Piranhas,251450,NORDESTE,PARAIBA
São José de Princesa,251455,NORDESTE,PARAIBA
São José do Bonfim,251460,NORDESTE,PARAIBA
São José do Brejo do Cruz,251465,NORDESTE,PARAIBA
São José do Sabugi,251470,NORDESTE,PARAIBA
São José dos Cordeiros,251480,NORDESTE,PARAIBA
São Mamede,251490,NORDESTE,PARAIBA
São Miguel de Taipu,251500,NORDESTE,PARAIBA
São Sebastião de Lagoa de Roça,251510,NORDESTE,PARAIBA
São Sebastião do Umbuzeiro,251520,NORDESTE,PARAIBA
Sapé,251530,NORDESTE,PARAIBA
Seridó,251540,NORDESTE,PARAIBA
Serra Branca,251550,NORDESTE,PARAIBA
Serra da Raiz,251560,NORDESTE,PARAIBA
Serra Grande,251570,NORDESTE,PARAIBA
Serra Redonda,251580,NORDESTE,PARAIBA
Serraria,251590,NORDESTE,PARAIBA
Sertãozinho,251593,NORDESTE,PARAIBA
Sobrado,251597,NORDESTE,PARAIBA
Solânea,251600,NORDESTE,PARAIBA
Soledade,251610,NORDESTE,PARAIBA
Sossêgo,251615,NORDESTE,PARAIBA
Sousa,251620,NORDESTE,PARAIBA
Sumé,251630,NORDESTE,PARAIBA
Campo de Santana,251640,NORDESTE,PARAIBA
Taperoá,251650,NORDESTE,PARAIBA
Tavares,251660,NORDESTE,PARAIBA
Teixeira,251670,NORDESTE,PARAIBA
Tenório,251675,NORDESTE,PARAIBA
Triunfo,251680,NORDESTE,PARAIBA
Uiraúna,251690,NORDESTE,PARAIBA
Umbuzeiro,251700,NORDESTE,PARAIBA
Várzea,251710,NORDESTE,PARAIBA
Vieirópolis,251720,NORDESTE,PARAIBA
Zabelê,251740,NORDESTE,PARAIBA
Município ignorado - PE,260000,NORDESTE,PERNAMBUCO
Abreu e Lima,260005,NORDESTE,PERNAMBUCO
Afogados da Ingazeira,260010,NORDESTE,PERNAMBUCO
Afrânio,260020,NORDESTE,PERNAMBUCO
Agrestina,260030,NORDESTE,PERNAMBUCO
Água Preta,260040,NORDESTE,PERNAMBUCO
Águas Belas,260050,NORDESTE,PERNAMBUCO
Alagoinha,260060,NORDESTE,PERNAMBUCO
Aliança,260070,NORDESTE,PERNAMBUCO
Altinho,260080,NORDESTE,PERNAMBUCO
Amaraji,260090,NORDESTE,PERNAMBUCO
Angelim,260100,NORDESTE,PERNAMBUCO
Araçoiaba,260105,NORDESTE,PERNAMBUCO
Araripina,260110,NORDESTE,PERNAMBUCO
Arcoverde,260120,NORDESTE,PERNAMBUCO
Barra de Guabiraba,260130,NORDESTE,PERNAMBUCO
Barreiros,260140,NORDESTE,PERNAMBUCO
Belém de Maria,260150,NORDESTE,PERNAMBUCO
Belém de São Francisco,260160,NORDESTE,PERNAMBUCO
Belo Jardim,260170,NORDESTE,PERNAMBUCO
Betânia,260180,NORDESTE,PERNAMBUCO
Bezerros,260190,NORDESTE,PERNAMBUCO
Bodocó,260200,NORDESTE,PERNAMBUCO
Bom Conselho,260210,NORDESTE,PERNAMBUCO
Bom Jardim,260220,NORDESTE,PERNAMBUCO
Bonito,260230,NORDESTE,PERNAMBUCO
Brejão,260240,NORDESTE,PERNAMBUCO
Brejinho,260250,NORDESTE,PERNAMBUCO
Brejo da Madre de Deus,260260,NORDESTE,PERNAMBUCO
Buenos Aires,260270,NORDESTE,PERNAMBUCO
Buíque,260280,NORDESTE,PERNAMBUCO
Cabo de Santo Agostinho,260290,NORDESTE,PERNAMBUCO
Cabrobó,260300,NORDESTE,PERNAMBUCO
Cachoeirinha,260310,NORDESTE,PERNAMBUCO
Caetés,260320,NORDESTE,PERNAMBUCO
Calçado,260330,NORDESTE,PERNAMBUCO
Calumbi,260340,NORDESTE,PERNAMBUCO
Camaragibe,260345,NORDESTE,PERNAMBUCO
Camocim de São Félix,260350,NORDESTE,PERNAMBUCO
Camutanga,260360,NORDESTE,PERNAMBUCO
Canhotinho,260370,NORDESTE,PERNAMBUCO
Capoeiras,260380,NORDESTE,PERNAMBUCO
Carnaíba,260390,NORDESTE,PERNAMBUCO
Carnaubeira da Penha,260392,NORDESTE,PERNAMBUCO
Carpina,260400,NORDESTE,PERNAMBUCO
Caruaru,260410,NORDESTE,PERNAMBUCO
Casinhas,260415,NORDESTE,PERNAMBUCO
Catende,260420,NORDESTE,PERNAMBUCO
Cedro,260430,NORDESTE,PERNAMBUCO
Chã de Alegria,260440,NORDESTE,PERNAMBUCO
Chã Grande,260450,NORDESTE,PERNAMBUCO
Condado,260460,NORDESTE,PERNAMBUCO
Correntes,260470,NORDESTE,PERNAMBUCO
Cortês,260480,NORDESTE,PERNAMBUCO
Cumaru,260490,NORDESTE,PERNAMBUCO
Cupira,260500,NORDESTE,PERNAMBUCO
Custódia,260510,NORDESTE,PERNAMBUCO
Dormentes,260515,NORDESTE,PERNAMBUCO
Escada,260520,NORDESTE,PERNAMBUCO
Exu,260530,NORDESTE,PERNAMBUCO
Feira Nova,260540,NORDESTE,PERNAMBUCO
Fernando de Noronha,260545,NORDESTE,PERNAMBUCO
Ferreiros,260550,NORDESTE,PERNAMBUCO
Flores,260560,NORDESTE,PERNAMBUCO
Floresta,260570,NORDESTE,PERNAMBUCO
Frei Miguelinho,260580,NORDESTE,PERNAMBUCO
Gameleira,260590,NORDESTE,PERNAMBUCO
Garanhuns,260600,NORDESTE,PERNAMBUCO
Glória do Goitá,260610,NORDESTE,PERNAMBUCO
Goiana,260620,NORDESTE,PERNAMBUCO
Granito,260630,NORDESTE,PERNAMBUCO
Gravatá,260640,NORDESTE,PERNAMBUCO
Iati,260650,NORDESTE,PERNAMBUCO
Ibimirim,260660,NORDESTE,PERNAMBUCO
Ibirajuba,260670,NORDESTE,PERNAMBUCO
Igarassu,260680,NORDESTE,PERNAMBUCO
Iguaraci,260690,NORDESTE,PERNAMBUCO
Inajá,260700,NORDESTE,PERNAMBUCO
Ingazeira,260710,NORDESTE,PERNAMBUCO
Ipojuca,260720,NORDESTE,PERNAMBUCO
Ipubi,260730,NORDESTE,PERNAMBUCO
Itacuruba,260740,NORDESTE,PERNAMBUCO
Itaíba,260750,NORDESTE,PERNAMBUCO
Ilha de Itamaracá,260760,NORDESTE,PERNAMBUCO
Itambé,260765,NORDESTE,PERNAMBUCO
Itapetim,260770,NORDESTE,PERNAMBUCO
Itapissuma,260775,NORDESTE,PERNAMBUCO
Itaquitinga,260780,NORDESTE,PERNAMBUCO
Jaboatão dos Guararapes,260790,NORDESTE,PERNAMBUCO
Jaqueira,260795,NORDESTE,PERNAMBUCO
Jataúba,260800,NORDESTE,PERNAMBUCO
Jatobá,260805,NORDESTE,PERNAMBUCO
João Alfredo,260810,NORDESTE,PERNAMBUCO
Joaquim Nabuco,260820,NORDESTE,PERNAMBUCO
Jucati,260825,NORDESTE,PERNAMBUCO
Jupi,260830,NORDESTE,PERNAMBUCO
Jurema,260840,NORDESTE,PERNAMBUCO
Lagoa do Carro,260845,NORDESTE,PERNAMBUCO
Lagoa do Itaenga,260850,NORDESTE,PERNAMBUCO
Lagoa do Ouro,260860,NORDESTE,PERNAMBUCO
Lagoa dos Gatos,260870,NORDESTE,PERNAMBUCO
Lagoa Grande,260875,NORDESTE,PERNAMBUCO
Lajedo,260880,NORDESTE,PERNAMBUCO
Limoeiro,260890,NORDESTE,PERNAMBUCO
Macaparana,260900,NORDESTE,PERNAMBUCO
Machados,260910,NORDESTE,PERNAMBUCO
Manari,260915,NORDESTE,PERNAMBUCO
Maraial,260920,NORDESTE,PERNAMBUCO
Mirandiba,260930,NORDESTE,PERNAMBUCO
Moreno,260940,NORDESTE,PERNAMBUCO
Nazaré da Mata,260950,NORDESTE,PERNAMBUCO
Olinda,260960,NORDESTE,PERNAMBUCO
Orobó,260970,NORDESTE,PERNAMBUCO
Orocó,260980,NORDESTE,PERNAMBUCO
Ouricuri,260990,NORDESTE,PERNAMBUCO
Palmares,261000,NORDESTE,PERNAMBUCO
Palmeirina,261010,NORDESTE,PERNAMBUCO
Panelas,261020,NORDESTE,PERNAMBUCO
Paranatama,261030,NORDESTE,PERNAMBUCO
Parnamirim,261040,NORDESTE,PERNAMBUCO
Passira,261050,NORDESTE,PERNAMBUCO
Paudalho,261060,NORDESTE,PERNAMBUCO
Paulista,261070,NORDESTE,PERNAMBUCO
Pedra,261080,NORDESTE,PERNAMBUCO
Pesqueira,261090,NORDESTE,PERNAMBUCO
Petrolândia,261100,NORDESTE,PERNAMBUCO
Petrolina,261110,NORDESTE,PERNAMBUCO
Poção,261120,NORDESTE,PERNAMBUCO
Pombos,261130,NORDESTE,PERNAMBUCO
Primavera,261140,NORDESTE,PERNAMBUCO
Quipapá,261150,NORDESTE,PERNAMBUCO
Quixaba,261153,NORDESTE,PERNAMBUCO
Recife,261160,NORDESTE,PERNAMBUCO
Riacho das Almas,261170,NORDESTE,PERNAMBUCO
Ribeirão,261180,NORDESTE,PERNAMBUCO
Rio Formoso,261190,NORDESTE,PERNAMBUCO
Sairé,261200,NORDESTE,PERNAMBUCO
Salgadinho,261210,NORDESTE,PERNAMBUCO
Salgueiro,261220,NORDESTE,PERNAMBUCO
Saloá,261230,NORDESTE,PERNAMBUCO
Sanharó,261240,NORDESTE,PERNAMBUCO
Santa Cruz,261245,NORDESTE,PERNAMBUCO
Santa Cruz da Baixa Verde,261247,NORDESTE,PERNAMBUCO
Santa Cruz do Capibaribe,261250,NORDESTE,PERNAMBUCO
Santa Filomena,261255,NORDESTE,PERNAMBUCO
Santa Maria da Boa Vista,261260,NORDESTE,PERNAMBUCO
Santa Maria do Cambucá,261270,NORDESTE,PERNAMBUCO
Santa Terezinha,261280,NORDESTE,PERNAMBUCO
São Benedito do Sul,261290,NORDESTE,PERNAMBUCO
São Bento do Una,261300,NORDESTE,PERNAMBUCO
São Caitano,261310,NORDESTE,PERNAMBUCO
São João,261320,NORDESTE,PERNAMBUCO
São Joaquim do Monte,261330,NORDESTE,PERNAMBUCO
São José da Coroa Grande,261340,NORDESTE,PERNAMBUCO
São José do Belmonte,261350,NORDESTE,PERNAMBUCO
São José do Egito,261360,NORDESTE,PERNAMBUCO
São Lourenço da Mata,261370,NORDESTE,PERNAMBUCO
São Vicente Ferrer,261380,NORDESTE,PERNAMBUCO
Serra Talhada,261390,NORDESTE,PERNAMBUCO
Serrita,261400,NORDESTE,PERNAMBUCO
Sertânia,261410,NORDESTE,PERNAMBUCO
Sirinhaém,261420,NORDESTE,PERNAMBUCO
Moreilândia,261430,NORDESTE,PERNAMBUCO
Solidão,261440,NORDESTE,PERNAMBUCO
Surubim,261450,NORDESTE,PERNAMBUCO
Tabira,261460,NORDESTE,PERNAMBUCO
Tacaimbó,261470,NORDESTE,PERNAMBUCO
Tacaratu,261480,NORDESTE,PERNAMBUCO
Tamandaré,261485,NORDESTE,PERNAMBUCO
Taquaritinga do Norte,261500,NORDESTE,PERNAMBUCO
Terezinha,261510,NORDESTE,PERNAMBUCO
Terra Nova,261520,NORDESTE,PERNAMBUCO
Timbaúba,261530,NORDESTE,PERNAMBUCO
Toritama,261540,NORDESTE,PERNAMBUCO
Tracunhaém,261550,NORDESTE,PERNAMBUCO
Trindade,261560,NORDESTE,PERNAMBUCO
Triunfo,261570,NORDESTE,PERNAMBUCO
Tupanatinga,261580,NORDESTE,PERNAMBUCO
Tuparetama,261590,NORDESTE,PERNAMBUCO
Venturosa,261600,NORDESTE,PERNAMBUCO
Verdejante,261610,NORDESTE,PERNAMBUCO
Vertente do Lério,261618,NORDESTE,PERNAMBUCO
Vertentes,261620,NORDESTE,PERNAMBUCO
Vicência,261630,NORDESTE,PERNAMBUCO
Vitória de Santo Antão,261640,NORDESTE,PERNAMBUCO
Xexéu,261650,NORDESTE,PERNAMBUCO
Água Branca,270010,NORDESTE,ALAGOAS
Anadia,270020,NORDESTE,ALAGOAS
Arapiraca,270030,NORDESTE,ALAGOAS
Atalaia,270040,NORDESTE,ALAGOAS
Barra de Santo Antônio,270050,NORDESTE,ALAGOAS
Barra de São Miguel,270060,NORDESTE,ALAGOAS
Batalha,270070,NORDESTE,ALAGOAS
Belém,270080,NORDESTE,ALAGOAS
Belo Monte,270090,NORDESTE,ALAGOAS
Boca da Mata,270100,NORDESTE,ALAGOAS
Branquinha,270110,NORDESTE,ALAGOAS
Cacimbinhas,270120,NORDESTE,ALAGOAS
Cajueiro,270130,NORDESTE,ALAGOAS
Campestre,270135,NORDESTE,ALAGOAS
Campo Alegre,270140,NORDESTE,ALAGOAS
Campo Grande,270150,NORDESTE,ALAGOAS
Canapi,270160,NORDESTE,ALAGOAS
Capela,270170,NORDESTE,ALAGOAS
Carneiros,270180,NORDESTE,ALAGOAS
Chã Preta,270190,NORDESTE,ALAGOAS
Coité do Nóia,270200,NORDESTE,ALAGOAS
Colônia Leopoldina,270210,NORDESTE,ALAGOAS
Coqueiro Seco,270220,NORDESTE,ALAGOAS
Coruripe,270230,NORDESTE,ALAGOAS
Craíbas,270235,NORDESTE,ALAGOAS
Delmiro Gouveia,270240,NORDESTE,ALAGOAS
Dois Riachos,270250,NORDESTE,ALAGOAS
Estrela de Alagoas,270255,NORDESTE,ALAGOAS
Feira Grande,270260,NORDESTE,ALAGOAS
Feliz Deserto,270270,NORDESTE,ALAGOAS
Flexeiras,270280,NORDESTE,ALAGOAS
Girau do Ponciano,270290,NORDESTE,ALAGOAS
Ibateguara,270300,NORDESTE,ALAGOAS
Igaci,270310,NORDESTE,ALAGOAS
Igreja Nova,270320,NORDESTE,ALAGOAS
Inhapi,270330,NORDESTE,ALAGOAS
Jacaré dos Homens,270340,NORDESTE,ALAGOAS
Jacuípe,270350,NORDESTE,ALAGOAS
Japaratinga,270360,NORDESTE,ALAGOAS
Jaramataia,270370,NORDESTE,ALAGOAS
Jequiá da Praia,270375,NORDESTE,ALAGOAS
Joaquim Gomes,270380,NORDESTE,ALAGOAS
Jundiá,270390,NORDESTE,ALAGOAS
Junqueiro,270400,NORDESTE,ALAGOAS
Lagoa da Canoa,270410,NORDESTE,ALAGOAS
Limoeiro de Anadia,270420,NORDESTE,ALAGOAS
Maceió,270430,NORDESTE,ALAGOAS
Major Isidoro,270440,NORDESTE,ALAGOAS
Maragogi,270450,NORDESTE,ALAGOAS
Maravilha,270460,NORDESTE,ALAGOAS
Marechal Deodoro,270470,NORDESTE,ALAGOAS
Maribondo,270480,NORDESTE,ALAGOAS
Mar Vermelho,270490,NORDESTE,ALAGOAS
Mata Grande,270500,NORDESTE,ALAGOAS
Matriz de Camaragibe,270510,NORDESTE,ALAGOAS
Messias,270520,NORDESTE,ALAGOAS
Minador do Negrão,270530,NORDESTE,ALAGOAS
Monteirópolis,270540,NORDESTE,ALAGOAS
Murici,270550,NORDESTE,ALAGOAS
Novo Lino,270560,NORDESTE,ALAGOAS
Olho d'Água das Flores,270570,NORDESTE,ALAGOAS
Olho d'Água do Casado,270580,NORDESTE,ALAGOAS
Olho d'Água Grande,270590,NORDESTE,ALAGOAS
Olivença,270600,NORDESTE,ALAGOAS
Ouro Branco,270610,NORDESTE,ALAGOAS
Palestina,270620,NORDESTE,ALAGOAS
Palmeira dos Índios,270630,NORDESTE,ALAGOAS
Pão de Açúcar,270640,NORDESTE,ALAGOAS
Pariconha,270642,NORDESTE,ALAGOAS
Paripueira,270644,NORDESTE,ALAGOAS
Passo de Camaragibe,270650,NORDESTE,ALAGOAS
Paulo Jacinto,270660,NORDESTE,ALAGOAS
Penedo,270670,NORDESTE,ALAGOAS
Piaçabuçu,270680,NORDESTE,ALAGOAS
Pilar,270690,NORDESTE,ALAGOAS
Pindoba,270700,NORDESTE,ALAGOAS
Piranhas,270710,NORDESTE,ALAGOAS
Poço das Trincheiras,270720,NORDESTE,ALAGOAS
Porto Calvo,270730,NORDESTE,ALAGOAS
Porto de Pedras,270740,NORDESTE,ALAGOAS
Porto Real do Colégio,270750,NORDESTE,ALAGOAS
Quebrangulo,270760,NORDESTE,ALAGOAS
Rio Largo,270770,NORDESTE,ALAGOAS
Roteiro,270780,NORDESTE,ALAGOAS
Santa Luzia do Norte,270790,NORDESTE,ALAGOAS
Santana do Ipanema,270800,NORDESTE,ALAGOAS
Santana do Mundaú,270810,NORDESTE,ALAGOAS
São Brás,270820,NORDESTE,ALAGOAS
São José da Laje,270830,NORDESTE,ALAGOAS
São José da Tapera,270840,NORDESTE,ALAGOAS
São Luís do Quitunde,270850,NORDESTE,ALAGOAS
São Miguel dos Campos,270860,NORDESTE,ALAGOAS
São Miguel dos Milagres,270870,NORDESTE,ALAGOAS
São Sebastião,270880,NORDESTE,ALAGOAS
Satuba,270890,NORDESTE,ALAGOAS
Senador Rui Palmeira,270895,NORDESTE,ALAGOAS
Tanque d'Arca,270900,NORDESTE,ALAGOAS
Taquarana,270910,NORDESTE,ALAGOAS
Teotônio Vilela,270915,NORDESTE,ALAGOAS
Traipu,270920,NORDESTE,ALAGOAS
União dos Palmares,270930,NORDESTE,ALAGOAS
Viçosa,270940,NORDESTE,ALAGOAS
Amparo de São Francisco,280010,NORDESTE,SERGIPE
Aquidabã,280020,NORDESTE,SERGIPE
Aracaju,280030,NORDESTE,SERGIPE
Arauá,280040,NORDESTE,SERGIPE
Areia Branca,280050,NORDESTE,SERGIPE
Barra dos Coqueiros,280060,NORDESTE,SERGIPE
Boquim,280067,NORDESTE,SERGIPE
Brejo Grande,280070,NORDESTE,SERGIPE
Campo do Brito,280100,NORDESTE,SERGIPE
Canhoba,280110,NORDESTE,SERGIPE
Canindé de São Francisco,280120,NORDESTE,SERGIPE
Capela,280130,NORDESTE,SERGIPE
Carira,280140,NORDESTE,SERGIPE
Carmópolis,280150,NORDESTE,SERGIPE
Cedro de São João,280160,NORDESTE,SERGIPE
Cristinápolis,280170,NORDESTE,SERGIPE
Cumbe,280190,NORDESTE,SERGIPE
Divina Pastora,280200,NORDESTE,SERGIPE
Estância,280210,NORDESTE,SERGIPE
Feira Nova,280220,NORDESTE,SERGIPE
Frei Paulo,280230,NORDESTE,SERGIPE
Gararu,280240,NORDESTE,SERGIPE
General Maynard,280250,NORDESTE,SERGIPE
Gracho Cardoso,280260,NORDESTE,SERGIPE
Ilha das Flores,280270,NORDESTE,SERGIPE
Indiaroba,280280,NORDESTE,SERGIPE
Itabaiana,280290,NORDESTE,SERGIPE
Itabaianinha,280300,NORDESTE,SERGIPE
Itabi,280310,NORDESTE,SERGIPE
Itaporanga d'Ajuda,280320,NORDESTE,SERGIPE
Japaratuba,280330,NORDESTE,SERGIPE
Japoatã,280340,NORDESTE,SERGIPE
Lagarto,280350,NORDESTE,SERGIPE
Laranjeiras,280360,NORDESTE,SERGIPE
Macambira,280370,NORDESTE,SERGIPE
Malhada dos Bois,280380,NORDESTE,SERGIPE
Malhador,280390,NORDESTE,SERGIPE
Maruim,280400,NORDESTE,SERGIPE
Moita Bonita,280410,NORDESTE,SERGIPE
Monte Alegre de Sergipe,280420,NORDESTE,SERGIPE
Muribeca,280430,NORDESTE,SERGIPE
Neópolis,280440,NORDESTE,SERGIPE
Nossa Senhora Aparecida,280445,NORDESTE,SERGIPE
Nossa Senhora da Glória,280450,NORDESTE,SERGIPE
Nossa Senhora das Dores,280460,NORDESTE,SERGIPE
Nossa Senhora de Lourdes,280470,NORDESTE,SERGIPE
Nossa Senhora do Socorro,280480,NORDESTE,SERGIPE
Pacatuba,280490,NORDESTE,SERGIPE
Pedra Mole,280500,NORDESTE,SERGIPE
Pedrinhas,280510,NORDESTE,SERGIPE
Pinhão,280520,NORDESTE,SERGIPE
Pirambu,280530,NORDESTE,SERGIPE
Poço Redondo,280540,NORDESTE,SERGIPE
Poço Verde,280550,NORDESTE,SERGIPE
Porto da Folha,280560,NORDESTE,SERGIPE
Propriá,280570,NORDESTE,SERGIPE
Riachão do Dantas,280580,NORDESTE,SERGIPE
Riachuelo,280590,NORDESTE,SERGIPE
Ribeirópolis,280600,NORDESTE,SERGIPE
Rosário do Catete,280610,NORDESTE,SERGIPE
Salgado,280620,NORDESTE,SERGIPE
Santa Luzia do Itanhy,280630,NORDESTE,SERGIPE
Santana do São Francisco,280640,NORDESTE,SERGIPE
Santa Rosa de Lima,280650,NORDESTE,SERGIPE
Santo Amaro das Brotas,280660,NORDESTE,SERGIPE
São Cristóvão,280670,NORDESTE,SERGIPE
São Domingos,280680,NORDESTE,SERGIPE
São Francisco,280690,NORDESTE,SERGIPE
São Miguel do Aleixo,280700,NORDESTE,SERGIPE
Simão Dias,280710,NORDESTE,SERGIPE
Siriri,280720,NORDESTE,SERGIPE
Telha,280730,NORDESTE,SERGIPE
Tobias Barreto,280740,NORDESTE,SERGIPE
Tomar do Geru,280750,NORDESTE,SERGIPE
Umbaúba,280760,NORDESTE,SERGIPE
Município ignorado - BA,290000,NORDESTE,BAHIA
Abaíra,290010,NORDESTE,BAHIA
Abaré,290020,NORDESTE,BAHIA
Acajutiba,290030,NORDESTE,BAHIA
Adustina,290035,NORDESTE,BAHIA
Água Fria,290040,NORDESTE,BAHIA
Érico Cardoso,290050,NORDESTE,BAHIA
Aiquara,290060,NORDESTE,BAHIA
Alagoinhas,290070,NORDESTE,BAHIA
Alcobaça,290080,NORDESTE,BAHIA
Almadina,290090,NORDESTE,BAHIA
Amargosa,290100,NORDESTE,BAHIA
Amélia Rodrigues,290110,NORDESTE,BAHIA
América Dourada,290115,NORDESTE,BAHIA
Anagé,290120,NORDESTE,BAHIA
Andaraí,290130,NORDESTE,BAHIA
Andorinha,290135,NORDESTE,BAHIA
Angical,290140,NORDESTE,BAHIA
Anguera,290150,NORDESTE,BAHIA
Antas,290160,NORDESTE,BAHIA
Antônio Cardoso,290170,NORDESTE,BAHIA
Antônio Gonçalves,290180,NORDESTE,BAHIA
Aporá,290190,NORDESTE,BAHIA
Apuarema,290195,NORDESTE,BAHIA
Aracatu,290200,NORDESTE,BAHIA
Araças,290205,NORDESTE,BAHIA
Araci,290210,NORDESTE,BAHIA
Aramari,290220,NORDESTE,BAHIA
Arataca,290225,NORDESTE,BAHIA
Aratuípe,290230,NORDESTE,BAHIA
Aurelino Leal,290240,NORDESTE,BAHIA
Baianópolis,290250,NORDESTE,BAHIA
Baixa Grande,290260,NORDESTE,BAHIA
Banzaê,290265,NORDESTE,BAHIA
Barra,290270,NORDESTE,BAHIA
Barra da Estiva,290280,NORDESTE,BAHIA
Barra do Choça,290290,NORDESTE,BAHIA
Barra do Mendes,290300,NORDESTE,BAHIA
Barra do Rocha,290310,NORDESTE,BAHIA
Barreiras,290320,NORDESTE,BAHIA
Barro Alto,290323,NORDESTE,BAHIA
Barrocas,290327,NORDESTE,BAHIA
Barro Preto,290330,NORDESTE,BAHIA
Belmonte,290340,NORDESTE,BAHIA
Belo Campo,290350,NORDESTE,BAHIA
Biritinga,290360,NORDESTE,BAHIA
Boa Nova,290370,NORDESTE,BAHIA
Boa Vista do Tupim,290380,NORDESTE,BAHIA
Bom Jesus da Lapa,290390,NORDESTE,BAHIA
Bom Jesus da Serra,290395,NORDESTE,BAHIA
Boninal,290400,NORDESTE,BAHIA
