res_MUNNOME,CODMUNRES,REGIAO,ESTADO
Uarini,130426,NORTE,AMAZONAS
Urucará,130430,NORTE,AMAZONAS
Urucurituba,130440,NORTE,AMAZONAS
Município ignorado - RR,140000,NORTE,RORAIMA
Amajari,140002,NORTE,RORAIMA
Alto Alegre,140005,NORTE,RORAIMA
Boa Vista,140010,NORTE,RORAIMA
Bonfim,140015,NORTE,RORAIMA
Cantá,140017,NORTE,RORAIMA
Caracaraí,140020,NORTE,RORAIMA
Caroebe,140023,NORTE,RORAIMA
Iracema,140028,NORTE,RORAIMA
Mucajaí,140030,NORTE,RORAIMA
Normandia,140040,NORTE,RORAIMA
Pacaraima,140045,NORTE,RORAIMA
Rorainópolis,140047,NORTE,RORAIMA
São João da Baliza,140050,NORTE,RORAIMA
São Luiz,140060,NORTE,RORAIMA
Uiramutã,140070,NORTE,RORAIMA
Município ignorado - PA,150000,NORTE,PARA
Abaetetuba,150010,NORTE,PARA
Abel Figueiredo,150013,NORTE,PARA
Acará,150020,NORTE,PARA
Afuá,150030,NORTE,PARA
Água Azul do Norte,150034,NORTE,PARA
Alenquer,150040,NORTE,PARA
Almeirim,150050,NORTE,PARA
Altamira,150060,NORTE,PARA
Anajás,150070,NORTE,PARA
Ananindeua,150080,NORTE,PARA
Anapu,150085,NORTE,PARA
Augusto Corrêa,150090,NORTE,PARA
Aurora do Pará,150095,NORTE,PARA
Aveiro,150100,NORTE,PARA
Bagre,150110,NORTE,PARA
Baião,150120,NORTE,PARA
Bannach,150125,NORTE,PARA
Barcarena,150130,NORTE,PARA
Belém,150140,NORTE,PARA
Belterra,150145,NORTE,PARA
Benevides,150150,NORTE,PARA
Bom Jesus do Tocantins,150157,NORTE,PARA
Bonito,150160,NORTE,PARA
Bragança,150170,NORTE,PARA
Brasil Novo,150172,NORTE,PARA
Brejo Grande do Araguaia,150175,NORTE,PARA
Breu Branco,150178,NORTE,PARA
Breves,150180,NORTE,PARA
Bujaru,150190,NORTE,PARA
Cachoeira do Piriá,150195,NORTE,PARA
Cachoeira do Arari,150200,NORTE,PARA
Cametá,150210,NORTE,PARA
Canaã dos Carajás,150215,NORTE,PARA
Capanema,150220,NORTE,PARA
Capitão Poço,150230,NORTE,PARA
Castanhal,150240,NORTE,PARA
Chaves,150250,NORTE,PARA
Colares,150260,NORTE,PARA
Conceição do Araguaia,150270,NORTE,PARA
Concórdia do Pará,150275,NORTE,PARA
Cumaru do Norte,150276,NORTE,PARA
Curionópolis,150277,NORTE,PARA
Curralinho,150280,NORTE,PARA
Curuá,150285,NORTE,PARA
Curuçá,150290,NORTE,PARA
Dom Eliseu,150293,NORTE,PARA
Eldorado dos Carajás,150295,NORTE,PARA
Faro,150300,NORTE,PARA
Floresta do Araguaia,150304,NORTE,PARA
Garrafão do Norte,150307,NORTE,PARA
Goianésia do Pará,150309,NORTE,PARA
Gurupá,150310,NORTE,PARA
Igarapé-Açu,150320,NORTE,PARA
Igarapé-Miri,150330,NORTE,PARA
Inhangapi,150340,NORTE,PARA
Ipixuna do Pará,150345,NORTE,PARA
Irituia,150350,NORTE,PARA
Itaituba,150360,NORTE,PARA
Itupiranga,150370,NORTE,PARA
Jacareacanga,150375,NORTE,PARA
Jacundá,150380,NORTE,PARA
Juruti,150390,NORTE,PARA
Limoeiro do Ajuru,150400,NORTE,PARA
Mãe do Rio,150405,NORTE,PARA
Magalhães Barata,150410,NORTE,PARA
Marabá,150420,NORTE,PARA
