CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total,Ratio
110015,2012,23.0,647,0.03554868624420402
110015,2013,25.0,639,0.03912363067292645
110015,2014,19.0,674,0.028189910979228485
110015,2015,30.0,767,0.03911342894393742
110015,2016,27.0,582,0.04639175257731959
110015,2017,20.0,578,0.03460207612456748
110015,2018,21.0,614,0.03420195439739414
110015,2019,25.0,631,0.039619651347068144
110015,2020,18.0,600,0.03
110018,2012,39.0,553,0.0705244122965642
110018,2013,29.0,581,0.04991394148020654
110018,2014,29.0,597,0.048576214405360134
110018,2015,27.0,594,0.045454545454545456
110018,2016,31.0,601,0.051580698835274545
110018,2017,33.0,615,0.05365853658536585
110018,2018,36.0,651,0.055299539170506916
110018,2019,25.0,616,0.040584415584415584
110018,2020,29.0,579,0.05008635578583765
110020,2012,306.0,8941,0.0342243596913097
110020,2013,295.0,8927,0.0330458160636272
110020,2014,200.0,9130,0.02190580503833516
110020,2015,266.0,9093,0.029253271747498075
110020,2016,171.0,8611,0.01985832075252584
110020,2017,202.0,8800,0.022954545454545453
110020,2018,232.0,8752,0.026508226691042046
110020,2019,166.0,8437,0.019675240014223064
110020,2020,145.0,7893,0.01837070822247561
110025,2012,11.0,243,0.04526748971193416
110025,2013,6.0,258,0.023255813953488372
110025,2014,14.0,289,0.04844290657439446
110025,2015,10.0,262,0.03816793893129771
110025,2016,15.0,276,0.05434782608695652
110025,2017,19.0,289,0.0657439446366782
110025,2018,16.0,294,0.05442176870748299
110025,2019,13.0,304,0.04276315789473684
110025,2020,14.0,259,0.05405405405405406
110026,2012,2.0,41,0.04878048780487805
110026,2013,3.0,38,0.07894736842105263
110026,2014,1.0,36,0.027777777777777776
110026,2015,0.0,36,0.0
110026,2016,0.0,35,0.0
110026,2017,1.0,49,0.02040816326530612
110026,2018,4.0,46,0.08695652173913043
110026,2019,2.0,50,0.04
110026,2020,3.0,48,0.0625
110028,2012,29.0,927,0.03128371089536138
110028,2013,26.0,879,0.02957906712172924
110028,2014,21.0,947,0.022175290390707498
110028,2015,34.0,936,0.03632478632478633
110028,2016,24.0,855,0.028070175438596492
110028,2017,17.0,963,0.017653167185877467
110028,2018,33.0,900,0.03666666666666667
110028,2019,50.0,927,0.05393743257820928
110028,2020,54.0,877,0.06157354618015964
110029,2012,3.0,118,0.025423728813559324
110029,2013,2.0,98,0.02040816326530612
110029,2014,5.0,103,0.04854368932038835
110029,2015,4.0,109,0.03669724770642202
110029,2016,5.0,114,0.043859649122807015
110029,2017,2.0,112,0.017857142857142856
110029,2018,4.0,103,0.038834951456310676
110029,2019,7.0,99,0.0707070707070707
110029,2020,8.0,99,0.08080808080808081
110030,2012,12.0,1269,0.009456264775413711
110030,2013,9.0,1388,0.006484149855907781
110030,2014,18.0,1418,0.012693935119887164
110030,2015,47.0,1535,0.03061889250814332
110030,2016,77.0,1427,0.0539593552908199
110030,2017,69.0,1465,0.04709897610921502
110030,2018,27.0,1557,0.017341040462427744
110030,2019,39.0,1590,0.024528301886792454
110030,2020,84.0,1553,0.0540888602704443
110032,2012,26.0,313,0.08306709265175719
110032,2013,18.0,355,0.05070422535211268
110032,2014,20.0,364,0.054945054945054944
110032,2015,12.0,311,0.03858520900321544
110032,2016,23.0,337,0.06824925816023739
110032,2017,11.0,372,0.02956989247311828
110032,2018,16.0,391,0.04092071611253197
110032,2019,8.0,353,0.0226628895184136
110032,2020,16.0,363,0.0440771349862259
110033,2012,19.0,383,0.04960835509138381
110033,2013,16.0,416,0.038461538461538464
110033,2014,17.0,425,0.04
110033,2015,13.0,404,0.03217821782178218
110033,2016,13.0,411,0.031630170316301706
110033,2017,12.0,487,0.024640657084188913
110033,2018,6.0,482,0.012448132780082987
110033,2019,4.0,432,0.009259259259259259
110033,2020,4.0,423,0.009456264775413711
110034,2012,7.0,189,0.037037037037037035
110034,2013,11.0,220,0.05
110034,2014,13.0,184,0.07065217391304347
110034,2015,14.0,200,0.07
110034,2016,9.0,166,0.05421686746987952
