CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total,Ratio
110015,2014,13.0,674,0.019287833827893175
110015,2015,14.0,767,0.018252933507170794
110015,2016,8.0,582,0.013745704467353952
110015,2017,7.0,578,0.012110726643598616
110015,2018,6.0,614,0.009771986970684038
110015,2019,16.0,631,0.025356576862123614
110015,2020,18.0,600,0.03
110018,2012,9.0,553,0.0162748643761302
110018,2013,11.0,581,0.0189328743545611
110018,2014,15.0,597,0.02512562814070352
110018,2015,11.0,594,0.018518518518518517
110018,2016,6.0,601,0.009983361064891847
110018,2017,17.0,615,0.027642276422764227
110018,2018,8.0,651,0.01228878648233487
110018,2019,4.0,616,0.006493506493506494
110018,2020,9.0,579,0.015544041450777202
110020,2012,194.0,8941,0.02169779666703948
110020,2013,173.0,8927,0.019379410776296627
110020,2014,152.0,9130,0.01664841182913472
110020,2015,174.0,9093,0.019135598812273176
110020,2016,158.0,8611,0.01834862385321101
110020,2017,123.0,8800,0.013977272727272727
110020,2018,181.0,8752,0.020680987202925046
110020,2019,188.0,8437,0.022282801943818892
110020,2020,143.0,7893,0.018117319143544912
110025,2012,4.0,243,0.01646090534979424
110025,2013,8.0,258,0.031007751937984496
110025,2014,6.0,289,0.020761245674740483
110025,2015,4.0,262,0.015267175572519083
110025,2016,7.0,276,0.025362318840579712
110025,2017,12.0,289,0.04152249134948097
110025,2018,0.0,294,0.0
110025,2019,2.0,304,0.006578947368421052
110025,2020,7.0,259,0.02702702702702703
110026,2012,0.0,41,0.0
110026,2013,0.0,38,0.0
110026,2014,2.0,36,0.05555555555555555
110026,2015,0.0,36,0.0
110026,2016,0.0,35,0.0
110026,2017,0.0,49,0.0
110026,2018,0.0,46,0.0
110026,2019,2.0,50,0.04
110026,2020,0.0,48,0.0
110028,2012,24.0,927,0.025889967637540454
110028,2013,10.0,879,0.011376564277588168
110028,2014,13.0,947,0.013727560718057022
110028,2015,12.0,936,0.01282051282051282
110028,2016,10.0,855,0.011695906432748537
110028,2017,11.0,963,0.01142263759086189
110028,2018,20.0,900,0.022222222222222223
110028,2019,28.0,927,0.030204962243797196
110028,2020,16.0,877,0.018244013683010263
110029,2012,0.0,118,0.0
110029,2013,0.0,98,0.0
110029,2014,2.0,103,0.019417475728155338
110029,2015,2.0,109,0.01834862385321101
110029,2016,4.0,114,0.03508771929824561
