CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total,Ratio
110015,2017,26.0,578,0.04498269896193772
110015,2018,17.0,614,0.02768729641693811
110015,2019,18.0,631,0.028526148969889066
110015,2020,8.0,600,0.013333333333333334
110018,2012,19.0,553,0.034358047016274866
110018,2013,0.0,581,0.0
110018,2014,2.0,597,0.0033500837520938024
110018,2015,13.0,594,0.021885521885521887
110018,2016,12.0,601,0.019966722129783693
110018,2017,8.0,615,0.013008130081300813
110018,2018,8.0,651,0.01228878648233487
110018,2019,7.0,616,0.011363636363636364
110018,2020,3.0,579,0.0051813471502590676
110020,2012,956.0,8941,0.10692316295716363
110020,2013,0.0,8927,0.0
110020,2014,3306.0,9130,0.3621029572836802
110020,2015,1609.0,9093,0.17694930166061806
110020,2016,1160.0,8611,0.13471141563116942
110020,2017,1049.0,8800,0.11920454545454545
110020,2018,835.0,8752,0.09540676416819013
110020,2019,800.0,8437,0.09482043380348465
110020,2020,815.0,7893,0.10325604966425947
110025,2012,25.0,243,0.102880658436214
110025,2013,0.0,258,0.0
110025,2014,7.0,289,0.02422145328719723
110025,2015,8.0,262,0.030534351145038167
110025,2016,5.0,276,0.018115942028985508
110025,2017,24.0,289,0.08304498269896193
110025,2018,11.0,294,0.03741496598639456
110025,2019,10.0,304,0.03289473684210526
110025,2020,9.0,259,0.03474903474903475
110026,2012,9.0,41,0.21951219512195122
110026,2013,0.0,38,0.0
110026,2014,1.0,36,0.027777777777777776
110026,2015,15.0,36,0.4166666666666667
110026,2016,27.0,35,0.7714285714285715
110026,2017,43.0,49,0.8775510204081632
110026,2018,4.0,46,0.08695652173913043
110026,2019,0.0,50,0.0
110026,2020,1.0,48,0.020833333333333332
110028,2012,8.0,927,0.008629989212513484
110028,2013,0.0,879,0.0
110028,2014,21.0,947,0.022175290390707498
110028,2015,7.0,936,0.007478632478632479
110028,2016,3.0,855,0.0035087719298245615
110028,2017,10.0,963,0.010384215991692628
110028,2018,19.0,900,0.021111111111111112
110028,2019,26.0,927,0.028047464940668825
110028,2020,20.0,877,0.02280501710376283
110029,2012,13.0,118,0.11016949152542373
110029,2013,0.0,98,0.0
110029,2014,3.0,103,0.02912621359223301
110029,2015,2.0,109,0.01834862385321101
110029,2016,1.0,114,0.008771929824561403
110029,2017,1.0,112,0.008928571428571428
110029,2018,1.0,103,0.009708737864077669
110029,2019,3.0,99,0.030303030303030304
110029,2020,0.0,99,0.0
110030,2012,87.0,1269,0.06855791962174941
110030,2013,0.0,1388,0.0
110030,2014,13.0,1418,0.009167842031029619
110030,2015,101.0,1535,0.06579804560260587
110030,2016,5.0,1427,0.00350385423966363
110030,2017,35.0,1465,0.023890784982935155
110030,2018,19.0,1557,0.012202954399486191
110030,2019,21.0,1590,0.013207547169811321
110030,2020,37.0,1553,0.023824855119124275
110032,2012,5.0,313,0.01597444089456869
110032,2013,0.0,355,0.0
110032,2014,4.0,364,0.01098901098901099
110032,2015,6.0,311,0.01929260450160772
110032,2016,5.0,337,0.01483679525222552
110032,2017,8.0,372,0.021505376344086023
110032,2018,1.0,391,0.0025575447570332483
110032,2019,6.0,353,0.0169971671388102
110032,2020,10.0,363,0.027548209366391185
110033,2012,9.0,383,0.02349869451697128
110033,2013,0.0,416,0.0
110033,2014,21.0,425,0.04941176470588235
110033,2015,29.0,404,0.07178217821782178
110033,2016,31.0,411,0.07542579075425791
110033,2017,34.0,487,0.06981519507186858
110033,2018,70.0,482,0.14522821576763487
110033,2019,30.0,432,0.06944444444444445
110033,2020,10.0,423,0.02364066193853428
110034,2012,8.0,189,0.042328042328042326
110034,2013,0.0,220,0.0
110034,2014,14.0,184,0.07608695652173914
110034,2015,5.0,200,0.025
110034,2016,8.0,166,0.04819277108433735
110034,2017,19.0,178,0.10674157303370786
110034,2018,9.0,162,0.05555555555555555
110034,2019,13.0,205,0.06341463414634146
110034,2020,12.0,210,0.05714285714285714
110037,2012,3.0,189,0.015873015873015872
110037,2013,0.0,163,0.0
110037,2014,0.0,172,0.0
110037,2015,1.0,149,0.006711409395973154
110037,2016,3.0,168,0.017857142857142856
110037,2017,0.0,172,0.0
110037,2018,4.0,160,0.025
110037,2019,1.0,154,0.006493506493506494
110037,2020,4.0,146,0.0273972602739726
110040,2012,44.0,194,0.2268041237113402
110040,2013,0.0,211,0.0
110040,2014,10.0,254,0.03937007874015748
110040,2015,60.0,247,0.242914979757085
110040,2016,163.0,220,0.740909090909091
110040,2017,192.0,242,0.7933884297520661
110040,2018,46.0,219,0.2100456621004566
110040,2019,3.0,226,0.01327433628318584
110040,2020,5.0,218,0.022935779816513763
110045,2012,21.0,555,0.03783783783783784
110045,2013,0.0,598,0.0
110045,2014,57.0,620,0.09193548387096774
110045,2015,69.0,608,0.11348684210526316
110045,2016,98.0,624,0.15705128205128205
110045,2017,35.0,632,0.055379746835443035
110045,2018,23.0,617,0.03727714748784441
110045,2019,3.0,583,0.005145797598627788
110045,2020,1.0,508,0.001968503937007874
110050,2012,1.0,125,0.008
110050,2013,0.0,122,0.0
110050,2014,2.0,93,0.021505376344086023
110050,2015,0.0,109,0.0
110050,2016,0.0,95,0.0
110050,2017,1.0,91,0.01098901098901099
110050,2018,1.0,111,0.009009009009009009
110050,2019,0.0,98,0.0
110050,2020,3.0,78,0.038461538461538464
110060,2012,12.0,61,0.19672131147540983
110060,2013,0.0,63,0.0
110060,2014,2.0,58,0.034482758620689655
110060,2015,27.0,72,0.375
110060,2016,50.0,67,0.746268656716418
110060,2017,51.0,71,0.7183098591549296
110060,2018,12.0,80,0.15
110060,2019,6.0,75,0.08
110060,2020,3.0,70,0.04285714285714286
110070,2012,14.0,164,0.08536585365853659
110070,2013,0.0,183,0.0
110070,2014,10.0,181,0.055248618784530384
110070,2015,22.0,156,0.14102564102564102
110070,2016,32.0,162,0.19753086419753085
110070,2017,40.0,174,0.22988505747126436
110070,2018,20.0,195,0.10256410256410256
110070,2019,1.0,166,0.006024096385542169
