CODMUNRES,Ano,Qtd_Neonatal_Precoce,Qtd_Total,Ratio
110020,2015,51.0,9093,0.005608709996700759
110020,2016,37.0,8611,0.0042968296365114384
110020,2017,27.0,8800,0.003068181818181818
110020,2018,30.0,8752,0.0034277879341864715
110020,2019,36.0,8437,0.00426691952115681
110025,2012,0.0,243,0.0
110025,2013,0.0,258,0.0
110025,2014,1.0,289,0.0034602076124567475
110025,2015,2.0,262,0.007633587786259542
110025,2016,1.0,276,0.0036231884057971015
110025,2017,2.0,289,0.006920415224913495
110025,2018,0.0,294,0.0
110025,2019,1.0,304,0.003289473684210526
110026,2012,0.0,41,0.0
110026,2013,0.0,38,0.0
110026,2014,0.0,36,0.0
110026,2015,0.0,36,0.0
110026,2016,0.0,35,0.0
110026,2017,0.0,49,0.0
110026,2018,0.0,46,0.0
110026,2019,0.0,50,0.0
110028,2012,4.0,927,0.004314994606256742
110028,2013,1.0,879,0.0011376564277588168
110028,2014,2.0,947,0.0021119324181626186
110028,2015,7.0,936,0.007478632478632479
110028,2016,2.0,855,0.0023391812865497076
110028,2017,1.0,963,0.0010384215991692627
110028,2018,1.0,900,0.0011111111111111111
110028,2019,1.0,927,0.0010787486515641855
110029,2012,0.0,118,0.0
110029,2013,1.0,98,0.01020408163265306
110029,2014,2.0,103,0.019417475728155338
110029,2015,0.0,109,0.0
110029,2016,0.0,114,0.0
110029,2017,0.0,112,0.0
110029,2018,0.0,103,0.0
110029,2019,0.0,99,0.0
110030,2012,7.0,1269,0.005516154452324665
110030,2013,6.0,1388,0.004322766570605188
110030,2014,4.0,1418,0.0028208744710860366
110030,2015,3.0,1535,0.001954397394136808
110030,2016,5.0,1427,0.00350385423966363
110030,2017,3.0,1465,0.0020477815699658703
110030,2018,4.0,1557,0.002569043031470777
110030,2019,4.0,1590,0.0025157232704402514
110032,2012,0.0,313,0.0
110032,2013,1.0,355,0.0028169014084507044
110032,2014,2.0,364,0.005494505494505495
110032,2015,0.0,311,0.0
110032,2016,0.0,337,0.0
110032,2017,3.0,372,0.008064516129032258
110032,2018,2.0,391,0.005115089514066497
110032,2019,1.0,353,0.0028328611898017
110033,2012,0.0,383,0.0
110033,2013,2.0,416,0.004807692307692308
110033,2014,0.0,425,0.0
110033,2015,4.0,404,0.009900990099009901
110033,2016,1.0,411,0.0024330900243309003
110033,2017,2.0,487,0.004106776180698152
110033,2018,3.0,482,0.006224066390041493
110033,2019,0.0,432,0.0
110034,2012,0.0,189,0.0
110034,2013,0.0,220,0.0
110034,2014,0.0,184,0.0
110034,2015,2.0,200,0.01
110034,2016,0.0,166,0.0
110034,2017,2.0,178,0.011235955056179775
110034,2018,0.0,162,0.0
110034,2019,0.0,205,0.0
110037,2012,1.0,189,0.005291005291005291
110037,2013,1.0,163,0.006134969325153374
110037,2014,2.0,172,0.011627906976744186
110037,2015,0.0,149,0.0
110037,2016,0.0,168,0.0
110037,2017,0.0,172,0.0
110037,2018,0.0,160,0.0
110037,2019,1.0,154,0.006493506493506494
110040,2012,0.0,194,0.0
110040,2013,0.0,211,0.0
110040,2014,2.0,254,0.007874015748031496
110040,2015,1.0,247,0.004048582995951417
110040,2016,2.0,220,0.00909090909090909
110040,2017,2.0,242,0.008264462809917356
110040,2018,1.0,219,0.0045662100456621
110040,2019,0.0,226,0.0
110045,2012,2.0,555,0.0036036036036036037
110045,2013,0.0,598,0.0
110045,2014,4.0,620,0.0064516129032258064
110045,2015,4.0,608,0.006578947368421052
110045,2016,1.0,624,0.0016025641025641025
110045,2017,5.0,632,0.007911392405063292
110045,2018,3.0,617,0.004862236628849271
110045,2019,1.0,583,0.0017152658662092624
110050,2012,0.0,125,0.0
110050,2013,0.0,122,0.0
110050,2014,0.0,93,0.0
110050,2015,0.0,109,0.0
110050,2016,0.0,95,0.0
110050,2017,0.0,91,0.0
110050,2018,0.0,111,0.0
110050,2019,0.0,98,0.0
110060,2012,0.0,61,0.0
110060,2013,0.0,63,0.0
110060,2014,1.0,58,0.017241379310344827
110060,2015,0.0,72,0.0
110060,2016,0.0,67,0.0
110060,2017,0.0,71,0.0
110060,2018,0.0,80,0.0
110060,2019,0.0,75,0.0
110070,2012,1.0,164,0.006097560975609756
110070,2013,0.0,183,0.0
110070,2014,0.0,181,0.0
110070,2015,0.0,156,0.0
110070,2016,0.0,162,0.0
110070,2017,0.0,174,0.0
110070,2018,0.0,195,0.0
110070,2019,1.0,166,0.006024096385542169
110080,2012,5.0,430,0.011627906976744186
110080,2013,6.0,405,0.014814814814814815
110080,2014,3.0,296,0.010135135135135136
110080,2015,3.0,323,0.009287925696594427
110080,2016,2.0,372,0.005376344086021506
110080,2017,1.0,397,0.0025188916876574307
110080,2018,1.0,421,0.0023752969121140144
110080,2019,2.0,337,0.005934718100890208
110090,2012,1.0,53,0.018867924528301886
