CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total,Ratio
110020,2014,1222.0,9129,0.13385913024427648
110020,2015,1614.0,9093,0.17749917518970637
110020,2016,1648.0,8610,0.1914053426248548
110020,2017,1820.0,8799,0.20684168655529037
110020,2018,1895.0,8752,0.2165219378427788
110020,2019,1803.0,8437,0.21370155268460353
110025,2012,40.0,243,0.1646090534979424
110025,2013,0.0,258,0.0
110025,2014,84.0,289,0.2906574394463668
110025,2015,88.0,262,0.33587786259541985
110025,2016,78.0,276,0.2826086956521739
110025,2017,77.0,289,0.2664359861591695
110025,2018,95.0,294,0.3231292517006803
110025,2019,94.0,304,0.3092105263157895
110026,2012,11.0,41,0.2682926829268293
110026,2013,0.0,38,0.0
110026,2014,5.0,36,0.1388888888888889
110026,2015,7.0,36,0.19444444444444445
110026,2016,3.0,35,0.08571428571428572
110026,2017,3.0,49,0.061224489795918366
110026,2018,12.0,46,0.2608695652173913
110026,2019,19.0,50,0.38
110028,2012,289.0,927,0.3117583603020496
110028,2013,0.0,878,0.0
110028,2014,351.0,947,0.3706441393875396
110028,2015,311.0,936,0.33226495726495725
110028,2016,316.0,855,0.3695906432748538
110028,2017,383.0,963,0.39771547248182765
110028,2018,365.0,900,0.40555555555555556
110028,2019,364.0,927,0.3926645091693635
110029,2012,36.0,118,0.3050847457627119
110029,2013,0.0,98,0.0
110029,2014,34.0,103,0.3300970873786408
110029,2015,39.0,109,0.3577981651376147
110029,2016,41.0,114,0.35964912280701755
110029,2017,48.0,112,0.42857142857142855
110029,2018,45.0,103,0.4368932038834951
110029,2019,43.0,99,0.43434343434343436
110030,2012,317.0,1267,0.250197316495659
110030,2013,0.0,1388,0.0
110030,2014,492.0,1418,0.3469675599435825
110030,2015,535.0,1535,0.3485342019543974
110030,2016,541.0,1427,0.37911702873160474
110030,2017,464.0,1465,0.3167235494880546
110030,2018,537.0,1557,0.3448940269749518
110030,2019,602.0,1590,0.3786163522012579
110032,2012,99.0,313,0.31629392971246006
110032,2013,0.0,355,0.0
110032,2014,114.0,364,0.3131868131868132
110032,2015,88.0,310,0.2838709677419355
110032,2016,107.0,337,0.31750741839762614
110032,2017,134.0,372,0.3602150537634409
110032,2018,148.0,391,0.37851662404092073
110032,2019,147.0,353,0.4164305949008499
110033,2012,68.0,383,0.17754569190600522
110033,2013,0.0,416,0.0
110033,2014,96.0,425,0.22588235294117648
110033,2015,100.0,404,0.24752475247524752
110033,2016,97.0,411,0.2360097323600973
110033,2017,127.0,487,0.26078028747433263
110033,2018,101.0,482,0.2095435684647303
110033,2019,113.0,432,0.26157407407407407
110034,2012,16.0,189,0.08465608465608465
110034,2013,0.0,220,0.0
110034,2014,42.0,184,0.22826086956521738
110034,2015,59.0,200,0.295
110034,2016,54.0,166,0.3253012048192771
110034,2017,49.0,178,0.2752808988764045
110034,2018,50.0,162,0.30864197530864196
110034,2019,51.0,205,0.24878048780487805
110037,2012,61.0,189,0.32275132275132273
110037,2013,0.0,163,0.0
110037,2014,69.0,172,0.4011627906976744
110037,2015,60.0,149,0.40268456375838924
110037,2016,61.0,168,0.3630952380952381
110037,2017,61.0,172,0.3546511627906977
110037,2018,55.0,160,0.34375
110037,2019,58.0,154,0.37662337662337664
110040,2012,42.0,194,0.21649484536082475
110040,2013,0.0,211,0.0
110040,2014,68.0,254,0.2677165354330709
110040,2015,68.0,247,0.27530364372469635
110040,2016,20.0,220,0.09090909090909091
110040,2017,11.0,242,0.045454545454545456
110040,2018,69.0,219,0.3150684931506849
110040,2019,93.0,226,0.41150442477876104
110045,2012,125.0,555,0.22522522522522523
110045,2013,0.0,598,0.0
110045,2014,184.0,620,0.2967741935483871
110045,2015,179.0,608,0.2944078947368421
110045,2016,171.0,624,0.27403846153846156
110045,2017,197.0,632,0.31170886075949367
110045,2018,213.0,617,0.34521880064829824
110045,2019,213.0,583,0.3653516295025729
110050,2012,42.0,125,0.336
110050,2013,0.0,122,0.0
110050,2014,32.0,93,0.34408602150537637
110050,2015,28.0,109,0.25688073394495414
110050,2016,33.0,95,0.3473684210526316
110050,2017,25.0,91,0.27472527472527475
110050,2018,31.0,111,0.27927927927927926
110050,2019,44.0,98,0.4489795918367347
110060,2012,16.0,61,0.26229508196721313
110060,2013,0.0,63,0.0
110060,2014,12.0,58,0.20689655172413793
110060,2015,13.0,72,0.18055555555555555
110060,2016,1.0,67,0.014925373134328358
110060,2017,4.0,71,0.056338028169014086
110060,2018,27.0,80,0.3375
110060,2019,22.0,75,0.29333333333333333
110070,2012,38.0,164,0.23170731707317074
110070,2013,0.0,183,0.0
110070,2014,50.0,181,0.27624309392265195
110070,2015,41.0,156,0.26282051282051283
110070,2016,48.0,162,0.2962962962962963
110070,2017,37.0,174,0.21264367816091953
110070,2018,62.0,195,0.31794871794871793
110070,2019,62.0,166,0.37349397590361444
110080,2012,56.0,430,0.13023255813953488
110080,2013,0.0,404,0.0
110080,2014,57.0,296,0.19256756756756757
110080,2015,63.0,323,0.19504643962848298
110080,2016,59.0,372,0.1586021505376344
110080,2017,76.0,397,0.19143576826196473
110080,2018,92.0,421,0.21852731591448932
110080,2019,80.0,337,0.23738872403560832
110090,2012,17.0,53,0.32075471698113206
110090,2013,0.0,36,0.0
110090,2014,12.0,46,0.2608695652173913
110090,2015,18.0,52,0.34615384615384615
110090,2016,14.0,55,0.2545454545454545
110090,2017,17.0,39,0.4358974358974359
110090,2018,19.0,56,0.3392857142857143
110090,2019,12.0,32,0.375
110092,2012,31.0,118,0.2627118644067797
110092,2013,0.0,158,0.0
110092,2014,55.0,158,0.34810126582278483
110092,2015,56.0,154,0.36363636363636365
110092,2016,58.0,153,0.3790849673202614
110092,2017,66.0,169,0.3905325443786982
110092,2018,58.0,181,0.32044198895027626
110092,2019,65.0,162,0.4012345679012346
110094,2012,26.0,161,0.16149068322981366
110094,2013,0.0,203,0.0
110094,2014,72.0,240,0.3
110094,2015,69.0,274,0.2518248175182482
110094,2016,36.0,241,0.14937759336099585
110094,2017,33.0,209,0.15789473684210525
110094,2018,68.0,229,0.29694323144104806
110094,2019,74.0,205,0.36097560975609755
110100,2012,20.0,133,0.15037593984962405
110100,2013,0.0,116,0.0
110100,2014,52.0,124,0.41935483870967744
110100,2015,36.0,132,0.2727272727272727
110100,2016,29.0,112,0.25892857142857145
110100,2017,36.0,109,0.3302752293577982
110100,2018,59.0,133,0.44360902255639095
110100,2019,39.0,112,0.3482142857142857
110110,2012,23.0,114,0.20175438596491227
110110,2013,0.0,123,0.0
110110,2014,17.0,97,0.17525773195876287
110110,2015,10.0,112,0.08928571428571429
110110,2016,19.0,129,0.14728682170542637
110110,2017,13.0,95,0.1368421052631579
110110,2018,20.0,92,0.21739130434782608
110110,2019,27.0,109,0.24770642201834864
110120,2012,21.0,100,0.21
110120,2013,0.0,104,0.0
110120,2014,46.0,107,0.42990654205607476
110120,2015,19.0,93,0.20430107526881722
110120,2016,31.0,93,0.3333333333333333
110120,2017,35.0,100,0.35
110120,2018,26.0,92,0.2826086956521739
110120,2019,27.0,84,0.32142857142857145
110130,2012,28.0,148,0.1891891891891892
110130,2013,0.0,122,0.0
110130,2014,41.0,137,0.29927007299270075
110130,2015,47.0,179,0.26256983240223464
110130,2016,40.0,148,0.2702702702702703
110130,2017,48.0,156,0.3076923076923077
110130,2018,47.0,160,0.29375
110130,2019,60.0,164,0.36585365853658536
110140,2012,51.0,170,0.3
110140,2013,0.0,223,0.0
110140,2014,53.0,204,0.25980392156862747
110140,2015,65.0,240,0.2708333333333333
110140,2016,38.0,173,0.21965317919075145
110140,2017,34.0,200,0.17
110140,2018,74.0,220,0.33636363636363636
110140,2019,74.0,199,0.37185929648241206
110143,2012,18.0,99,0.18181818181818182
110143,2013,0.0,82,0.0
110143,2014,37.0,110,0.33636363636363636
110143,2015,10.0,73,0.136986301369863
110143,2016,28.0,90,0.3111111111111111
110143,2017,31.0,94,0.32978723404255317
110143,2018,28.0,87,0.3218390804597701
110143,2019,33.0,104,0.3173076923076923
110145,2012,21.0,63,0.3333333333333333
110145,2013,0.0,55,0.0
110145,2014,21.0,49,0.42857142857142855
110145,2015,22.0,54,0.4074074074074074
110145,2016,23.0,50,0.46
110145,2017,17.0,51,0.3333333333333333
110145,2018,29.0,53,0.5471698113207547
110145,2019,18.0,44,0.4090909090909091
110146,2012,7.0,51,0.13725490196078433
110146,2013,0.0,42,0.0
