CODMUNRES,ano_nasc,Qtd_Total
110145,2019,44
110146,2012,51
110146,2013,42
110146,2014,37
110146,2015,52
110146,2016,34
110146,2017,52
110146,2018,52
110146,2019,40
110147,2012,43
110147,2013,39
110147,2014,47
110147,2015,40
110147,2016,56
110147,2017,63
110147,2018,38
110147,2019,43
110148,2012,64
110148,2013,61
110148,2014,59
110148,2015,73
110148,2016,54
110148,2017,75
110148,2018,54
110148,2019,54
110149,2012,246
110149,2013,266
110149,2014,308
110149,2015,319
110149,2016,305
110149,2017,333
110149,2018,327
110149,2019,303
110150,2012,190
110150,2013,184
110150,2014,170
110150,2015,188
110150,2016,171
110150,2017,188
110150,2018,154
110150,2019,168
110155,2012,57
110155,2013,80
110155,2014,69
110155,2015,71
110155,2016,59
110155,2017,58
110155,2018,60
110155,2019,64
110160,2012,133
110160,2013,106
110160,2014,125
110160,2015,107
110160,2016,131
110160,2017,146
110160,2018,131
110160,2019,97
110170,2012,146
110170,2013,150
110170,2014,122
110170,2015,138
110170,2016,151
110170,2017,150
110170,2018,139
110170,2019,170
110175,2012,86
110175,2013,89
110175,2014,128
110175,2015,106
110175,2016,110
110175,2017,86
110175,2018,91
110175,2019,93
110180,2012,83
110180,2013,107
110180,2014,90
110180,2015,63
110180,2016,98
110180,2017,79
110180,2018,95
110180,2019,81
120000,2012,1
120001,2012,253
120001,2013,258
120001,2014,269
120001,2015,217
120001,2016,222
120001,2017,256
120001,2018,216
120001,2019,257
120005,2012,219
120005,2013,213
120005,2014,196
120005,2015,238
120005,2016,190
120005,2017,248
120005,2018,264
120005,2019,266
120010,2012,505
120010,2013,530
120010,2014,547
120010,2015,531
120010,2016,490
120010,2017,570
120010,2018,540
120010,2019,540
120013,2012,198
120013,2013,202
120013,2014,242
120013,2015,248
120013,2016,248
120013,2017,307
120013,2018,306
120013,2019,329
120017,2012,201
120017,2013,193
120017,2014,234
120017,2015,219
120017,2016,194
120017,2017,243
120017,2018,222
120017,2019,217
120020,2012,1741
120020,2013,1783
120020,2014,1818
120020,2015,1839
120020,2016,1632
120020,2017,1684
120020,2018,1756
120020,2019,1809
120025,2012,282
120025,2013,275
120025,2014,262
120025,2015,279
120025,2016,270
120025,2017,291
120025,2018,273
120025,2019,314
120030,2012,904
120030,2013,791
120030,2014,829
120030,2015,772
120030,2016,834
120030,2017,833
120030,2018,833
120030,2019,871
120032,2012,269
120032,2013,271
120032,2014,282
120032,2015,273
120032,2016,263
120032,2017,266
120032,2018,274
120032,2019,218
120033,2012,386
120033,2013,399
120033,2014,413
120033,2015,395
120033,2016,325
120033,2017,358
120033,2018,367
120033,2019,345
120034,2012,256
120034,2013,229
120034,2014,243
120034,2015,266
120034,2016,236
120034,2017,261
120034,2018,252
120034,2019,230
120035,2012,474
120035,2013,485
120035,2014,458
120035,2015,445
120035,2016,352
120035,2017,388
120035,2018,407
120035,2019,448
120038,2012,353
120038,2013,334
120038,2014,322
120038,2015,350
120038,2016,339
120038,2017,305
120038,2018,309
120038,2019,318
120039,2012,338
120039,2013,287
120039,2014,250
120039,2015,262
120039,2016,230
120039,2017,282
120039,2018,254
120039,2019,270
120040,2012,6531
120040,2013,7116
120040,2014,7011
120040,2015,6965
120040,2016,6614
120040,2017,6460
120040,2018,6495
120040,2019,6324
120042,2012,390
120042,2013,363
120042,2014,394
120042,2015,396
120042,2016,304
120042,2017,366
120042,2018,394
120042,2019,334
120043,2012,259
120043,2013,223
120043,2014,185
120043,2015,150
120043,2016,95
120043,2017,198
120043,2018,207
120043,2019,186
120045,2012,396
120045,2013,425
120045,2014,453
120045,2015,443
120045,2016,410
120045,2017,395
120045,2018,476
120045,2019,417
120050,2012,929
120050,2013,904
120050,2014,827
120050,2015,847
120050,2016,762
120050,2017,780
120050,2018,788
120050,2019,768
120060,2012,1158
120060,2013,1138
120060,2014,1230
120060,2015,1165
120060,2016,1078
120060,2017,1132
120060,2018,1193
120060,2019,1143
120070,2012,311
120070,2013,294
120070,2014,306
120070,2015,322
120070,2016,329
120070,2017,305
120070,2018,325
120070,2019,297
120080,2012,346
120080,2013,362
120080,2014,368
120080,2015,358
120080,2016,356
120080,2017,430
120080,2018,392
120080,2019,379
130000,2012,8
130000,2013,18
130000,2014,23
130000,2015,18
130000,2016,25
130000,2017,17
130000,2018,25
130000,2019,12
130002,2012,320
130002,2013,346
130002,2014,308
130002,2015,342
130002,2016,325
130002,2017,401
130002,2018,346
130002,2019,418
130006,2012,242
130006,2013,261
130006,2014,264
130006,2015,214
130006,2016,280
130006,2017,267
130006,2018,247
130006,2019,265
130008,2012,199
130008,2013,201
130008,2014,212
130008,2015,163
130008,2016,182
130008,2017,196
130008,2018,214
130008,2019,190
130010,2012,247
130010,2013,285
130010,2014,267
130010,2015,255
130010,2016,266
130010,2017,257
130010,2018,247
130010,2019,233
130014,2012,195
130014,2013,223
130014,2014,223
130014,2015,204
130014,2016,211
130014,2017,233
130014,2018,242
130014,2019,239
130020,2012,357
130020,2013,354
130020,2014,435
130020,2015,439
130020,2016,380
130020,2017,382
130020,2018,357
130020,2019,313
130030,2012,877
130030,2013,877
130030,2014,955
130030,2015,829
130030,2016,890
130030,2017,897
130030,2018,948
130030,2019,872
130040,2012,469
130040,2013,480
130040,2014,419
130040,2015,505
130040,2016,496
130040,2017,524
130040,2018,570
130040,2019,556
130050,2012,707
130050,2013,769
130050,2014,756
130050,2015,815
130050,2016,810
130050,2017,870
130050,2018,851
130050,2019,857
130060,2012,1053
130060,2013,1036
130060,2014,1077
130060,2015,968
130060,2016,1021
130060,2017,1039
130060,2018,985
130060,2019,1030
130063,2012,427
130063,2013,428
130063,2014,488
130063,2015,489
130063,2016,510
130063,2017,597
130063,2018,501
130063,2019,525
130068,2012,260
130068,2013,321
130068,2014,328
130068,2015,369
130068,2016,312
130068,2017,319
130068,2018,318
130068,2019,330
130070,2012,741
130070,2013,763
130070,2014,734
130070,2015,695
130070,2016,653
130070,2017,771
130070,2018,739
130070,2019,725
130080,2012,690
130080,2013,705
130080,2014,711
130080,2015,725
130080,2016,663
130080,2017,797
130080,2018,789
130080,2019,763
130083,2012,138
130083,2013,203
130083,2014,204
130083,2015,173
130083,2016,183
130083,2017,216
130083,2018,188
130083,2019,169
130090,2012,213
130090,2013,196
130090,2014,231
130090,2015,219
130090,2016,217
130090,2017,191
130090,2018,222
130090,2019,192
130100,2012,656
130100,2013,633
130100,2014,658
130100,2015,628
130100,2016,625
130100,2017,626
130100,2018,636
130100,2019,635
130110,2012,414
130110,2013,442
130110,2014,474
130110,2015,419
130110,2016,481
130110,2017,512
130110,2018,550
130110,2019,564
130115,2012,171
130115,2013,168
130115,2014,208
130115,2015,215
130115,2016,199
130115,2017,237
130115,2018,275
130115,2019,198
130120,2012,1668
130120,2013,1750
130120,2014,1704
130120,2015,1744
130120,2016,1646
130120,2017,1656
130120,2018,1747
