CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
110026,2012,1.0,3,0.3333333333333333
110026,2013,0.0,1,0.0
110026,2014,0.0,1,0.0
110026,2016,1.0,2,0.5
110026,2017,1.0,1,1.0
110026,2018,0.0,1,0.0
110028,2012,5.0,15,0.3333333333333333
110028,2013,6.0,18,0.3333333333333333
110028,2014,4.0,19,0.21052631578947367
110028,2015,4.0,18,0.2222222222222222
110028,2016,0.0,19,0.0
110028,2017,0.0,18,0.0
110028,2018,1.0,14,0.07142857142857142
110028,2019,1.0,18,0.05555555555555555
110029,2012,0.0,4,0.0
110029,2013,1.0,3,0.3333333333333333
110029,2014,0.0,4,0.0
110029,2015,0.0,1,0.0
110029,2016,0.0,1,0.0
110029,2018,0.0,2,0.0
110029,2019,0.0,4,0.0
110030,2012,23.0,27,0.8518518518518519
110030,2013,20.0,27,0.7407407407407407
110030,2014,23.0,29,0.7931034482758621
110030,2015,16.0,20,0.8
110030,2016,12.0,19,0.631578947368421
110030,2017,19.0,30,0.6333333333333333
110030,2018,23.0,34,0.6764705882352942
110030,2019,14.0,20,0.7
110032,2012,1.0,7,0.14285714285714285
110032,2013,0.0,3,0.0
110032,2014,1.0,3,0.3333333333333333
110032,2015,2.0,8,0.25
110032,2016,0.0,6,0.0
110032,2017,0.0,6,0.0
110032,2018,0.0,6,0.0
110032,2019,0.0,2,0.0
110033,2012,3.0,11,0.2727272727272727
110033,2013,0.0,4,0.0
110033,2014,0.0,8,0.0
110033,2015,0.0,2,0.0
110033,2016,0.0,7,0.0
110033,2017,1.0,6,0.16666666666666666
110033,2018,0.0,7,0.0
110033,2019,0.0,4,0.0
110034,2012,0.0,5,0.0
110034,2013,1.0,4,0.25
110034,2014,2.0,4,0.5
110034,2015,1.0,7,0.14285714285714285
110034,2016,1.0,7,0.14285714285714285
110034,2017,1.0,4,0.25
110034,2018,1.0,4,0.25
110034,2019,1.0,6,0.16666666666666666
110037,2012,0.0,9,0.0
110037,2013,2.0,4,0.5
110037,2014,0.0,5,0.0
110037,2015,1.0,3,0.3333333333333333
110037,2016,1.0,5,0.2
110037,2017,0.0,1,0.0
110037,2018,0.0,2,0.0
110037,2019,0.0,2,0.0
110040,2012,0.0,4,0.0
110040,2013,2.0,4,0.5
110040,2014,1.0,3,0.3333333333333333
110040,2015,3.0,11,0.2727272727272727
110040,2016,0.0,3,0.0
110040,2017,2.0,4,0.5
110040,2018,0.0,9,0.0
110040,2019,0.0,2,0.0
110045,2012,3.0,10,0.3
110045,2013,2.0,6,0.3333333333333333
110045,2014,0.0,16,0.0
110045,2015,6.0,15,0.4
110045,2016,5.0,10,0.5
110045,2017,2.0,7,0.2857142857142857
110045,2018,0.0,7,0.0
110045,2019,0.0,7,0.0
110050,2012,1.0,2,0.5
110050,2013,0.0,3,0.0
110050,2015,0.0,3,0.0
110050,2016,1.0,4,0.25
110050,2017,0.0,3,0.0
110050,2018,0.0,1,0.0
110050,2019,0.0,2,0.0
110060,2012,0.0,2,0.0
110060,2013,1.0,2,0.5
110060,2015,2.0,3,0.6666666666666666
110060,2017,1.0,1,1.0
110060,2018,0.0,1,0.0
110060,2019,0.0,2,0.0
110070,2012,1.0,3,0.3333333333333333
110070,2013,0.0,1,0.0
110070,2014,0.0,3,0.0
110070,2015,0.0,1,0.0
110070,2016,0.0,4,0.0
110070,2017,1.0,2,0.5
110070,2018,0.0,4,0.0
110070,2019,0.0,2,0.0
110080,2012,1.0,10,0.1
110080,2013,0.0,11,0.0
110080,2014,2.0,7,0.2857142857142857
110080,2015,5.0,8,0.625
110080,2016,2.0,9,0.2222222222222222
110080,2017,2.0,9,0.2222222222222222
110080,2018,1.0,7,0.14285714285714285
110080,2019,1.0,9,0.1111111111111111
110090,2015,0.0,1,0.0
110090,2017,0.0,1,0.0
110090,2019,0.0,1,0.0
110092,2012,2.0,2,1.0
110092,2013,1.0,4,0.25
110092,2014,0.0,2,0.0
110092,2015,3.0,4,0.75
110092,2016,0.0,2,0.0
110092,2017,2.0,3,0.6666666666666666
110092,2018,0.0,4,0.0
110092,2019,1.0,3,0.3333333333333333
110094,2012,1.0,1,1.0
110094,2013,1.0,2,0.5
110094,2014,0.0,1,0.0
110094,2015,2.0,7,0.2857142857142857
110094,2016,0.0,2,0.0
110094,2017,0.0,3,0.0
110094,2018,0.0,3,0.0
110094,2019,0.0,1,0.0
110100,2012,1.0,4,0.25
110100,2013,0.0,1,0.0
110100,2014,4.0,7,0.5714285714285714
110100,2017,0.0,1,0.0
110100,2018,0.0,2,0.0
110100,2019,0.0,6,0.0
110110,2013,1.0,12,0.08333333333333333
110110,2014,0.0,1,0.0
110110,2015,0.0,2,0.0
110110,2016,0.0,1,0.0
110110,2017,0.0,4,0.0
110110,2018,0.0,3,0.0
110110,2019,0.0,3,0.0
110120,2012,3.0,3,1.0
110120,2013,1.0,5,0.2
110120,2014,0.0,3,0.0
110120,2015,2.0,4,0.5
110120,2016,1.0,2,0.5
110120,2017,1.0,3,0.3333333333333333
110120,2018,1.0,2,0.5
110120,2019,0.0,5,0.0
110130,2012,0.0,4,0.0
110130,2013,0.0,4,0.0
110130,2014,0.0,2,0.0
110130,2015,1.0,1,1.0
110130,2016,0.0,1,0.0
110130,2017,1.0,7,0.14285714285714285
110130,2018,0.0,1,0.0
110140,2012,0.0,2,0.0
110140,2013,1.0,3,0.3333333333333333
110140,2014,0.0,4,0.0
110140,2015,3.0,5,0.6
110140,2016,0.0,1,0.0
110140,2017,1.0,5,0.2
110140,2018,0.0,5,0.0
110140,2019,1.0,9,0.1111111111111111
110143,2012,1.0,1,1.0
110143,2013,0.0,2,0.0
110143,2014,0.0,1,0.0
110143,2015,0.0,2,0.0
110143,2016,0.0,4,0.0
110143,2018,0.0,2,0.0
110143,2019,0.0,1,0.0
110145,2013,0.0,1,0.0
110145,2014,0.0,2,0.0
110145,2015,1.0,3,0.3333333333333333
110145,2016,0.0,1,0.0
110146,2016,1.0,2,0.5
110146,2017,0.0,1,0.0
110147,2014,0.0,1,0.0
110147,2015,0.0,2,0.0
110147,2018,0.0,1,0.0
110147,2019,0.0,1,0.0
110148,2012,1.0,3,0.3333333333333333
110148,2013,2.0,3,0.6666666666666666
110148,2014,0.0,2,0.0
110148,2015,0.0,1,0.0
110148,2017,2.0,2,1.0
110148,2018,0.0,2,0.0
110148,2019,0.0,4,0.0
110149,2012,1.0,8,0.125
110149,2013,0.0,4,0.0
110149,2014,0.0,4,0.0
110149,2015,3.0,6,0.5
110149,2016,0.0,3,0.0
110149,2017,1.0,6,0.16666666666666666
110149,2018,0.0,2,0.0
110149,2019,0.0,10,0.0
110150,2012,0.0,2,0.0
110150,2013,0.0,4,0.0
110150,2014,0.0,1,0.0
110150,2015,0.0,7,0.0
110150,2016,1.0,4,0.25
110150,2017,0.0,3,0.0
110150,2018,0.0,2,0.0
110150,2019,0.0,4,0.0
110155,2012,0.0,2,0.0
110155,2013,1.0,2,0.5
110155,2014,0.0,3,0.0
110155,2015,1.0,1,1.0
110155,2016,1.0,2,0.5
110155,2017,1.0,1,1.0
110155,2018,0.0,1,0.0
110155,2019,0.0,1,0.0
110160,2012,0.0,3,0.0
110160,2013,3.0,4,0.75
110160,2014,0.0,1,0.0
110160,2015,1.0,3,0.3333333333333333
110160,2016,0.0,1,0.0
110160,2017,0.0,3,0.0
110160,2018,0.0,2,0.0
110160,2019,0.0,1,0.0
110170,2012,3.0,6,0.5
110170,2014,0.0,4,0.0
110170,2015,0.0,3,0.0
110170,2016,1.0,3,0.3333333333333333
110170,2017,0.0,6,0.0
110170,2018,0.0,1,0.0
110170,2019,0.0,4,0.0
110175,2012,0.0,4,0.0
110175,2013,0.0,3,0.0
110175,2014,0.0,1,0.0
110175,2016,3.0,5,0.6
110175,2017,0.0,3,0.0
110175,2018,1.0,1,1.0
110175,2019,0.0,3,0.0
110180,2013,0.0,2,0.0
110180,2014,0.0,3,0.0
110180,2015,1.0,2,0.5
110180,2016,0.0,4,0.0
110180,2018,0.0,2,0.0
110180,2019,0.0,4,0.0
120001,2012,0.0,2,0.0
120001,2013,1.0,1,1.0
120001,2014,0.0,1,0.0
120001,2015,0.0,1,0.0
120001,2016,0.0,3,0.0
120001,2017,0.0,6,0.0
120001,2018,0.0,7,0.0
120001,2019,0.0,5,0.0
120005,2012,0.0,3,0.0
120005,2013,0.0,2,0.0
120005,2014,1.0,1,1.0
120005,2016,0.0,3,0.0
120005,2017,1.0,5,0.2
120005,2018,1.0,4,0.25
120005,2019,0.0,3,0.0
120010,2012,1.0,6,0.16666666666666666
120010,2013,1.0,6,0.16666666666666666
120010,2014,2.0,11,0.18181818181818182
120010,2015,2.0,6,0.3333333333333333
120010,2016,2.0,6,0.3333333333333333
120010,2017,2.0,6,0.3333333333333333
120010,2018,2.0,7,0.2857142857142857
120010,2019,3.0,9,0.3333333333333333
120013,2012,0.0,1,0.0
120013,2013,0.0,4,0.0
120013,2014,0.0,4,0.0
120013,2015,0.0,4,0.0
120013,2016,0.0,2,0.0
120013,2017,0.0,3,0.0
120013,2018,0.0,2,0.0
120013,2019,0.0,5,0.0
120017,2012,0.0,3,0.0
120017,2013,0.0,1,0.0
120017,2014,0.0,4,0.0
120017,2015,0.0,4,0.0
120017,2016,0.0,3,0.0
120017,2017,0.0,2,0.0
120017,2018,2.0,4,0.5
120017,2019,0.0,1,0.0
120020,2012,2.0,23,0.08695652173913043
120020,2013,17.0,23,0.7391304347826086
120020,2014,14.0,24,0.5833333333333334
120020,2015,21.0,24,0.875
120020,2016,18.0,26,0.6923076923076923
120020,2017,11.0,27,0.4074074074074074
120020,2018,22.0,22,1.0
120020,2019,29.0,31,0.9354838709677419
120025,2012,0.0,7,0.0
120025,2013,0.0,2,0.0
120025,2014,0.0,3,0.0
120025,2015,1.0,3,0.3333333333333333
120025,2016,0.0,4,0.0
120025,2017,1.0,5,0.2
120025,2018,4.0,7,0.5714285714285714
120025,2019,1.0,4,0.25
120030,2012,0.0,7,0.0
120030,2013,0.0,11,0.0
120030,2014,0.0,9,0.0
120030,2015,3.0,10,0.3
120030,2016,1.0,13,0.07692307692307693
120030,2017,3.0,11,0.2727272727272727
120030,2018,2.0,7,0.2857142857142857
120030,2019,2.0,8,0.25
120032,2012,1.0,2,0.5
120032,2013,0.0,1,0.0
120032,2014,1.0,2,0.5
120032,2015,1.0,2,0.5
120032,2016,0.0,2,0.0
120032,2017,1.0,1,1.0
120032,2018,1.0,3,0.3333333333333333
120032,2019,1.0,1,1.0
120033,2012,0.0,1,0.0
120033,2013,0.0,8,0.0
120033,2014,0.0,7,0.0
120033,2015,0.0,3,0.0
120033,2016,1.0,3,0.3333333333333333
120033,2017,1.0,4,0.25
120033,2018,3.0,8,0.375
120033,2019,0.0,10,0.0
120034,2012,0.0,2,0.0
120034,2014,2.0,3,0.6666666666666666
120034,2015,0.0,2,0.0
120034,2016,1.0,1,1.0
120034,2017,0.0,5,0.0
120034,2018,0.0,1,0.0
120034,2019,3.0,5,0.6
120035,2012,1.0,6,0.16666666666666666
120035,2013,1.0,3,0.3333333333333333
120035,2014,0.0,2,0.0
120035,2015,0.0,4,0.0
120035,2016,3.0,3,1.0
120035,2017,2.0,5,0.4
120035,2018,0.0,3,0.0
120035,2019,0.0,5,0.0
120038,2012,0.0,6,0.0
120038,2013,2.0,8,0.25
120038,2014,2.0,6,0.3333333333333333
120038,2015,1.0,5,0.2
120038,2016,0.0,8,0.0
120038,2017,0.0,1,0.0
120038,2018,2.0,5,0.4
120038,2019,0.0,2,0.0
120039,2012,0.0,2,0.0
120039,2014,1.0,1,1.0
120039,2016,1.0,3,0.3333333333333333
120039,2018,2.0,4,0.5
120039,2019,1.0,3,0.3333333333333333
120040,2012,135.0,143,0.9440559440559441
120040,2013,115.0,124,0.9274193548387096
120040,2014,122.0,131,0.9312977099236641
120040,2015,110.0,121,0.9090909090909091
120040,2016,102.0,107,0.9532710280373832
120040,2017,134.0,152,0.881578947368421
120040,2018,139.0,149,0.9328859060402684
120040,2019,110.0,131,0.8396946564885496
120042,2012,0.0,3,0.0
120042,2013,1.0,2,0.5
120042,2014,0.0,6,0.0
120042,2015,0.0,3,0.0
120042,2016,1.0,5,0.2
120042,2018,0.0,3,0.0
120042,2019,2.0,7,0.2857142857142857
120043,2012,0.0,2,0.0
120043,2013,0.0,1,0.0
120043,2014,1.0,3,0.3333333333333333
120043,2015,0.0,4,0.0
120043,2016,0.0,2,0.0
120043,2017,1.0,2,0.5
120043,2018,0.0,2,0.0
120043,2019,0.0,1,0.0
120045,2012,0.0,4,0.0
