CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
310240,2019,0,2,0.0
310250,2012,0,2,0.0
310250,2013,0,1,0.0
310250,2014,0,1,0.0
310250,2015,0,3,0.0
310250,2016,0,2,0.0
310250,2017,0,1,0.0
310250,2018,0,2,0.0
310250,2019,1,2,0.5
310260,2012,15,18,0.8333333333333334
310260,2013,9,13,0.6923076923076923
310260,2014,7,14,0.5
310260,2015,6,6,1.0
310260,2016,8,12,0.6666666666666666
310260,2017,11,12,0.9166666666666666
310260,2018,11,12,0.9166666666666666
310260,2019,5,9,0.5555555555555556
310270,2012,0,3,0.0
310270,2013,1,2,0.5
310270,2014,4,5,0.8
310270,2015,1,1,1.0
310270,2016,3,7,0.4285714285714285
310270,2017,2,4,0.5
310270,2019,1,5,0.2
310280,2012,1,1,1.0
310280,2013,3,6,0.5
310280,2014,1,6,0.1666666666666666
310280,2015,1,1,1.0
310280,2016,3,3,1.0
310280,2017,0,1,0.0
310280,2018,2,6,0.3333333333333333
310280,2019,1,2,0.5
310285,2012,0,3,0.0
310285,2013,0,4,0.0
310285,2014,0,4,0.0
310285,2015,0,3,0.0
310285,2016,0,5,0.0
310285,2017,1,4,0.25
310285,2018,1,3,0.3333333333333333
310285,2019,0,4,0.0
310290,2012,3,3,1.0
310290,2013,7,7,1.0
310290,2014,6,6,1.0
310290,2015,4,4,1.0
310290,2016,5,6,0.8333333333333334
310290,2017,4,4,1.0
310290,2018,9,10,0.9
310290,2019,2,2,1.0
310300,2012,8,8,1.0
310300,2013,3,3,1.0
310300,2014,5,6,0.8333333333333334
310300,2015,7,7,1.0
310300,2016,1,2,0.5
310300,2017,4,4,1.0
310300,2018,5,6,0.8333333333333334
310300,2019,4,7,0.5714285714285714
310310,2012,0,1,0.0
310310,2013,1,1,1.0
310310,2015,1,1,1.0
310310,2018,1,2,0.5
310310,2019,2,3,0.6666666666666666
310320,2013,0,2,0.0
310320,2014,0,1,0.0
310320,2015,0,2,0.0
310320,2018,0,1,0.0
310330,2012,1,1,1.0
310330,2013,2,3,0.6666666666666666
310330,2018,1,2,0.5
310330,2019,1,2,0.5
310340,2012,0,10,0.0
310340,2013,1,19,0.0526315789473684
310340,2014,0,18,0.0
310340,2015,0,9,0.0
310340,2016,1,12,0.0833333333333333
310340,2017,1,16,0.0625
310340,2018,3,13,0.2307692307692307
310340,2019,0,11,0.0
310350,2012,32,42,0.7619047619047619
310350,2013,28,34,0.8235294117647058
310350,2014,40,42,0.9523809523809524
310350,2015,32,38,0.8421052631578947
310350,2016,28,33,0.8484848484848485
310350,2017,30,34,0.8823529411764706
310350,2018,21,29,0.7241379310344828
310350,2019,22,36,0.6111111111111112
310360,2012,1,1,1.0
310360,2013,0,2,0.0
310360,2015,0,1,0.0
310360,2016,0,2,0.0
310360,2018,0,2,0.0
310360,2019,0,3,0.0
310370,2012,0,2,0.0
310370,2013,1,6,0.1666666666666666
310370,2014,0,1,0.0
310370,2015,1,3,0.3333333333333333
310370,2016,1,3,0.3333333333333333
310370,2017,0,2,0.0
310370,2018,0,3,0.0
