CODMUNRES,ano_nasc,Qtd_Menor20,Qtd_Total,Ratio
110018,2018,154.0,651,0.23655913978494625
110018,2019,167.0,616,0.2711038961038961
110020,2012,2490.0,8940,0.2785234899328859
110020,2013,2484.0,8926,0.2782881469863321
110020,2014,2493.0,9129,0.2730857706210976
110020,2015,2398.0,9093,0.26371934455075335
110020,2016,2201.0,8610,0.25563298490127756
110020,2017,2031.0,8799,0.23082168428230482
110020,2018,1955.0,8752,0.22337751371115175
110020,2019,1872.0,8437,0.2218798151001541
110025,2012,65.0,243,0.2674897119341564
110025,2013,53.0,258,0.2054263565891473
110025,2014,62.0,289,0.21453287197231835
110025,2015,54.0,262,0.20610687022900764
110025,2016,71.0,276,0.2572463768115942
110025,2017,58.0,289,0.20069204152249134
110025,2018,68.0,294,0.23129251700680273
110025,2019,80.0,304,0.2631578947368421
110026,2012,13.0,41,0.3170731707317073
110026,2013,10.0,38,0.2631578947368421
110026,2014,5.0,36,0.1388888888888889
110026,2015,11.0,36,0.3055555555555556
110026,2016,8.0,35,0.22857142857142856
110026,2017,11.0,49,0.22448979591836735
110026,2018,8.0,46,0.17391304347826086
110026,2019,10.0,50,0.2
110028,2012,279.0,927,0.30097087378640774
110028,2013,227.0,878,0.25854214123006836
110028,2014,252.0,947,0.26610348468849
110028,2015,228.0,936,0.24358974358974358
110028,2016,211.0,855,0.24678362573099416
110028,2017,208.0,963,0.21599169262720663
110028,2018,192.0,900,0.21333333333333335
110028,2019,174.0,927,0.18770226537216828
110029,2012,36.0,118,0.3050847457627119
110029,2013,28.0,98,0.2857142857142857
110029,2014,29.0,103,0.2815533980582524
110029,2015,36.0,109,0.3302752293577982
110029,2016,30.0,114,0.2631578947368421
110029,2017,22.0,112,0.19642857142857142
110029,2018,19.0,103,0.18446601941747573
110029,2019,25.0,99,0.25252525252525254
110030,2012,325.0,1267,0.2565114443567482
110030,2013,358.0,1388,0.2579250720461095
110030,2014,351.0,1418,0.24753173483779972
110030,2015,350.0,1535,0.2280130293159609
110030,2016,343.0,1427,0.24036440084092503
110030,2017,335.0,1465,0.22866894197952217
110030,2018,311.0,1557,0.19974309569685292
110030,2019,324.0,1590,0.2037735849056604
110032,2012,100.0,313,0.3194888178913738
110032,2013,118.0,355,0.3323943661971831
110032,2014,115.0,364,0.3159340659340659
110032,2015,84.0,310,0.2709677419354839
110032,2016,84.0,337,0.24925816023738873
110032,2017,96.0,372,0.25806451612903225
110032,2018,72.0,391,0.18414322250639387
110032,2019,73.0,353,0.20679886685552407
110033,2012,135.0,383,0.3524804177545692
110033,2013,136.0,416,0.3269230769230769
110033,2014,119.0,425,0.28
110033,2015,125.0,404,0.3094059405940594
110033,2016,116.0,411,0.2822384428223844
110033,2017,136.0,487,0.2792607802874743
110033,2018,141.0,482,0.2925311203319502
110033,2019,124.0,432,0.28703703703703703
110034,2012,56.0,189,0.2962962962962963
110034,2013,58.0,220,0.2636363636363636
110034,2014,46.0,184,0.25
110034,2015,58.0,200,0.29
110034,2016,45.0,166,0.2710843373493976
110034,2017,36.0,178,0.20224719101123595
110034,2018,41.0,162,0.25308641975308643
110034,2019,50.0,205,0.24390243902439024
110037,2012,63.0,189,0.3333333333333333
110037,2013,51.0,163,0.3128834355828221
110037,2014,41.0,172,0.23837209302325582
110037,2015,44.0,149,0.2953020134228188
110037,2016,49.0,168,0.2916666666666667
110037,2017,55.0,172,0.31976744186046513
110037,2018,39.0,160,0.24375
110037,2019,43.0,154,0.2792207792207792
110040,2012,74.0,194,0.38144329896907214
110040,2013,70.0,211,0.33175355450236965
110040,2014,83.0,254,0.32677165354330706
110040,2015,63.0,247,0.2550607287449393
110040,2016,72.0,220,0.32727272727272727
110040,2017,76.0,242,0.3140495867768595
110040,2018,67.0,219,0.3059360730593607
110040,2019,59.0,226,0.2610619469026549
110045,2012,166.0,555,0.2990990990990991
110045,2013,189.0,598,0.31605351170568563
110045,2014,177.0,620,0.2854838709677419
110045,2015,182.0,608,0.2993421052631579
110045,2016,201.0,624,0.32211538461538464
110045,2017,185.0,632,0.2927215189873418
110045,2018,159.0,617,0.2576985413290113
110045,2019,134.0,583,0.22984562607204118
110050,2012,37.0,125,0.296
110050,2013,28.0,122,0.22950819672131148
110050,2014,24.0,93,0.25806451612903225
110050,2015,30.0,109,0.27522935779816515
110050,2016,25.0,95,0.2631578947368421
110050,2017,27.0,91,0.2967032967032967
110050,2018,24.0,111,0.21621621621621623
110050,2019,11.0,98,0.11224489795918367
110060,2012,16.0,61,0.26229508196721313
110060,2013,21.0,63,0.3333333333333333
110060,2014,19.0,58,0.3275862068965517
110060,2015,19.0,72,0.2638888888888889
110060,2016,19.0,67,0.2835820895522388
110060,2017,24.0,71,0.3380281690140845
110060,2018,18.0,80,0.225
110060,2019,18.0,75,0.24
110070,2012,57.0,164,0.3475609756097561
110070,2013,49.0,183,0.2677595628415301
110070,2014,52.0,181,0.287292817679558
110070,2015,39.0,156,0.25
110070,2016,58.0,162,0.35802469135802467
110070,2017,56.0,174,0.3218390804597701
110070,2018,52.0,195,0.26666666666666666
110070,2019,44.0,166,0.26506024096385544
110080,2012,153.0,430,0.3558139534883721
110080,2013,134.0,404,0.3316831683168317
110080,2014,106.0,296,0.3581081081081081
110080,2015,111.0,323,0.34365325077399383
110080,2016,121.0,372,0.32526881720430106
110080,2017,134.0,397,0.33753148614609574
110080,2018,134.0,421,0.3182897862232779
110080,2019,91.0,337,0.27002967359050445
110090,2012,19.0,53,0.3584905660377358
110090,2013,11.0,36,0.3055555555555556
110090,2014,14.0,46,0.30434782608695654
110090,2015,16.0,52,0.3076923076923077
110090,2016,14.0,55,0.2545454545454545
110090,2017,6.0,39,0.15384615384615385
110090,2018,10.0,56,0.17857142857142858
110090,2019,3.0,32,0.09375
110092,2012,38.0,118,0.3220338983050847
110092,2013,39.0,158,0.2468354430379747
110092,2014,50.0,158,0.31645569620253167
110092,2015,55.0,154,0.35714285714285715
110092,2016,44.0,153,0.2875816993464052
110092,2017,53.0,169,0.3136094674556213
110092,2018,54.0,181,0.2983425414364641
110092,2019,45.0,162,0.2777777777777778
110094,2012,59.0,161,0.36645962732919257
110094,2013,81.0,203,0.39901477832512317
110094,2014,83.0,240,0.3458333333333333
110094,2015,89.0,274,0.3248175182481752
110094,2016,88.0,241,0.3651452282157676
110094,2017,64.0,209,0.3062200956937799
110094,2018,65.0,229,0.2838427947598253
110094,2019,59.0,205,0.28780487804878047
110100,2012,26.0,133,0.19548872180451127
110100,2013,32.0,116,0.27586206896551724
110100,2014,30.0,124,0.24193548387096775
110100,2015,34.0,132,0.25757575757575757
110100,2016,29.0,112,0.25892857142857145
110100,2017,28.0,109,0.25688073394495414
110100,2018,27.0,133,0.20300751879699247
110100,2019,31.0,112,0.2767857142857143
110110,2012,45.0,114,0.39473684210526316
110110,2013,46.0,123,0.37398373983739835
110110,2014,33.0,97,0.3402061855670103
110110,2015,39.0,112,0.3482142857142857
110110,2016,46.0,129,0.35658914728682173
110110,2017,37.0,95,0.3894736842105263
110110,2018,23.0,92,0.25
110110,2019,29.0,109,0.26605504587155965
110120,2012,26.0,100,0.26
110120,2013,27.0,104,0.25961538461538464
110120,2014,34.0,107,0.3177570093457944
110120,2015,25.0,93,0.26881720430107525
110120,2016,17.0,93,0.1827956989247312
110120,2017,21.0,100,0.21
110120,2018,20.0,92,0.21739130434782608
110120,2019,8.0,84,0.09523809523809523
110130,2012,38.0,148,0.25675675675675674
110130,2013,32.0,122,0.26229508196721313
110130,2014,40.0,137,0.291970802919708
110130,2015,48.0,179,0.2681564245810056
