CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
130063,2014,1.0,5,0.2
130063,2015,0.0,2,0.0
130063,2016,1.0,5,0.2
130063,2017,0.0,3,0.0
130063,2018,1.0,3,0.3333333333333333
130063,2019,2.0,6,0.3333333333333333
130068,2012,0.0,4,0.0
130068,2013,0.0,1,0.0
130068,2014,0.0,3,0.0
130068,2015,0.0,3,0.0
130068,2016,0.0,7,0.0
130068,2017,0.0,3,0.0
130068,2018,3.0,3,1.0
130068,2019,1.0,3,0.3333333333333333
130070,2012,3.0,3,1.0
130070,2013,6.0,12,0.5
130070,2014,3.0,6,0.5
130070,2015,2.0,8,0.25
130070,2016,3.0,11,0.2727272727272727
130070,2017,6.0,10,0.6
130070,2018,2.0,4,0.5
130070,2019,6.0,9,0.6666666666666666
130080,2012,0.0,3,0.0
130080,2013,2.0,2,1.0
130080,2014,2.0,9,0.2222222222222222
130080,2015,3.0,5,0.6
130080,2016,2.0,11,0.18181818181818182
130080,2017,0.0,4,0.0
130080,2018,7.0,9,0.7777777777777778
130080,2019,1.0,8,0.125
130083,2012,0.0,1,0.0
130083,2013,1.0,3,0.3333333333333333
130083,2014,0.0,1,0.0
130083,2016,0.0,1,0.0
130083,2018,0.0,1,0.0
130083,2019,0.0,3,0.0
130090,2012,2.0,2,1.0
130090,2013,2.0,3,0.6666666666666666
130090,2014,1.0,2,0.5
130090,2015,1.0,3,0.3333333333333333
130090,2016,1.0,6,0.16666666666666666
130090,2017,4.0,5,0.8
130090,2018,1.0,3,0.3333333333333333
130090,2019,1.0,4,0.25
130100,2012,0.0,6,0.0
130100,2013,2.0,8,0.25
130100,2014,3.0,4,0.75
130100,2015,7.0,8,0.875
130100,2016,4.0,6,0.6666666666666666
130100,2017,5.0,3,1.6666666666666667
130100,2018,10.0,7,1.4285714285714286
130100,2019,8.0,7,1.1428571428571428
130110,2012,3.0,8,0.375
130110,2013,1.0,5,0.2
130110,2014,3.0,3,1.0
130110,2015,0.0,7,0.0
130110,2016,1.0,6,0.16666666666666666
130110,2017,1.0,9,0.1111111111111111
130110,2018,3.0,3,1.0
130110,2019,1.0,8,0.125
130115,2012,3.0,6,0.5
130115,2013,1.0,6,0.16666666666666666
130115,2014,0.0,2,0.0
130115,2015,0.0,2,0.0
130115,2016,0.0,3,0.0
130115,2017,0.0,3,0.0
130115,2018,4.0,4,1.0
130115,2019,1.0,1,1.0
130120,2012,11.0,17,0.6470588235294118
130120,2013,15.0,16,0.9375
130120,2014,7.0,15,0.4666666666666667
130120,2015,14.0,25,0.56
130120,2016,17.0,22,0.7727272727272727
130120,2017,18.0,25,0.72
130120,2018,29.0,29,1.0
130120,2019,22.0,25,0.88
130130,2012,0.0,2,0.0
130130,2013,3.0,6,0.5
130130,2014,0.0,7,0.0
130130,2015,0.0,5,0.0
130130,2016,4.0,4,1.0
130130,2017,2.0,6,0.3333333333333333
130130,2018,3.0,4,0.75
130130,2019,1.0,6,0.16666666666666666
130140,2012,6.0,6,1.0
130140,2013,11.0,12,0.9166666666666666
130140,2014,9.0,10,0.9
130140,2015,9.0,13,0.6923076923076923
130140,2016,11.0,12,0.9166666666666666
130140,2017,7.0,13,0.5384615384615384
130140,2018,3.0,11,0.2727272727272727
130140,2019,5.0,12,0.4166666666666667
130150,2012,0.0,4,0.0
130150,2013,0.0,3,0.0
130150,2014,1.0,5,0.2
130150,2015,1.0,9,0.1111111111111111
130150,2016,0.0,1,0.0
130150,2017,5.0,6,0.8333333333333334
130150,2018,2.0,5,0.4
130150,2019,4.0,5,0.8
130160,2012,4.0,2,2.0
130160,2013,14.0,3,4.666666666666667
130160,2014,16.0,5,3.2
130160,2015,17.0,5,3.4
130160,2016,14.0,3,4.666666666666667
130160,2017,27.0,12,2.25
130160,2018,23.0,6,3.8333333333333335
130160,2019,21.0,7,3.0
130165,2012,0.0,5,0.0
130165,2013,0.0,2,0.0
130165,2014,0.0,1,0.0
130165,2015,1.0,2,0.5
130165,2016,2.0,4,0.5
130165,2017,0.0,2,0.0
130165,2018,0.0,5,0.0
130165,2019,1.0,4,0.25
130170,2012,5.0,19,0.2631578947368421
130170,2013,0.0,12,0.0
130170,2014,2.0,9,0.2222222222222222
130170,2015,3.0,10,0.3
130170,2016,4.0,13,0.3076923076923077
130170,2017,6.0,12,0.5
130170,2018,2.0,11,0.18181818181818182
130170,2019,4.0,10,0.4
130180,2012,0.0,4,0.0
130180,2013,0.0,3,0.0
130180,2014,0.0,4,0.0
130180,2015,0.0,5,0.0
130180,2016,0.0,7,0.0
130180,2017,1.0,6,0.16666666666666666
130180,2018,0.0,4,0.0
130180,2019,1.0,3,0.3333333333333333
130185,2012,3.0,15,0.2
130185,2013,2.0,14,0.14285714285714285
130185,2014,0.0,17,0.0
130185,2015,0.0,27,0.0
130185,2016,6.0,13,0.46153846153846156
130185,2017,1.0,11,0.09090909090909091
130185,2018,13.0,15,0.8666666666666667
130185,2019,3.0,14,0.21428571428571427
130190,2012,24.0,33,0.7272727272727273
130190,2013,14.0,23,0.6086956521739131
130190,2014,15.0,28,0.5357142857142857
130190,2015,5.0,27,0.18518518518518517
130190,2016,9.0,19,0.47368421052631576
130190,2017,20.0,29,0.6896551724137931
130190,2018,32.0,34,0.9411764705882353
130190,2019,23.0,34,0.6764705882352942
130195,2012,0.0,3,0.0
