Código Município;Total Estimado
1100015;387
1100023;1718
1100031;80
1100049;1387
1100056;232
1100064;214
1100072;131
1100080;234
1100098;445
1100106;806
1100114;886
1100122;2111
1100130;501
1100148;255
1100155;626
1100189;601
1100205;8350
1100254;306
1100262;56
1100288;903
1100296;107
1100304;1595
1100320;372
1100338;424
1100346;213
1100379;160
1100403;248
1100452;580
1100502;93
1100601;79
1100700;173
1100809;350
1100908;39
1100924;158
1100940;241
1101005;108
1101104;126
1101203;91
1101302;164
1101401;204
1101435;102
1101450;45
1101468;41
1101476;49
1101484;63
1101492;307
1101500;173
1101559;68
1101609;109
1101708;181
1101757;113
1101807;86
1200013;262
1200054;285
1200104;517
1200138;304
1200179;206
1200203;1791
1200252;338
1200302;903
1200328;232
1200336;371
1200344;253
1200351;488
1200385;306
1200393;293
1200401;6542
1200427;359
1200435;249
1200450;421
1200500;748
1200609;1133
1200708;296
1200807;327
1300029;464
1300060;293
1300086;223
1300102;243
1300144;247
1300201;327
1300300;861
1300409;624
1300508;789
1300607;1012
1300631;558
1300680;345
1300706;698
1300805;738
1300839;175
1300904;211
1301001;664
1301100;512
1301159;251
1301209;1695
1301308;480
1301407;800
1301506;397
1301605;570
1301654;292
1301704;1034
1301803;401
1301852;967
1301902;2045
1301951;250
1302009;183
1302108;144
1302207;222
1302306;665
1302405;906
1302504;2115
1302553;304
1302603;38210
1302702;1028
1302801;396
1302900;1636
1303007;328
1303106;579
1303205;322
1303304;390
1303403;2111
1303502;396
1303536;511
1303569;459
1303601;340
1303700;810
1303809;1470
1303908;1012
1303957;190
1304005;226
1304062;1953
1304104;456
1304203;1920
1304237;438
1304260;389
1304302;327
1304401;327
1400027;433
1400050;742
1400100;9439
1400159;481
1400175;315
1400209;486
1400233;202
1400282;177
1400308;359
1400407;472
1400456;685
1400472;584
1400506;127
1400605;26
1400704;710
1500107;2841
1500131;140
1500206;1023
1500305;973
1500347;221
1500404;1231
1500503;1026
1500602;2342
1500701;763
1500800;6861
1500859;654
1500909;834
1500958;451
1501006;205
1501105;600
1501204;543
1501253;48
1501303;2222
1501402;18652
1501451;341
1501501;1035
1501576;259
1501600;210
1501709;2107
1501725;364
1501758;111
1501782;797
1501808;2728
1501907;511
1501956;408
1502004;338
1502103;2472
1502152;1169
1502202;1021
1502301;819
1502400;3303
1502509;361
1502608;171
1502707;700
1502756;630
1502764;200
1502772;366
